From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.80 MFlops
      2 :         inf MFlops
      3 :       36.00 MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :      256.00 MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :      784.00 MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :         inf MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :         inf MFlops
     28 :         inf MFlops
     29 :         inf MFlops
     30 :         inf MFlops
     31 :         inf MFlops
     32 :         inf MFlops
     33 :     4356.00 MFlops
     34 :     4624.00 MFlops
     35 :     4900.00 MFlops
     36 :     5184.00 MFlops
     37 :         inf MFlops
     38 :     5776.00 MFlops
     39 :         inf MFlops
     40 :     6400.00 MFlops
     41 :         inf MFlops
     42 :     7056.00 MFlops
     43 :         inf MFlops
     44 :     7744.00 MFlops
     45 :     8100.00 MFlops
     46 :     8464.00 MFlops
     47 :     8836.00 MFlops
     48 :     9216.00 MFlops
     49 :     9604.00 MFlops
     50 :    10000.00 MFlops
     51 :    10404.00 MFlops
     52 :    10816.00 MFlops
     53 :    11236.00 MFlops
     54 :    11664.00 MFlops
     55 :    12100.00 MFlops
     56 :    12544.00 MFlops
     57 :     6498.00 MFlops
     58 :    13456.00 MFlops
     59 :    13924.00 MFlops
     60 :     7200.00 MFlops
     61 :     7442.00 MFlops
     62 :     7688.00 MFlops
     63 :     7938.00 MFlops
     64 :     8192.00 MFlops
     65 :     8450.00 MFlops
     66 :     5808.00 MFlops
     67 :     8978.00 MFlops
     68 :     6165.33 MFlops
     69 :     6348.00 MFlops
     70 :     6533.33 MFlops
     71 :     6721.33 MFlops
     72 :     5184.00 MFlops
     73 :     7105.33 MFlops
     74 :     5476.00 MFlops
     75 :     4500.00 MFlops
     76 :     5776.00 MFlops
     77 :     4743.20 MFlops
     78 :     4867.20 MFlops
     79 :     4992.80 MFlops
     80 :     5120.00 MFlops
     81 :     5248.80 MFlops
     82 :     5379.20 MFlops
     83 :     5511.20 MFlops
     84 :     5644.80 MFlops
     85 :     5780.00 MFlops
     86 :     5916.80 MFlops
     87 :     5046.00 MFlops
     88 :     6195.20 MFlops
     89 :     6336.80 MFlops
     90 :     5400.00 MFlops
     91 :     6624.80 MFlops
     92 :     6771.20 MFlops
     93 :     6919.20 MFlops
     94 :     7068.80 MFlops
     95 :     7220.00 MFlops
     96 :     7372.80 MFlops
     97 :     7527.20 MFlops
     98 :     6402.67 MFlops
     99 :     7840.80 MFlops
    100 :     8000.00 MFlops
    101 :     8160.80 MFlops
    102 :     8323.20 MFlops
    103 :     8487.20 MFlops
    104 :     7210.67 MFlops
    105 :     8820.00 MFlops
    106 :     8988.80 MFlops
    107 :    11449.00 MFlops
    108 :     9331.20 MFlops
    109 :    11881.00 MFlops
    110 :    12100.00 MFlops
    111 :    12321.00 MFlops
    112 :    10035.20 MFlops
    113 :    12769.00 MFlops
    114 :    12996.00 MFlops
    115 :    13225.00 MFlops
    116 :    13456.00 MFlops
    117 :    10951.20 MFlops
    118 :    11139.20 MFlops
    119 :    11328.80 MFlops
    120 :    11520.00 MFlops
    121 :     9760.67 MFlops
    122 :    11907.20 MFlops
    123 :    10086.00 MFlops
    124 :    12300.80 MFlops
    125 :     8928.57 MFlops
    126 :     9072.00 MFlops
    127 :     9216.57 MFlops
    128 :     9362.29 MFlops
    129 :     9509.14 MFlops
    130 :     9657.14 MFlops
    131 :      771.28 MFlops
    132 :     8712.00 MFlops
    133 :    10108.00 MFlops
    134 :    11970.67 MFlops
    135 :        1.81 MFlops
    136 :      107.22 MFlops
    137 :     7507.60 MFlops
    138 :     8464.00 MFlops
    139 :     8587.11 MFlops
    140 :     7840.00 MFlops
    141 :     7952.40 MFlops
    142 :      289.09 MFlops
    143 :      109.79 MFlops
    144 :    20736.00 MFlops
    145 :    16820.00 MFlops
    146 :    17052.80 MFlops
    147 :    17287.20 MFlops
    148 :    17523.20 MFlops
    149 :    17760.80 MFlops
    150 :    18000.00 MFlops
    151 :    15200.67 MFlops
    152 :    18483.20 MFlops
    153 :      532.02 MFlops
    154 :    15810.67 MFlops
    155 :    19220.00 MFlops
    156 :    16224.00 MFlops
    157 :    14085.14 MFlops
    158 :    14265.14 MFlops
    159 :    14446.29 MFlops
    160 :    14628.57 MFlops
    161 :    14812.00 MFlops
    162 :    13122.00 MFlops
    163 :    13284.50 MFlops
    164 :    13448.00 MFlops
    165 :    12100.00 MFlops
    166 :    12247.11 MFlops
    167 :    11155.60 MFlops
    168 :    11289.60 MFlops
    169 :    11424.40 MFlops
    170 :      444.62 MFlops
    171 :    10633.09 MFlops
    172 :    16905.14 MFlops
    173 :    19952.67 MFlops
    174 :    24220.80 MFlops
    175 :    20416.67 MFlops
    176 :     8260.27 MFlops
    177 :    20886.00 MFlops
    178 :    21122.67 MFlops
    179 :    18309.14 MFlops
    180 :    21600.00 MFlops
    181 :    21840.67 MFlops
    182 :    22082.67 MFlops
    183 :    22326.00 MFlops
    184 :    22570.67 MFlops
    185 :    22816.67 MFlops
    186 :    23064.00 MFlops
    187 :    23312.67 MFlops
    188 :      410.98 MFlops
    189 :      205.00 MFlops
    190 :    14440.00 MFlops
    191 :    14592.40 MFlops
    192 :    14745.60 MFlops
    193 :    14899.60 MFlops
    194 :    15054.40 MFlops
    195 :    12675.00 MFlops
    196 :    12805.33 MFlops
    197 :    11088.29 MFlops
    198 :     9801.00 MFlops
    199 :     9317.88 MFlops
    200 :     8888.89 MFlops
