From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        4.00 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :      392.00 MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :     1800.00 MFlops
     16 :         inf MFlops
     17 :     2312.00 MFlops
     18 :     2592.00 MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :     3528.00 MFlops
     22 :     3872.00 MFlops
     23 :         inf MFlops
     24 :     4608.00 MFlops
     25 :     5000.00 MFlops
     26 :         inf MFlops
     27 :         inf MFlops
     28 :     6272.00 MFlops
     29 :         inf MFlops
     30 :     7200.00 MFlops
     31 :     7688.00 MFlops
     32 :     8192.00 MFlops
     33 :         inf MFlops
     34 :     9248.00 MFlops
     35 :         inf MFlops
     36 :         inf MFlops
     37 :    10952.00 MFlops
     38 :    11552.00 MFlops
     39 :    12168.00 MFlops
     40 :    12800.00 MFlops
     41 :    13448.00 MFlops
     42 :    14112.00 MFlops
     43 :    14792.00 MFlops
     44 :         inf MFlops
     45 :    16200.00 MFlops
     46 :    16928.00 MFlops
     47 :    17672.00 MFlops
     48 :    18432.00 MFlops
     49 :     9604.00 MFlops
     50 :    20000.00 MFlops
     51 :    10404.00 MFlops
     52 :    21632.00 MFlops
     53 :    22472.00 MFlops
     54 :    23328.00 MFlops
     55 :    12100.00 MFlops
     56 :    25088.00 MFlops
     57 :    12996.00 MFlops
     58 :    13456.00 MFlops
     59 :    27848.00 MFlops
     60 :    14400.00 MFlops
     61 :    29768.00 MFlops
     62 :    15376.00 MFlops
     63 :    31752.00 MFlops
     64 :    32768.00 MFlops
     65 :    16900.00 MFlops
     66 :    17424.00 MFlops
     67 :    17956.00 MFlops
     68 :    36992.00 MFlops
     69 :    19044.00 MFlops
     70 :    19600.00 MFlops
     71 :    20164.00 MFlops
     72 :    20736.00 MFlops
     73 :    21316.00 MFlops
     74 :    21904.00 MFlops
     75 :    22500.00 MFlops
     76 :     1848.32 MFlops
     77 :    15810.67 MFlops
     78 :    16224.00 MFlops
