From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.89 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :      512.00 MFlops
      5 :      250.00 MFlops
      6 :     1728.00 MFlops
      7 :     2744.00 MFlops
      8 :         inf MFlops
      9 :     1166.40 MFlops
     10 :     8000.00 MFlops
     11 :    10648.00 MFlops
     12 :    13824.00 MFlops
     13 :     1352.00 MFlops
     14 :      448.00 MFlops
     15 :    27000.00 MFlops
     16 :    16384.00 MFlops
     17 :      297.76 MFlops
     18 :    15552.00 MFlops
     19 :    13718.00 MFlops
     20 :    12800.00 MFlops
     21 :    14817.60 MFlops
     22 :    17036.80 MFlops
     23 :    19467.20 MFlops
     24 :    18432.00 MFlops
     25 :    10416.67 MFlops
     26 :    23434.67 MFlops
     27 :    26244.00 MFlops
     28 :    29269.33 MFlops
     29 :    27873.14 MFlops
     30 :      420.23 MFlops
     31 :    29791.00 MFlops
     32 :    29127.11 MFlops
     33 :    19166.40 MFlops
     34 :    34936.89 MFlops
     35 :    31181.82 MFlops
     36 :    33931.64 MFlops
     37 :    28944.57 MFlops
     38 :    39906.91 MFlops
     39 :    33896.57 MFlops
     40 :    39384.62 MFlops
     41 :    42412.92 MFlops
     42 :    42336.00 MFlops
     43 :    39753.50 MFlops
     44 :    40086.59 MFlops
     45 :    29160.00 MFlops
     46 :    45805.18 MFlops
     47 :    39551.62 MFlops
     48 :    46565.05 MFlops
     49 :    47059.60 MFlops
     50 :    50000.00 MFlops
     51 :    46139.48 MFlops
     52 :    51130.18 MFlops
     53 :    51783.30 MFlops
     54 :    52488.00 MFlops
     55 :    53240.00 MFlops
     56 :    41321.41 MFlops
     57 :    42329.83 MFlops
     58 :    44597.03 MFlops
     59 :    44406.27 MFlops
     60 :    44307.69 MFlops
     61 :    44288.98 MFlops
     62 :    47665.60 MFlops
     63 :    47628.00 MFlops
     64 :    51150.05 MFlops
     65 :    45770.83 MFlops
     66 :    48935.49 MFlops
     67 :    51193.70 MFlops
     68 :    53520.34 MFlops
     69 :    52561.44 MFlops
     70 :    54880.00 MFlops
     71 :    53023.85 MFlops
     72 :    55296.00 MFlops
     73 :    43832.90 MFlops
     74 :    46311.31 MFlops
     75 :    48214.29 MFlops
     76 :    49462.08 MFlops
     77 :    49354.92 MFlops
     78 :    52005.70 MFlops
     79 :    45864.09 MFlops
     80 :    49951.22 MFlops
     81 :    51223.23 MFlops
     82 :    53792.00 MFlops
     83 :    45742.96 MFlops
     84 :    14634.67 MFlops
     85 :     1005.11 MFlops
     86 :    53004.67 MFlops
     87 :    59191.28 MFlops
     88 :    30800.99 MFlops
     89 :    61975.30 MFlops
     90 :    57742.57 MFlops
     91 :    60894.63 MFlops
     92 :    62295.04 MFlops
     93 :    34783.01 MFlops
     94 :     6084.86 MFlops
     95 :    57158.33 MFlops
     96 :    59982.10 MFlops
     97 :    37442.99 MFlops
     98 :    61215.74 MFlops
     99 :    62599.94 MFlops
    100 :    55944.06 MFlops
    101 :    15729.79 MFlops
    102 :    61519.30 MFlops
    103 :    63346.49 MFlops
    104 :    66658.61 MFlops
    105 :    64312.50 MFlops
    106 :    26176.18 MFlops
    107 :    66669.01 MFlops
    108 :    33041.63 MFlops
    109 :    60586.15 MFlops
    110 :    11196.64 MFlops
    111 :    56689.37 MFlops
    112 :    60103.87 MFlops
    113 :    60753.56 MFlops
    114 :    62380.80 MFlops
    115 :    46796.15 MFlops
    116 :    67865.04 MFlops
    117 :    69258.94 MFlops
    118 :    69546.33 MFlops
    119 :    57612.27 MFlops
    120 :    67434.15 MFlops
    121 :    67810.95 MFlops
    122 :    70177.70 MFlops
    123 :    71571.81 MFlops
    124 :    71275.66 MFlops
    125 :    50241.16 MFlops
    126 :    44085.42 MFlops
    127 :    59373.42 MFlops
    128 :    54471.48 MFlops
    129 :    60257.94 MFlops
    130 :    61887.32 MFlops
    131 :    62883.66 MFlops
    132 :    63888.00 MFlops
    133 :    64677.31 MFlops
    134 :    65695.67 MFlops
    135 :    66272.73 MFlops
    136 :    67985.30 MFlops
    137 :    68569.41 MFlops
    138 :    67386.46 MFlops
    139 :    40083.87 MFlops
    140 :    62363.64 MFlops
    141 :    61272.59 MFlops
    142 :    62245.39 MFlops
    143 :    63226.10 MFlops
    144 :    64736.78 MFlops
    145 :    63513.02 MFlops
    146 :    64667.76 MFlops
    147 :    65159.45 MFlops
    148 :    71840.27 MFlops
    149 :    73306.35 MFlops
    150 :    72580.65 MFlops
    151 :    69379.37 MFlops
    152 :    73932.80 MFlops
    153 :    74229.58 MFlops
    154 :    50637.98 MFlops
    155 :    73017.16 MFlops
    156 :    72832.92 MFlops
    157 :    70202.14 MFlops
    158 :    71878.12 MFlops
    159 :    72590.14 MFlops
    160 :    66331.98 MFlops
    161 :    46498.95 MFlops
    162 :    77125.22 MFlops
    163 :    66371.60 MFlops
    164 :    67860.68 MFlops
    165 :    67424.02 MFlops
    166 :    76079.77 MFlops
    167 :    76824.13 MFlops
    168 :    74088.00 MFlops
    169 :    75714.65 MFlops
    170 :    75876.45 MFlops
    171 :    63394.12 MFlops
    172 :    72562.54 MFlops
    173 :    73442.79 MFlops
    174 :    74459.70 MFlops
    175 :    78382.08 MFlops
    176 :    77330.16 MFlops
    177 :    66014.68 MFlops
    178 :    48151.56 MFlops
    179 :    67974.39 MFlops
    180 :    37839.42 MFlops
    181 :    69557.08 MFlops
    182 :    70924.33 MFlops
    183 :    76725.97 MFlops
    184 :    76788.96 MFlops
    185 :    77688.65 MFlops
    186 :    51894.00 MFlops
    187 :    70031.63 MFlops
    188 :    72421.49 MFlops
    189 :    54064.22 MFlops
    190 :    71169.91 MFlops
    191 :    74323.96 MFlops
    192 :    74602.25 MFlops
    193 :    67741.41 MFlops
    194 :    56986.41 MFlops
    195 :    43172.49 MFlops
    196 :    67605.26 MFlops
    197 :    55958.81 MFlops
    198 :    76950.60 MFlops
    199 :    63875.17 MFlops
    200 :    16610.43 MFlops
