From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.67 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :      256.00 MFlops
      5 :      500.00 MFlops
      6 :         inf MFlops
      7 :     1372.00 MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :     6912.00 MFlops
     13 :         inf MFlops
     14 :    10976.00 MFlops
     15 :    13500.00 MFlops
     16 :     1024.00 MFlops
     17 :     4913.00 MFlops
     18 :     4665.60 MFlops
     19 :     4572.67 MFlops
     20 :     4571.43 MFlops
     21 :     7408.80 MFlops
     22 :    10648.00 MFlops
     23 :     9733.60 MFlops
     24 :      314.18 MFlops
     25 :    10416.67 MFlops
     26 :    10043.43 MFlops
     27 :    11247.43 MFlops
     28 :    14634.67 MFlops
     29 :    13936.57 MFlops
     30 :    18000.00 MFlops
     31 :    17023.43 MFlops
     32 :    16384.00 MFlops
     33 :    17968.50 MFlops
     34 :    22459.43 MFlops
     35 :    21437.50 MFlops
     36 :     3732.48 MFlops
     37 :    25326.50 MFlops
     38 :    27436.00 MFlops
     39 :      972.44 MFlops
     40 :    23272.73 MFlops
     41 :    27568.40 MFlops
     42 :    26941.09 MFlops
     43 :    26502.33 MFlops
     44 :    26210.46 MFlops
     45 :      490.58 MFlops
     46 :    35394.91 MFlops
     47 :    34607.67 MFlops
     48 :    34028.31 MFlops
     49 :    36199.69 MFlops
     50 :    45454.55 MFlops
     51 :    37900.29 MFlops
     52 :    37495.47 MFlops
     53 :    37219.25 MFlops
     54 :    37050.35 MFlops
     55 :    36972.22 MFlops
     56 :    41321.41 MFlops
     57 :    41154.00 MFlops
     58 :    43358.22 MFlops
     59 :    43237.68 MFlops
     60 :    45473.68 MFlops
     61 :    45396.20 MFlops
     62 :    45395.81 MFlops
     63 :    47628.00 MFlops
     64 :    52428.80 MFlops
     65 :    52309.52 MFlops
     66 :    52272.00 MFlops
     67 :    54684.18 MFlops
     68 :    57169.45 MFlops
     69 :    54751.50 MFlops
     70 :    59652.17 MFlops
     71 :    55063.23 MFlops
     72 :    34720.74 MFlops
     73 :    59848.77 MFlops
     74 :    62342.15 MFlops
     75 :    44407.89 MFlops
     76 :    51644.24 MFlops
     77 :    49354.92 MFlops
     78 :    51302.92 MFlops
     79 :    51898.84 MFlops
     80 :    51200.00 MFlops
     81 :    50613.43 MFlops
     82 :    49010.49 MFlops
     83 :    47648.92 MFlops
     84 :    21168.00 MFlops
     85 :    36125.00 MFlops
     86 :    37973.49 MFlops
     87 :     9791.87 MFlops
     88 :    43268.06 MFlops
     89 :    42087.70 MFlops
     90 :    42260.87 MFlops
     91 :    37678.55 MFlops
     92 :    45141.33 MFlops
     93 :    44074.36 MFlops
     94 :    38631.81 MFlops
     95 :    36876.34 MFlops
     96 :    43157.85 MFlops
     97 :    40563.24 MFlops
     98 :    40481.38 MFlops
     99 :    36963.77 MFlops
    100 :    47058.82 MFlops
    101 :    43842.60 MFlops
    102 :    43314.61 MFlops
    103 :    40849.61 MFlops
    104 :    69222.40 MFlops
    105 :    40977.88 MFlops
    106 :    41426.64 MFlops
    107 :    39517.52 MFlops
    108 :    70969.69 MFlops
    109 :    70001.57 MFlops
    110 :    70052.63 MFlops
    111 :    71045.77 MFlops
    112 :    17185.66 MFlops
    113 :    57715.88 MFlops
    114 :     4092.66 MFlops
    115 :    49060.48 MFlops
    116 :    50760.85 MFlops
    117 :    48533.73 MFlops
    118 :    48324.47 MFlops
    119 :    45854.67 MFlops
    120 :    54425.20 MFlops
    121 :    51724.41 MFlops
    122 :    51513.42 MFlops
    123 :    47714.54 MFlops
    124 :    58217.53 MFlops
    125 :    55407.80 MFlops
    126 :    55182.79 MFlops
    127 :    31036.11 MFlops
    128 :     2733.34 MFlops
    129 :    49067.18 MFlops
    130 :    13295.01 MFlops
    131 :    46592.56 MFlops
    132 :    68655.76 MFlops
    133 :    68690.13 MFlops
    134 :    69240.40 MFlops
    135 :    68343.75 MFlops
    136 :    59891.81 MFlops
    137 :    60148.61 MFlops
    138 :    60070.22 MFlops
    139 :     8089.21 MFlops
    140 :    49441.44 MFlops
    141 :    63349.63 MFlops
    142 :    64707.07 MFlops
    143 :    46050.50 MFlops
    144 :    61566.68 MFlops
    145 :    58069.05 MFlops
    146 :    57632.15 MFlops
    147 :    54299.54 MFlops
    148 :    59756.53 MFlops
    149 :    31060.55 MFlops
    150 :    17110.27 MFlops
    151 :    66210.60 MFlops
    152 :    67861.02 MFlops
    153 :    67897.19 MFlops
    154 :    67634.52 MFlops
    155 :    66202.22 MFlops
    156 :    69025.75 MFlops
    157 :    69105.23 MFlops
    158 :    69503.30 MFlops
    159 :    69007.36 MFlops
    160 :    74472.73 MFlops
    161 :    63714.21 MFlops
    162 :    36029.90 MFlops
    163 :    53965.69 MFlops
    164 :    61907.99 MFlops
    165 :    57591.35 MFlops
    166 :    58833.39 MFlops
    167 :    22125.71 MFlops
    168 :    30395.08 MFlops
    169 :    71244.41 MFlops
    170 :     5498.60 MFlops
    171 :    71177.38 MFlops
    172 :    72952.66 MFlops
    173 :    72415.62 MFlops
    174 :    20822.23 MFlops
    175 :    55394.06 MFlops
    176 :    35574.39 MFlops
    177 :    61104.50 MFlops
    178 :    60805.95 MFlops
    179 :    58374.95 MFlops
    180 :    66461.54 MFlops
    181 :    64453.71 MFlops
    182 :    75831.04 MFlops
    183 :    75894.58 MFlops
    184 :    76907.46 MFlops
    185 :    71141.85 MFlops
    186 :    72099.23 MFlops
    187 :    45332.43 MFlops
    188 :    75293.73 MFlops
    189 :    52951.13 MFlops
    190 :    60035.01 MFlops
    191 :    59301.03 MFlops
    192 :    66459.04 MFlops
    193 :    63761.04 MFlops
    194 :    63352.57 MFlops
    195 :    61662.16 MFlops
    196 :    44356.62 MFlops
    197 :    75138.80 MFlops
    198 :    76288.86 MFlops
    199 :    75774.99 MFlops
    200 :    79207.92 MFlops
