From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        1.60 MFlops
      2 :       64.00 MFlops
      3 :       54.00 MFlops
      4 :      512.00 MFlops
      5 :       76.92 MFlops
      6 :      864.00 MFlops
      7 :      686.00 MFlops
      8 :     1024.00 MFlops
      9 :      265.09 MFlops
     10 :     2000.00 MFlops
     11 :     2662.00 MFlops
     12 :     3456.00 MFlops
     13 :     3515.20 MFlops
     14 :      535.41 MFlops
     15 :     4500.00 MFlops
     16 :     5461.33 MFlops
     17 :     6550.67 MFlops
     18 :     6665.14 MFlops
     19 :     6859.00 MFlops
     20 :     8000.00 MFlops
     21 :     8232.00 MFlops
     22 :    10648.00 MFlops
     23 :    10815.11 MFlops
     24 :    12288.00 MFlops
     25 :    12500.00 MFlops
     26 :    14060.80 MFlops
     27 :    14314.91 MFlops
     28 :    15965.09 MFlops
     29 :    17737.45 MFlops
     30 :    21600.00 MFlops
     31 :    19860.67 MFlops
     32 :    23831.27 MFlops
     33 :    23958.00 MFlops
     34 :    26202.67 MFlops
     35 :    28583.33 MFlops
     36 :    21955.76 MFlops
     37 :    23836.71 MFlops
     38 :    25822.12 MFlops
     39 :    26364.00 MFlops
     40 :    28444.44 MFlops
     41 :    27568.40 MFlops
     42 :    31194.95 MFlops
     43 :    30288.38 MFlops
     44 :    32451.05 MFlops
     45 :    33136.36 MFlops
     46 :    32445.33 MFlops
     47 :    34607.67 MFlops
     48 :    34028.31 MFlops
     49 :    36199.69 MFlops
     50 :    40000.00 MFlops
     51 :    39304.00 MFlops
     52 :    33084.24 MFlops
     53 :    35029.88 MFlops
     54 :    35991.77 MFlops
     55 :    36972.22 MFlops
     56 :    39025.78 MFlops
     57 :    41154.00 MFlops
     58 :    43358.22 MFlops
     59 :    44406.27 MFlops
     60 :    46702.70 MFlops
     61 :    50440.22 MFlops
     62 :    52961.78 MFlops
     63 :    54064.22 MFlops
     64 :    61680.94 MFlops
     65 :    57815.79 MFlops
     66 :    58973.54 MFlops
     67 :    58685.46 MFlops
     68 :    48374.15 MFlops
     69 :    31663.52 MFlops
     70 :    49890.91 MFlops
     71 :    19746.81 MFlops
     72 :    52385.68 MFlops
     73 :    53657.52 MFlops
     74 :    54945.63 MFlops
     75 :    54435.48 MFlops
     76 :    55742.98 MFlops
     77 :    56188.68 MFlops
     78 :    56662.93 MFlops
     79 :    57163.94 MFlops
     80 :    58514.29 MFlops
     81 :    58240.11 MFlops
     82 :    60423.89 MFlops
     83 :    61814.81 MFlops
     84 :    52684.80 MFlops
     85 :    51715.79 MFlops
     86 :    46258.62 MFlops
     87 :    56042.81 MFlops
     88 :    24447.43 MFlops
     89 :    59365.81 MFlops
     90 :    60750.00 MFlops
     91 :    60894.63 MFlops
     92 :    62295.04 MFlops
     93 :    63711.45 MFlops
     94 :    67117.90 MFlops
     95 :    68590.00 MFlops
     96 :    72967.92 MFlops
     97 :    60342.02 MFlops
     98 :    60722.06 MFlops
     99 :    61121.20 MFlops
    100 :    62500.00 MFlops
    101 :    61972.99 MFlops
    102 :    57752.82 MFlops
    103 :    62441.54 MFlops
    104 :    63372.62 MFlops
    105 :    51737.43 MFlops
    106 :    63520.85 MFlops
    107 :    64054.54 MFlops
    108 :    65017.39 MFlops
    109 :    65158.69 MFlops
    110 :    65325.15 MFlops
    111 :    65909.93 MFlops
    112 :    66901.33 MFlops
    113 :    64487.02 MFlops
    114 :    34156.63 MFlops
    115 :    55304.55 MFlops
    116 :    60034.46 MFlops
    117 :    60724.66 MFlops
    118 :    40820.67 MFlops
    119 :    62125.68 MFlops
    120 :    65207.55 MFlops
    121 :    65011.41 MFlops
    122 :    66030.84 MFlops
    123 :    68603.39 MFlops
    124 :    71948.08 MFlops
    125 :    72674.42 MFlops
    126 :    73746.58 MFlops
    127 :    74486.65 MFlops
    128 :    50686.45 MFlops
    129 :    74993.50 MFlops
    130 :    78115.56 MFlops
    131 :    77855.97 MFlops
    132 :    67398.33 MFlops
    133 :    42389.86 MFlops
    134 :    70251.21 MFlops
    135 :    70046.26 MFlops
    136 :    70609.29 MFlops
    137 :    70690.12 MFlops
    138 :    71512.16 MFlops
    139 :    10583.72 MFlops
    140 :    71973.77 MFlops
    141 :    72108.58 MFlops
    142 :    72259.63 MFlops
    143 :    72651.11 MFlops
    144 :    56740.79 MFlops
    145 :    14491.38 MFlops
    146 :    66215.66 MFlops
    147 :    66698.65 MFlops
    148 :    68248.25 MFlops
    149 :    10692.36 MFlops
    150 :    60402.68 MFlops
    151 :    18522.94 MFlops
    152 :    70061.01 MFlops
    153 :    71452.91 MFlops
    154 :    68910.64 MFlops
    155 :    73376.85 MFlops
    156 :    73896.18 MFlops
    157 :    70682.98 MFlops
    158 :    75129.75 MFlops
    159 :    77863.03 MFlops
    160 :    78205.25 MFlops
    161 :    71644.31 MFlops
    162 :    71755.75 MFlops
    163 :    40192.55 MFlops
    164 :    72459.04 MFlops
    165 :    72746.96 MFlops
    166 :    70919.32 MFlops
    167 :    73201.78 MFlops
    168 :    73088.74 MFlops
    169 :    18300.70 MFlops
    170 :     4685.18 MFlops
    171 :    58057.60 MFlops
    172 :    72952.66 MFlops
    173 :    74232.50 MFlops
    174 :    74197.52 MFlops
    175 :    53393.52 MFlops
    176 :    70459.14 MFlops
    177 :    76223.13 MFlops
    178 :    70386.92 MFlops
    179 :    70372.26 MFlops
    180 :    37686.59 MFlops
    181 :     5388.22 MFlops
    182 :     5899.52 MFlops
    183 :    51123.98 MFlops
    184 :    61754.69 MFlops
    185 :    76515.11 MFlops
    186 :    74823.91 MFlops
    187 :    78080.04 MFlops
    188 :    75615.04 MFlops
    189 :    79660.99 MFlops
    190 :    79524.64 MFlops
    191 :    63852.20 MFlops
    192 :    85404.38 MFlops
    193 :    78892.26 MFlops
    194 :    77777.73 MFlops
    195 :    78257.26 MFlops
    196 :    79995.07 MFlops
    197 :    34036.16 MFlops
    198 :    64418.19 MFlops
    199 :    79003.50 MFlops
    200 :    78527.61 MFlops
