From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        1.33 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :      512.00 MFlops
      5 :      333.33 MFlops
      6 :         inf MFlops
      7 :     2744.00 MFlops
      8 :         inf MFlops
      9 :     1458.00 MFlops
     10 :     8000.00 MFlops
     11 :    10648.00 MFlops
     12 :    13824.00 MFlops
     13 :     4394.00 MFlops
     14 :    21952.00 MFlops
     15 :    27000.00 MFlops
     16 :    32768.00 MFlops
     17 :    19652.00 MFlops
     18 :    46656.00 MFlops
     19 :    27436.00 MFlops
     20 :    32000.00 MFlops
     21 :     5292.00 MFlops
     22 :    17036.80 MFlops
     23 :    16222.67 MFlops
     24 :    15798.86 MFlops
     25 :    10416.67 MFlops
     26 :    28121.60 MFlops
     27 :    19683.00 MFlops
     28 :    21952.00 MFlops
     29 :    24389.00 MFlops
     30 :    27000.00 MFlops
     31 :    26480.89 MFlops
     32 :    26214.40 MFlops
     33 :    16911.53 MFlops
     34 :    31443.20 MFlops
     35 :    26384.62 MFlops
     36 :    33931.64 MFlops
     37 :    33768.67 MFlops
     38 :    36581.33 MFlops
     39 :    33896.57 MFlops
     40 :    36571.43 MFlops
     41 :    39383.43 MFlops
     42 :    42336.00 MFlops
     43 :    39753.50 MFlops
     44 :    42592.00 MFlops
     45 :    33136.36 MFlops
     46 :    45805.18 MFlops
     47 :    39551.62 MFlops
     48 :    44236.80 MFlops
     49 :    44818.67 MFlops
     50 :    47619.05 MFlops
     51 :    48236.73 MFlops
     52 :    51130.18 MFlops
     53 :    51783.30 MFlops
     54 :    52488.00 MFlops
     55 :    49296.30 MFlops
     56 :    50176.00 MFlops
     57 :    56982.46 MFlops
     58 :    57810.96 MFlops
     59 :    54767.73 MFlops
     60 :    57600.00 MFlops
     61 :    56745.25 MFlops
     62 :    59582.00 MFlops
     63 :    44452.80 MFlops
     64 :    43690.67 MFlops
     65 :    61027.78 MFlops
     66 :    63888.00 MFlops
     67 :    43747.35 MFlops
     68 :    44918.86 MFlops
     69 :    16024.83 MFlops
     70 :    46508.47 MFlops
     71 :    46182.06 MFlops
     72 :    48161.03 MFlops
     73 :    43224.11 MFlops
     74 :    45659.04 MFlops
     75 :    46875.00 MFlops
     76 :    48775.11 MFlops
     77 :    48696.85 MFlops
     78 :    50618.88 MFlops
     79 :    45864.09 MFlops
     80 :    48188.24 MFlops
     81 :    50017.98 MFlops
     82 :    53792.00 MFlops
     83 :    49185.98 MFlops
     84 :    41593.26 MFlops
     85 :     3440.48 MFlops
     86 :    30288.38 MFlops
     87 :    21502.14 MFlops
     88 :    69894.56 MFlops
     89 :    69626.57 MFlops
     90 :    58909.09 MFlops
     91 :    62150.19 MFlops
     92 :    64890.67 MFlops
     93 :    63711.45 MFlops
     94 :    60406.11 MFlops
     95 :    61792.79 MFlops
     96 :    64344.44 MFlops
     97 :    64047.23 MFlops
     98 :    65474.23 MFlops
     99 :    64686.60 MFlops
    100 :     6042.30 MFlops
    101 :    29228.40 MFlops
    102 :    62424.00 MFlops
    103 :    61998.70 MFlops
    104 :    65209.51 MFlops
    105 :    61740.00 MFlops
    106 :    65261.15 MFlops
    107 :    66218.54 MFlops
    108 :    61449.37 MFlops
    109 :    67274.23 MFlops
    110 :    70052.63 MFlops
    111 :    25326.50 MFlops
    112 :    59467.85 MFlops
    113 :    19367.74 MFlops
    114 :    70549.71 MFlops
    115 :    65413.98 MFlops
    116 :    67498.21 MFlops
    117 :    68518.20 MFlops
    118 :    68818.09 MFlops
    119 :    69851.15 MFlops
    120 :    66461.54 MFlops
    121 :    67488.04 MFlops
    122 :    58575.74 MFlops
    123 :    19902.32 MFlops
    124 :    62004.03 MFlops
    125 :    62251.00 MFlops
    126 :    45853.89 MFlops
    127 :    66885.98 MFlops
    128 :    65281.00 MFlops
    129 :    62677.05 MFlops
    130 :    68124.03 MFlops
    131 :    69172.03 MFlops
    132 :    41255.03 MFlops
    133 :    71292.03 MFlops
    134 :    72637.10 MFlops
    135 :    73719.10 MFlops
    136 :    75369.47 MFlops
    137 :    75628.03 MFlops
    138 :    65497.12 MFlops
    139 :    75122.21 MFlops
    140 :    76755.24 MFlops
    141 :    65764.72 MFlops
    142 :    54280.34 MFlops
    143 :     3508.35 MFlops
    144 :    22262.70 MFlops
    145 :    65916.22 MFlops
    146 :    68024.83 MFlops
