From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.80 MFlops
      2 :       32.00 MFlops
      3 :         inf MFlops
      4 :      256.00 MFlops
      5 :      500.00 MFlops
      6 :      864.00 MFlops
      7 :         inf MFlops
      8 :     2048.00 MFlops
      9 :         inf MFlops
     10 :     4000.00 MFlops
     11 :         inf MFlops
     12 :     6912.00 MFlops
     13 :         inf MFlops
     14 :    10976.00 MFlops
     15 :    13500.00 MFlops
     16 :     2340.57 MFlops
     17 :    19652.00 MFlops
     18 :    23328.00 MFlops
     19 :    13718.00 MFlops
     20 :     6400.00 MFlops
     21 :    18522.00 MFlops
     22 :    21296.00 MFlops
     23 :    24334.00 MFlops
     24 :     3252.71 MFlops
     25 :    10416.67 MFlops
     26 :    14060.80 MFlops
     27 :    26244.00 MFlops
     28 :    12544.00 MFlops
     29 :     8129.67 MFlops
     30 :    10800.00 MFlops
     31 :    10833.09 MFlops
     32 :     8738.13 MFlops
     33 :    11057.54 MFlops
     34 :    13101.33 MFlops
     35 :    13192.31 MFlops
     36 :    18662.40 MFlops
     37 :    14472.29 MFlops
     38 :    13718.00 MFlops
     39 :    13182.00 MFlops
     40 :    18285.71 MFlops
     41 :    17230.25 MFlops
     42 :    16464.00 MFlops
     43 :    15144.19 MFlops
     44 :    14197.33 MFlops
     45 :    22781.25 MFlops
     46 :    21630.22 MFlops
     47 :    21857.47 MFlops
     48 :    26021.65 MFlops
     49 :    18823.84 MFlops
     50 :    21739.13 MFlops
     51 :    20407.85 MFlops
     52 :    28121.60 MFlops
     53 :    24812.83 MFlops
     54 :    25194.24 MFlops
     55 :    23767.86 MFlops
     56 :    30541.91 MFlops
     57 :    28491.23 MFlops
     58 :    28905.48 MFlops
     59 :    27383.87 MFlops
     60 :    27000.00 MFlops
     61 :    28372.62 MFlops
     62 :    28888.24 MFlops
     63 :    26320.74 MFlops
     64 :    33825.03 MFlops
     65 :    32308.82 MFlops
     66 :    32856.69 MFlops
     67 :    30847.49 MFlops
     68 :    34936.89 MFlops
     69 :    32049.66 MFlops
     70 :    32666.67 MFlops
     71 :    24683.52 MFlops
     72 :    32456.35 MFlops
     73 :    28816.07 MFlops
     74 :    30016.59 MFlops
     75 :    25568.18 MFlops
     76 :    35118.08 MFlops
     77 :    33817.26 MFlops
     78 :    32727.72 MFlops
     79 :    31304.06 MFlops
     80 :    40156.86 MFlops
     81 :    36029.90 MFlops
     82 :    36155.28 MFlops
     83 :    28589.35 MFlops
     84 :    35385.31 MFlops
     85 :    34598.59 MFlops
     86 :    34381.41 MFlops
     87 :    32518.67 MFlops
     88 :    38941.26 MFlops
     89 :    39164.94 MFlops
     90 :    37870.13 MFlops
     91 :    35049.81 MFlops
     92 :    40983.58 MFlops
     93 :    39721.33 MFlops
     94 :    17125.44 MFlops
     95 :    32051.40 MFlops
     96 :    57079.74 MFlops
     97 :    57947.49 MFlops
     98 :    59758.22 MFlops
     99 :    59710.71 MFlops
    100 :    52631.58 MFlops
    101 :    55691.95 MFlops
    102 :    56597.76 MFlops
    103 :    47509.87 MFlops
    104 :    69222.40 MFlops
    105 :    21338.71 MFlops
    106 :    58098.34 MFlops
