From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
      1 :        0.26 MFlops :       0.00 Sec : 130
      2 :        2.90 MFlops :       0.00 Sec : 260
      3 :       71.09 MFlops :       0.00 Sec : 390
      4 :      561.71 MFlops :       0.00 Sec : 520
      5 :     1012.69 MFlops :       0.00 Sec : 650
      6 :     1338.18 MFlops :       0.00 Sec : 780
      7 :     1720.23 MFlops :       0.00 Sec : 910
      8 :     1859.44 MFlops :       0.00 Sec : 1040
      9 :     2399.32 MFlops :       0.00 Sec : 1170
     10 :     2633.00 MFlops :       0.00 Sec : 1300
     11 :     2595.94 MFlops :       0.00 Sec : 1430
     12 :     3084.63 MFlops :       0.00 Sec : 4259
     13 :     3402.77 MFlops :       0.00 Sec : 4259
     14 :     4070.40 MFlops :       0.00 Sec : 4259
     15 :     4282.59 MFlops :       0.00 Sec : 4259
     16 :     4447.33 MFlops :       0.00 Sec : 4259
     17 :     5279.97 MFlops :       0.00 Sec : 4259
     18 :     4953.44 MFlops :       0.00 Sec : 4259
     19 :     5390.97 MFlops :       0.00 Sec : 4259
     20 :     5366.62 MFlops :       0.00 Sec : 4259
     21 :     5911.32 MFlops :       0.00 Sec : 4259
     22 :     5933.58 MFlops :       0.00 Sec : 4259
     23 :     6190.48 MFlops :       0.00 Sec : 4259
     24 :     6587.98 MFlops :       0.00 Sec : 4259
     25 :     7379.48 MFlops :       0.00 Sec : 4259
     26 :     7777.75 MFlops :       0.00 Sec : 4259
     27 :     7248.30 MFlops :       0.00 Sec : 4259
     28 :     7555.51 MFlops :       0.00 Sec : 4259
     29 :     8154.44 MFlops :       0.00 Sec : 4259
     30 :     8591.06 MFlops :       0.00 Sec : 4325
     31 :     7470.45 MFlops :       0.00 Sec : 4325
     32 :     9178.53 MFlops :       0.00 Sec : 4325
     33 :     5242.22 MFlops :       0.00 Sec : 4325
     34 :     8069.20 MFlops :       0.00 Sec : 4420
     35 :     9104.02 MFlops :       0.00 Sec : 4550
