From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
      1 :        4.05 MFlops :       0.00 Sec : 33
      2 :       12.21 MFlops :       0.00 Sec : 66
      3 :      284.36 MFlops :       0.00 Sec : 99
      4 :      481.46 MFlops :       0.00 Sec : 132
      5 :      658.25 MFlops :       0.00 Sec : 165
      6 :      842.56 MFlops :       0.00 Sec : 198
      7 :     1003.47 MFlops :       0.00 Sec : 231
      8 :     1315.22 MFlops :       0.00 Sec : 264
      9 :     1346.99 MFlops :       0.00 Sec : 297
     10 :     1726.56 MFlops :       0.00 Sec : 330
     11 :     1820.53 MFlops :       0.00 Sec : 363
     12 :     1978.18 MFlops :       0.00 Sec : 396
     13 :     2142.48 MFlops :       0.00 Sec : 429
     14 :     2330.63 MFlops :       0.00 Sec : 462
     15 :     2613.64 MFlops :       0.00 Sec : 495
     16 :     2819.55 MFlops :       0.00 Sec : 528
     17 :     3061.76 MFlops :       0.00 Sec : 561
     18 :     3086.56 MFlops :       0.00 Sec : 594
     19 :     2972.80 MFlops :       0.00 Sec : 627
     20 :     3317.17 MFlops :       0.00 Sec : 660
     21 :     3166.78 MFlops :       0.00 Sec : 693
     22 :     3388.06 MFlops :       0.00 Sec : 726
     23 :     3714.29 MFlops :       0.00 Sec : 759
     24 :     3742.79 MFlops :       0.00 Sec : 792
     25 :     3783.05 MFlops :       0.00 Sec : 825
     26 :     4059.44 MFlops :       0.00 Sec : 858
     27 :     4606.70 MFlops :       0.00 Sec : 891
     28 :     4289.40 MFlops :       0.00 Sec : 924
     29 :     4390.85 MFlops :       0.00 Sec : 957
     30 :     4692.48 MFlops :       0.00 Sec : 990
     31 :     4580.42 MFlops :       0.00 Sec : 1023
     32 :     4601.50 MFlops :       0.00 Sec : 1056
     33 :     5053.25 MFlops :       0.00 Sec : 1089
     34 :     5200.37 MFlops :       0.00 Sec : 1122
     35 :     5045.36 MFlops :       0.00 Sec : 1155
     36 :     5071.01 MFlops :       0.00 Sec : 1188
     37 :     5534.00 MFlops :       0.00 Sec : 1221
     38 :     5390.97 MFlops :       0.00 Sec : 1254
