From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        2.67 MFlops   0.000003 sec
      2x2 :         inf MFlops   0.000000 sec
      3x3 :         inf MFlops   0.000000 sec
      4x4 :       42.67 MFlops   0.000003 sec
      5x5 :      200.00 MFlops   0.000001 sec
      6x6 :         inf MFlops   0.000000 sec
      7x7 :      392.00 MFlops   0.000001 sec
      8x8 :         inf MFlops   0.000000 sec
      9x9 :         inf MFlops   0.000000 sec
     10x10 :         inf MFlops   0.000000 sec
     11x11 :         inf MFlops   0.000000 sec
     12x12 :         inf MFlops   0.000000 sec
     13x13 :         inf MFlops   0.000000 sec
     14x14 :         inf MFlops   0.000000 sec
     15x15 :         inf MFlops   0.000000 sec
     16x16 :         inf MFlops   0.000000 sec
     17x17 :         inf MFlops   0.000000 sec
     18x18 :         inf MFlops   0.000000 sec
     19x19 :     2888.00 MFlops   0.000001 sec
     20x20 :         inf MFlops   0.000000 sec
     21x21 :     3528.00 MFlops   0.000001 sec
     22x22 :     3872.00 MFlops   0.000001 sec
     23x23 :     4232.00 MFlops   0.000001 sec
     24x24 :         inf MFlops   0.000000 sec
     25x25 :     5000.00 MFlops   0.000001 sec
     26x26 :     5408.00 MFlops   0.000001 sec
     27x27 :     5832.00 MFlops   0.000001 sec
     28x28 :     6272.00 MFlops   0.000001 sec
     29x29 :     6728.00 MFlops   0.000001 sec
     30x30 :     7200.00 MFlops   0.000001 sec
     31x31 :     7688.00 MFlops   0.000001 sec
     32x32 :     8192.00 MFlops   0.000001 sec
     33x33 :     4356.00 MFlops   0.000002 sec
     34x34 :     9248.00 MFlops   0.000001 sec
     35x35 :     4900.00 MFlops   0.000002 sec
     36x36 :     5184.00 MFlops   0.000002 sec
     37x37 :    10952.00 MFlops   0.000001 sec
     38x38 :     5776.00 MFlops   0.000002 sec
     39x39 :    12168.00 MFlops   0.000001 sec
     40x40 :     6400.00 MFlops   0.000002 sec
     41x41 :     6724.00 MFlops   0.000002 sec
     42x42 :     7056.00 MFlops   0.000002 sec
     43x43 :     7396.00 MFlops   0.000002 sec
     44x44 :     7744.00 MFlops   0.000002 sec
     45x45 :     8100.00 MFlops   0.000002 sec
     46x46 :     8464.00 MFlops   0.000002 sec
     47x47 :     5890.67 MFlops   0.000003 sec
     48x48 :     6144.00 MFlops   0.000003 sec
     49x49 :     6402.67 MFlops   0.000003 sec
     50x50 :    10000.00 MFlops   0.000002 sec
     51x51 :     6936.00 MFlops   0.000003 sec
     52x52 :     7210.67 MFlops   0.000003 sec
     53x53 :    11236.00 MFlops   0.000002 sec
     54x54 :     7776.00 MFlops   0.000003 sec
     55x55 :     8066.67 MFlops   0.000003 sec
     56x56 :     8362.67 MFlops   0.000003 sec
     57x57 :     6498.00 MFlops   0.000004 sec
     58x58 :     8970.67 MFlops   0.000003 sec
     59x59 :     9282.67 MFlops   0.000003 sec
     60x60 :     7200.00 MFlops   0.000004 sec
     61x61 :     7442.00 MFlops   0.000004 sec
     62x62 :     7688.00 MFlops   0.000004 sec
     63x63 :     7938.00 MFlops   0.000004 sec
     64x64 :     1057.03 MFlops   0.000031 sec
     65x65 :     2253.33 MFlops   0.000015 sec
     66x66 :     2489.14 MFlops   0.000014 sec
     67x67 :     2244.50 MFlops   0.000016 sec
     68x68 :     2642.29 MFlops   0.000014 sec
     69x69 :     2380.50 MFlops   0.000016 sec
     70x70 :     2800.00 MFlops   0.000014 sec
     71x71 :     2880.57 MFlops   0.000014 sec
     72x72 :     2962.29 MFlops   0.000014 sec
     73x73 :     2664.50 MFlops   0.000016 sec
     74x74 :     2738.00 MFlops   0.000016 sec
     75x75 :     2812.50 MFlops   0.000016 sec
     76x76 :     2888.00 MFlops   0.000016 sec
     77x77 :     3388.00 MFlops   0.000014 sec
     78x78 :     2863.06 MFlops   0.000017 sec
     79x79 :     2627.79 MFlops   0.000019 sec
     80x80 :     3200.00 MFlops   0.000016 sec
     81x81 :     3087.53 MFlops   0.000017 sec
     82x82 :     2988.44 MFlops   0.000018 sec
     83x83 :     3444.50 MFlops   0.000016 sec
     84x84 :     3763.20 MFlops   0.000015 sec
     85x85 :     3612.50 MFlops   0.000016 sec
     86x86 :     3114.11 MFlops   0.000019 sec
     87x87 :     3186.95 MFlops   0.000019 sec
     88x88 :     3644.24 MFlops   0.000017 sec
     89x89 :     3727.53 MFlops   0.000017 sec
     90x90 :     3600.00 MFlops   0.000018 sec
     91x91 :     3896.94 MFlops   0.000017 sec
     92x92 :     3983.06 MFlops   0.000017 sec
     93x93 :     3641.68 MFlops   0.000019 sec
     94x94 :     3534.40 MFlops   0.000020 sec
     95x95 :     3800.00 MFlops   0.000019 sec
     96x96 :     3880.42 MFlops   0.000019 sec
     97x97 :     3763.60 MFlops   0.000020 sec
     98x98 :     3841.60 MFlops   0.000020 sec
     99x99 :     3564.00 MFlops   0.000022 sec
    100x100 :     3636.36 MFlops   0.000022 sec
    101x101 :     3548.17 MFlops   0.000023 sec
    102x102 :     3783.27 MFlops   0.000022 sec
    103x103 :     4243.60 MFlops   0.000020 sec
    104x104 :     4326.40 MFlops   0.000020 sec
    105x105 :     4410.00 MFlops   0.000020 sec
    106x106 :     3457.23 MFlops   0.000026 sec
    107x107 :     4361.52 MFlops   0.000021 sec
    108x108 :     4241.45 MFlops   0.000022 sec
    109x109 :     4752.40 MFlops   0.000020 sec
    110x110 :     4033.33 MFlops   0.000024 sec
    111x111 :     4928.40 MFlops   0.000020 sec
    112x112 :     4561.45 MFlops   0.000022 sec
    113x113 :     4441.39 MFlops   0.000023 sec
    114x114 :     4725.82 MFlops   0.000022 sec
    115x115 :     5038.10 MFlops   0.000021 sec
    116x116 :     4485.33 MFlops   0.000024 sec
    117x117 :     4563.00 MFlops   0.000024 sec
    118x118 :     5063.27 MFlops   0.000022 sec
    119x119 :     4531.52 MFlops   0.000025 sec
    120x120 :     6063.16 MFlops   0.000019 sec
    121x121 :     4685.12 MFlops   0.000025 sec
    122x122 :     4579.69 MFlops   0.000026 sec
    123x123 :     4841.28 MFlops   0.000025 sec
    124x124 :     4555.85 MFlops   0.000027 sec
    125x125 :     5000.00 MFlops   0.000025 sec
    126x126 :     5080.32 MFlops   0.000025 sec
    127x127 :     5610.09 MFlops   0.000023 sec
    128x128 :     5461.33 MFlops   0.000024 sec
    129x129 :     5325.12 MFlops   0.000025 sec
    130x130 :     4828.57 MFlops   0.000028 sec
    131x131 :     4734.07 MFlops   0.000029 sec
    132x132 :     5361.23 MFlops   0.000026 sec
    133x133 :     5241.19 MFlops   0.000027 sec
    134x134 :     5130.29 MFlops   0.000028 sec
    135x135 :     5400.00 MFlops   0.000027 sec
    136x136 :     5102.34 MFlops   0.000029 sec
    137x137 :     4843.61 MFlops   0.000031 sec
    138x138 :     2672.84 MFlops   0.000057 sec
    139x139 :     5329.93 MFlops   0.000029 sec
    140x140 :     6272.00 MFlops   0.000025 sec
    141x141 :     5680.29 MFlops   0.000028 sec
    142x142 :     6204.31 MFlops   0.000026 sec
    143x143 :     6058.96 MFlops   0.000027 sec
    144x144 :     6144.00 MFlops   0.000027 sec
    145x145 :     6229.63 MFlops   0.000027 sec
    146x146 :     5684.27 MFlops   0.000030 sec
    147x147 :     6648.92 MFlops   0.000026 sec
    148x148 :     6258.29 MFlops   0.000028 sec
    149x149 :     6578.07 MFlops   0.000027 sec
    150x150 :     6666.67 MFlops   0.000027 sec
    151x151 :     6289.93 MFlops   0.000029 sec
    152x152 :     5600.97 MFlops   0.000033 sec
    153x153 :     6688.29 MFlops   0.000028 sec
    154x154 :     6324.27 MFlops   0.000030 sec
    155x155 :     5824.24 MFlops   0.000033 sec
    156x156 :     6953.14 MFlops   0.000028 sec
    157x157 :     5975.52 MFlops   0.000033 sec
    158x158 :     7132.57 MFlops   0.000028 sec
    159x159 :     5322.32 MFlops   0.000038 sec
    160x160 :     6606.45 MFlops   0.000031 sec
    161x161 :     6283.88 MFlops   0.000033 sec
    162x162 :     5998.63 MFlops   0.000035 sec
    163x163 :     6251.53 MFlops   0.000034 sec
    164x164 :     3912.15 MFlops   0.000055 sec
    165x165 :     6050.00 MFlops   0.000036 sec
    166x166 :     4498.94 MFlops   0.000049 sec
    167x167 :     5441.76 MFlops   0.000041 sec
    168x168 :     6102.49 MFlops   0.000037 sec
    169x169 :     6175.35 MFlops   0.000037 sec
    170x170 :     5639.02 MFlops   0.000041 sec
    171x171 :     5705.56 MFlops   0.000041 sec
    172x172 :     5504.00 MFlops   0.000043 sec
    173x173 :     5441.64 MFlops   0.000044 sec
    174x174 :     4943.02 MFlops   0.000049 sec
    175x175 :     5000.00 MFlops   0.000049 sec
    176x176 :     6697.51 MFlops   0.000037 sec
    177x177 :     6426.46 MFlops   0.000039 sec
    178x178 :     5393.02 MFlops   0.000047 sec
    179x179 :     5453.79 MFlops   0.000047 sec
    180x180 :     5400.00 MFlops   0.000048 sec
    181x181 :     5956.55 MFlops   0.000044 sec
    182x182 :     6973.47 MFlops   0.000038 sec
    183x183 :     5824.17 MFlops   0.000046 sec
    184x184 :     4232.00 MFlops   0.000064 sec
    185x185 :     4346.03 MFlops   0.000063 sec
    186x186 :     4464.00 MFlops   0.000062 sec
    187x187 :     5379.85 MFlops   0.000052 sec
    188x188 :     6283.38 MFlops   0.000045 sec
    189x189 :     4536.00 MFlops   0.000063 sec
    190x190 :     5348.15 MFlops   0.000054 sec
    191x191 :     6080.17 MFlops   0.000048 sec
    192x192 :     6018.61 MFlops   0.000049 sec
    193x193 :     6081.47 MFlops   0.000049 sec
    194x194 :     5790.15 MFlops   0.000052 sec
    195x195 :     5155.93 MFlops   0.000059 sec
    196x196 :     4656.48 MFlops   0.000066 sec
    197x197 :     4139.63 MFlops   0.000075 sec
    198x198 :     4480.46 MFlops   0.000070 sec
    199x199 :     5977.51 MFlops   0.000053 sec
    200x200 :     5925.93 MFlops   0.000054 sec
