From :   1  To : 200 Step =   1 Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        2.67 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :      392.00 MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :         inf MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :     2048.00 MFlops
     17x17 :         inf MFlops
     18x18 :         inf MFlops
     19x19 :         inf MFlops
     20x20 :         inf MFlops
     21x21 :         inf MFlops
     22x22 :         inf MFlops
     23x23 :         inf MFlops
     24x24 :     4608.00 MFlops
     25x25 :         inf MFlops
     26x26 :     5408.00 MFlops
     27x27 :         inf MFlops
     28x28 :         inf MFlops
     29x29 :         inf MFlops
     30x30 :         inf MFlops
     31x31 :     7688.00 MFlops
     32x32 :         inf MFlops
     33x33 :     8712.00 MFlops
     34x34 :         inf MFlops
     35x35 :     9800.00 MFlops
     36x36 :         inf MFlops
     37x37 :         inf MFlops
     38x38 :    11552.00 MFlops
     39x39 :         inf MFlops
     40x40 :    12800.00 MFlops
     41x41 :         inf MFlops
     42x42 :    14112.00 MFlops
     43x43 :    14792.00 MFlops
     44x44 :    15488.00 MFlops
     45x45 :    16200.00 MFlops
     46x46 :         inf MFlops
     47x47 :    17672.00 MFlops
     48x48 :    18432.00 MFlops
     49x49 :     1746.18 MFlops
     50x50 :     2857.14 MFlops
     51x51 :     2080.80 MFlops
     52x52 :     1966.55 MFlops
     53x53 :     2496.89 MFlops
     54x54 :     2916.00 MFlops
     55x55 :     3025.00 MFlops
     56x56 :     2280.73 MFlops
     57x57 :     2599.20 MFlops
     58x58 :     2990.22 MFlops
     59x59 :     3481.00 MFlops
     60x60 :     3200.00 MFlops
     61x61 :     3721.00 MFlops
     62x62 :     2562.67 MFlops
     63x63 :     2886.55 MFlops
     64x64 :     3640.89 MFlops
     65x65 :     3755.56 MFlops
     66x66 :     3872.00 MFlops
     67x67 :     5130.29 MFlops
     68x68 :     3699.20 MFlops
     69x69 :     4761.00 MFlops
     70x70 :     4900.00 MFlops
     71x71 :     4480.89 MFlops
     72x72 :     4147.20 MFlops
     73x73 :     4263.20 MFlops
     74x74 :     4867.56 MFlops
     75x75 :     4090.91 MFlops
     76x76 :     5776.00 MFlops
     77x77 :     4312.00 MFlops
     78x78 :     6084.00 MFlops
     79x79 :     4160.67 MFlops
     80x80 :     6400.00 MFlops
     81x81 :     5832.00 MFlops
     82x82 :     4890.18 MFlops
     83x83 :     5010.18 MFlops
     84x84 :     4704.00 MFlops
     85x85 :     6422.22 MFlops
     86x86 :     5378.91 MFlops
     87x87 :     5504.73 MFlops
     88x88 :     6195.20 MFlops
     89x89 :     6336.80 MFlops
     90x90 :     5890.91 MFlops
     91x91 :     6624.80 MFlops
     92x92 :     7523.56 MFlops
     93x93 :     6290.18 MFlops
     94x94 :     7068.80 MFlops
     95x95 :     6563.64 MFlops
     96x96 :     8192.00 MFlops
     97x97 :     7527.20 MFlops
     98x98 :     6402.67 MFlops
     99x99 :     7840.80 MFlops
    100x100 :     7272.73 MFlops
    101x101 :     8160.80 MFlops
    102x102 :     6936.00 MFlops
    103x103 :     7715.64 MFlops
    104x104 :     6180.57 MFlops
    105x105 :     6784.62 MFlops
    106x106 :     8171.64 MFlops
    107x107 :     5088.44 MFlops
    108x108 :     7776.00 MFlops
    109x109 :     7920.67 MFlops
    110x110 :     8066.67 MFlops
    111x111 :     8960.73 MFlops
    112x112 :    10035.20 MFlops
    113x113 :     9286.55 MFlops
    114x114 :    10396.80 MFlops
    115x115 :     9618.18 MFlops
    116x116 :     9786.18 MFlops
    117x117 :    10951.20 MFlops
    118x118 :     9282.67 MFlops
    119x119 :     9440.67 MFlops
    120x120 :    10472.73 MFlops
    121x121 :     9760.67 MFlops
    122x122 :    10824.73 MFlops
    123x123 :    10086.00 MFlops
    124x124 :    11182.55 MFlops
    125x125 :    10416.67 MFlops
    126x126 :    12700.80 MFlops
    127x127 :    10752.67 MFlops
    128x128 :    11915.64 MFlops
    129x129 :    11094.00 MFlops
    130x130 :    12290.91 MFlops
    131x131 :    11440.67 MFlops
    132x132 :    12672.00 MFlops
    133x133 :    11792.67 MFlops
    134x134 :    13058.91 MFlops
    135x135 :    12150.00 MFlops
    136x136 :    11382.15 MFlops
    137x137 :    12512.67 MFlops
    138x138 :    12696.00 MFlops
    139x139 :    12880.67 MFlops
    140x140 :    12061.54 MFlops
    141x141 :    14458.91 MFlops
    142x142 :    14664.73 MFlops
    143x143 :    12584.00 MFlops
    144x144 :    13824.00 MFlops
    145x145 :    12014.29 MFlops
    146x146 :    15502.55 MFlops
    147x147 :    14406.00 MFlops
    148x148 :    14602.67 MFlops
    149x149 :    14800.67 MFlops
    150x150 :    16363.64 MFlops
    151x151 :    14031.38 MFlops
    152x152 :    16802.91 MFlops
    153x153 :    15606.00 MFlops
    154x154 :    14594.46 MFlops
    155x155 :    16016.67 MFlops
    156x156 :    14976.00 MFlops
    157x157 :    15168.62 MFlops
    158x158 :    14265.14 MFlops
    159x159 :    14446.29 MFlops
    160x160 :    15753.85 MFlops
    161x161 :    14812.00 MFlops
    162x162 :    14996.57 MFlops
    163x163 :    15182.29 MFlops
    164x164 :    16551.38 MFlops
    165x165 :    18150.00 MFlops
    166x166 :    16957.54 MFlops
    167x167 :    15936.57 MFlops
    168x168 :    16128.00 MFlops
    169x169 :    17576.00 MFlops
    170x170 :    15413.33 MFlops
    171x171 :    16709.14 MFlops
    172x172 :    18205.54 MFlops
    173x173 :    15962.13 MFlops
    174x174 :    18631.38 MFlops
    175x175 :    20416.67 MFlops
    176x176 :    19062.15 MFlops
    177x177 :    19279.38 MFlops
    178x178 :    16898.13 MFlops
    179x179 :    18309.14 MFlops
    180x180 :    18514.29 MFlops
    181x181 :    17472.53 MFlops
    182x182 :    18928.00 MFlops
    183x183 :    16744.50 MFlops
    184x184 :    19346.29 MFlops
    185x185 :    19557.14 MFlops
    186x186 :    18451.20 MFlops
    187x187 :     1852.66 MFlops
    188x188 :    21750.15 MFlops
    189x189 :    17860.50 MFlops
    190x190 :    19253.33 MFlops
    191x191 :    18240.50 MFlops
    192x192 :    21065.14 MFlops
    193x193 :    17528.94 MFlops
    194x194 :    17711.06 MFlops
    195x195 :    19012.50 MFlops
    196x196 :    20488.53 MFlops
    197x197 :    16340.63 MFlops
    198x198 :    22402.29 MFlops
    199x199 :    18635.76 MFlops
    200x200 :    20000.00 MFlops
