From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 1x1 :       0.24 MFlops   0.000045 s
 2x2 :       1.52 MFlops   0.000056 s
 3x3 :      16.00 MFlops   0.000018 s
 4x4 :      45.51 MFlops   0.000015 s
 5x5 :      78.43 MFlops   0.000017 s
 6x6 :     177.23 MFlops   0.000013 s
 7x7 :     228.67 MFlops   0.000016 s
 8x8 :     390.10 MFlops   0.000014 s
 9x9 :     598.15 MFlops   0.000013 s
 10x10 :     138.53 MFlops   0.000077 s
 11x11 :     443.67 MFlops   0.000032 s
 12x12 :     576.00 MFlops   0.000032 s
 13x13 :     689.25 MFlops   0.000034 s
 14x14 :     680.68 MFlops   0.000043 s
 15x15 :     818.18 MFlops   0.000044 s
 16x16 :     970.90 MFlops   0.000045 s
 17x17 :    1191.03 MFlops   0.000044 s
 18x18 :    1382.40 MFlops   0.000045 s
 19x19 :    1161.31 MFlops   0.000063 s
 20x20 :    1312.82 MFlops   0.000065 s
 21x21 :    1519.75 MFlops   0.000065 s
 22x22 :    1622.55 MFlops   0.000070 s
 23x23 :    1260.01 MFlops   0.000103 s
 24x24 :    1585.55 MFlops   0.000093 s
 25x25 :    1754.39 MFlops   0.000095 s
 26x26 :    1952.89 MFlops   0.000096 s
 27x27 :    1809.93 MFlops   0.000116 s
 28x28 :    2148.21 MFlops   0.000109 s
 29x29 :    1898.90 MFlops   0.000137 s
 30x30 :    2028.17 MFlops   0.000142 s
 31x31 :     182.10 MFlops   0.001745 s
 32x32 :    2912.71 MFlops   0.000120 s
 33x33 :    3248.54 MFlops   0.000118 s
 34x34 :    3380.99 MFlops   0.000124 s
 35x35 :    3243.50 MFlops   0.000141 s
 36x36 :    3408.66 MFlops   0.000146 s
 37x37 :    3508.43 MFlops   0.000154 s
 38x38 :    3850.67 MFlops   0.000152 s
 39x39 :    3979.47 MFlops   0.000159 s
 40x40 :    3900.95 MFlops   0.000175 s
 41x41 :    4249.46 MFlops   0.000173 s
 42x42 :    4818.73 MFlops   0.000164 s
 43x43 :    8233.73 MFlops   0.000103 s
 44x44 :    8821.64 MFlops   0.000103 s
 45x45 :    8836.36 MFlops   0.000110 s
 46x46 :    5612.17 MFlops   0.000185 s
 47x47 :    7099.01 MFlops   0.000156 s
 48x48 :    8803.34 MFlops   0.000134 s
 49x49 :    9160.02 MFlops   0.000137 s
 50x50 :    9070.29 MFlops   0.000147 s
 51x51 :    7146.18 MFlops   0.000198 s
 52x52 :    9739.08 MFlops   0.000154 s
 53x53 :    9341.30 MFlops   0.000170 s
 54x54 :   10497.60 MFlops   0.000160 s
 55x55 :    9859.26 MFlops   0.000180 s
 56x56 :   10292.51 MFlops   0.000182 s
 57x57 :   10396.80 MFlops   0.000190 s
 58x58 :   10896.31 MFlops   0.000191 s
 59x59 :   10899.05 MFlops   0.000201 s
 60x60 :   13552.94 MFlops   0.000170 s
 61x61 :   14241.95 MFlops   0.000170 s
 62x62 :   14953.91 MFlops   0.000170 s
 63x63 :   15597.47 MFlops   0.000171 s
 64x64 :   14339.50 MFlops   0.000195 s
 65x65 :   15581.56 MFlops   0.000188 s
 66x66 :   15646.04 MFlops   0.000196 s
 67x67 :   14258.39 MFlops   0.000225 s
 68x68 :   16686.28 MFlops   0.000201 s
 69x69 :   17010.17 MFlops   0.000206 s
 70x70 :   16555.05 MFlops   0.000221 s
 71x71 :   16671.25 MFlops   0.000229 s
 72x72 :   17933.84 MFlops   0.000222 s
 73x73 :   17289.64 MFlops   0.000240 s
 74x74 :   16753.45 MFlops   0.000258 s
 75x75 :   17716.54 MFlops   0.000254 s
 76x76 :   17940.27 MFlops   0.000261 s
 77x77 :   18445.78 MFlops   0.000264 s
 78x78 :   18541.71 MFlops   0.000273 s
 79x79 :   16642.67 MFlops   0.000316 s
 80x80 :   17013.50 MFlops   0.000321 s
 81x81 :   16672.66 MFlops   0.000340 s
 82x82 :   15938.37 MFlops   0.000369 s
 83x83 :   18044.56 MFlops   0.000338 s
 84x84 :   21286.79 MFlops   0.000297 s
 85x85 :   21690.95 MFlops   0.000302 s
 86x86 :   21745.50 MFlops   0.000312 s
 87x87 :   22585.31 MFlops   0.000311 s
 88x88 :   23076.30 MFlops   0.000315 s
 89x89 :   22446.77 MFlops   0.000335 s
 90x90 :   22803.52 MFlops   0.000341 s
 91x91 :   23366.54 MFlops   0.000344 s
 92x92 :   23072.24 MFlops   0.000360 s
 93x93 :   25234.73 MFlops   0.000340 s
 94x94 :   18930.69 MFlops   0.000468 s
 95x95 :   20597.60 MFlops   0.000444 s
 96x96 :   20832.64 MFlops   0.000453 s
 97x97 :   20935.87 MFlops   0.000465 s
 98x98 :   25351.97 MFlops   0.000396 s
 99x99 :   25367.29 MFlops   0.000408 s
 100x100 :   26016.26 MFlops   0.000410 s
 101x101 :   24751.98 MFlops   0.000444 s
 102x102 :   22238.81 MFlops   0.000509 s
 103x103 :   22588.67 MFlops   0.000516 s
 104x104 :   26486.86 MFlops   0.000453 s
 105x105 :   28191.78 MFlops   0.000438 s
 106x106 :   29138.01 MFlops   0.000436 s
 107x107 :   27684.59 MFlops   0.000472 s
 108x108 :   23656.56 MFlops   0.000568 s
 109x109 :   23816.63 MFlops   0.000580 s
 110x110 :   27837.91 MFlops   0.000510 s
 111x111 :   16825.91 MFlops   0.000867 s
 112x112 :    6762.59 MFlops   0.002216 s
 113x113 :   29428.11 MFlops   0.000523 s
 114x114 :   30390.65 MFlops   0.000520 s
 115x115 :   20052.74 MFlops   0.000809 s
 116x116 :    3607.70 MFlops   0.004615 s
 117x117 :   18711.80 MFlops   0.000913 s
 118x118 :   25547.63 MFlops   0.000686 s
 119x119 :   30363.23 MFlops   0.000592 s
 120x120 :   31670.10 MFlops   0.000582 s
 121x121 :   30676.38 MFlops   0.000616 s
 122x122 :   29302.64 MFlops   0.000661 s
 123x123 :   33757.22 MFlops   0.000588 s
 124x124 :   25389.92 MFlops   0.000801 s
 125x125 :   25656.81 MFlops   0.000812 s
 126x126 :   33339.60 MFlops   0.000640 s
 127x127 :   32178.82 MFlops   0.000679 s
 128x128 :   23797.47 MFlops   0.000940 s
 129x129 :   33922.99 MFlops   0.000675 s
 130x130 :   33287.88 MFlops   0.000704 s
 131x131 :   28925.98 MFlops   0.000829 s
 132x132 :   27846.76 MFlops   0.000881 s
 133x133 :   35048.60 MFlops   0.000716 s
 134x134 :   35061.62 MFlops   0.000732 s
 135x135 :   31888.21 MFlops   0.000823 s
 136x136 :   34666.06 MFlops   0.000774 s
 137x137 :   27760.90 MFlops   0.000988 s
 138x138 :   36548.59 MFlops   0.000767 s
 139x139 :   35943.04 MFlops   0.000797 s
 140x140 :   36269.31 MFlops   0.000807 s
 141x141 :   37516.97 MFlops   0.000797 s
 142x142 :   30120.06 MFlops   0.001014 s
 143x143 :   30341.97 MFlops   0.001028 s
 144x144 :   33386.26 MFlops   0.000954 s
 145x145 :   30306.31 MFlops   0.001073 s
 146x146 :   31170.06 MFlops   0.001065 s
 147x147 :   37111.62 MFlops   0.000913 s
 148x148 :   38896.64 MFlops   0.000889 s
 149x149 :   31225.48 MFlops   0.001130 s
 150x150 :   32000.00 MFlops   0.001125 s
 151x151 :   31043.80 MFlops   0.001183 s
 152x152 :   37991.16 MFlops   0.000986 s
 153x153 :   37018.88 MFlops   0.001032 s
 154x154 :   38381.76 MFlops   0.001015 s
 155x155 :   39406.08 MFlops   0.001008 s
 156x156 :   38714.25 MFlops   0.001046 s
 157x157 :   39539.14 MFlops   0.001044 s
 158x158 :   37101.11 MFlops   0.001134 s
 159x159 :   40071.57 MFlops   0.001070 s
 160x160 :   38024.95 MFlops   0.001149 s
 161x161 :   32351.02 MFlops   0.001376 s
 162x162 :   42823.07 MFlops   0.001059 s
 163x163 :   32808.69 MFlops   0.001408 s
 164x164 :   44937.98 MFlops   0.001047 s
 165x165 :   33507.69 MFlops   0.001430 s
 166x166 :   35982.66 MFlops   0.001356 s
 167x167 :   36826.99 MFlops   0.001349 s
 168x168 :   41422.94 MFlops   0.001221 s
 169x169 :   38365.10 MFlops   0.001342 s
 170x170 :   34095.86 MFlops   0.001537 s
 171x171 :   41897.55 MFlops   0.001273 s
 172x172 :   34837.47 MFlops   0.001558 s
 173x173 :   52102.81 MFlops   0.001060 s
