From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 1x1 :       0.46 MFlops   0.000023 s
 2x2 :      28.44 MFlops   0.000003 s
 3x3 :     288.00 MFlops   0.000001 s
 4x4 :     682.67 MFlops   0.000001 s
 5x5 :    1333.33 MFlops   0.000001 s
 6x6 :    1152.00 MFlops   0.000002 s
 7x7 :    1829.33 MFlops   0.000002 s
 8x8 :    2730.67 MFlops   0.000002 s
 9x9 :    3888.00 MFlops   0.000002 s
 10x10 :    3555.56 MFlops   0.000003 s
 11x11 :    4732.44 MFlops   0.000003 s
 12x12 :    6144.00 MFlops   0.000003 s
 13x13 :    4686.93 MFlops   0.000005 s
 14x14 :    5853.87 MFlops   0.000005 s
 15x15 :    6000.00 MFlops   0.000006 s
 16x16 :     485.45 MFlops   0.000090 s
 17x17 :    2620.27 MFlops   0.000020 s
 18x18 :    6220.80 MFlops   0.000010 s
 19x19 :    6651.15 MFlops   0.000011 s
 20x20 :    7111.11 MFlops   0.000012 s
 21x21 :    7598.77 MFlops   0.000013 s
 22x22 :    8112.76 MFlops   0.000014 s
 23x23 :    7634.20 MFlops   0.000017 s
 24x24 :    8673.88 MFlops   0.000017 s
 25x25 :    9259.26 MFlops   0.000018 s
 26x26 :    9867.23 MFlops   0.000019 s
 27x27 :    9997.71 MFlops   0.000021 s
 28x28 :    9756.44 MFlops   0.000024 s
 29x29 :   10405.97 MFlops   0.000025 s
 30x30 :   11076.92 MFlops   0.000026 s
 31x31 :   10957.61 MFlops   0.000029 s
 32x32 :    8525.01 MFlops   0.000041 s
 33x33 :    4914.46 MFlops   0.000078 s
 34x34 :   10225.43 MFlops   0.000041 s
 35x35 :    7885.06 MFlops   0.000058 s
 36x36 :   10156.41 MFlops   0.000049 s
 37x37 :   11745.62 MFlops   0.000046 s
 38x38 :   12453.22 MFlops   0.000047 s
 39x39 :   12912.98 MFlops   0.000049 s
 40x40 :   13653.33 MFlops   0.000050 s
 41x41 :   14703.15 MFlops   0.000050 s
 42x42 :   14368.58 MFlops   0.000055 s
 43x43 :   14878.50 MFlops   0.000057 s
 44x44 :   15666.02 MFlops   0.000058 s
 45x45 :   16200.00 MFlops   0.000060 s
 46x46 :   15973.09 MFlops   0.000065 s
 47x47 :   17037.62 MFlops   0.000065 s
 48x48 :   17347.76 MFlops   0.000068 s
 49x49 :   18187.29 MFlops   0.000069 s
 50x50 :   17543.86 MFlops   0.000076 s
 51x51 :   18617.68 MFlops   0.000076 s
 52x52 :   19478.16 MFlops   0.000077 s
 53x53 :   20101.54 MFlops   0.000079 s
 54x54 :   20236.34 MFlops   0.000083 s
 55x55 :   20398.47 MFlops   0.000087 s
 56x56 :   21047.61 MFlops   0.000089 s
 57x57 :   21014.81 MFlops   0.000094 s
 58x58 :   21455.62 MFlops   0.000097 s
 59x59 :   21064.51 MFlops   0.000104 s
 60x60 :   21942.86 MFlops   0.000105 s
 61x61 :   22627.39 MFlops   0.000107 s
 62x62 :   23322.62 MFlops   0.000109 s
 63x63 :   23192.77 MFlops   0.000115 s
 64x64 :   23899.17 MFlops   0.000117 s
 65x65 :   18423.48 MFlops   0.000159 s
 66x66 :   22715.73 MFlops   0.000135 s
 67x67 :   23417.07 MFlops   0.000137 s
 68x68 :   24129.07 MFlops   0.000139 s
 69x69 :   23837.39 MFlops   0.000147 s
 70x70 :   24888.89 MFlops   0.000147 s
 71x71 :   25795.39 MFlops   0.000148 s
 72x72 :   26192.84 MFlops   0.000152 s
 73x73 :   26599.45 MFlops   0.000156 s
 74x74 :   26847.14 MFlops   0.000161 s
 75x75 :   25862.07 MFlops   0.000174 s
