From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        1.33 MFlops :       0.00 Sec : 64
      2 :        2.50 MFlops :       0.00 Sec : 128
      3 :      128.00 MFlops :       0.00 Sec : 192
      4 :      152.00 MFlops :       0.00 Sec : 256
      5 :      300.00 MFlops :       0.00 Sec : 320
      6 :     1048.00 MFlops :       0.00 Sec : 384
      7 :      840.00 MFlops :       0.00 Sec : 448
      8 :     1264.00 MFlops :       0.00 Sec : 512
      9 :     1812.00 MFlops :       0.00 Sec : 576
     10 :     1666.67 MFlops :       0.00 Sec : 640
     11 :     2229.33 MFlops :       0.00 Sec : 704
     12 :     2906.67 MFlops :       0.00 Sec : 768
     13 :     2782.00 MFlops :       0.00 Sec : 832
     14 :     3486.00 MFlops :       0.00 Sec : 896
     15 :     3440.00 MFlops :       0.00 Sec : 960
     16 :     4185.60 MFlops :       0.00 Sec : 1024
     17 :     5032.00 MFlops :       0.00 Sec : 1088
     18 :     4988.00 MFlops :       0.00 Sec : 1152
     19 :     5037.71 MFlops :       0.00 Sec : 1216
     20 :     5885.71 MFlops :       0.00 Sec : 1280
     21 :     5971.00 MFlops :       0.00 Sec : 1344
     22 :     6111.11 MFlops :       0.00 Sec : 1408
     23 :     6992.00 MFlops :       0.00 Sec : 1472
     24 :     7158.40 MFlops :       0.00 Sec : 1536
     25 :     6750.00 MFlops :       0.00 Sec : 1600
     26 :     7600.67 MFlops :       0.00 Sec : 1664
     27 :     7302.86 MFlops :       0.00 Sec : 1728
     28 :     8779.08 MFlops :       0.00 Sec : 1792
     29 :     8460.27 MFlops :       0.00 Sec : 1856
     30 :     8787.50 MFlops :       0.00 Sec : 1920
     31 :     9132.24 MFlops :       0.00 Sec : 1984
     32 :     9493.33 MFlops :       0.00 Sec : 2048
     33 :     9376.40 MFlops :       0.00 Sec : 2112
     34 :     9772.57 MFlops :       0.00 Sec : 2176
     35 :     9739.13 MFlops :       0.00 Sec : 2240
     36 :    10603.83 MFlops :       0.00 Sec : 2304
     37 :     9811.85 MFlops :       0.00 Sec : 2368
     38 :    10254.57 MFlops :       0.00 Sec : 2432
     39 :    10708.41 MFlops :       0.00 Sec : 2496
     40 :    11173.33 MFlops :       0.00 Sec : 2560
     41 :    10943.27 MFlops :       0.00 Sec : 2624
     42 :    11422.35 MFlops :       0.00 Sec : 2688
     43 :    11581.33 MFlops :       0.00 Sec : 2752
     44 :    12077.41 MFlops :       0.00 Sec : 2816
     45 :    11955.00 MFlops :       0.00 Sec : 2880
     46 :    12165.90 MFlops :       0.00 Sec : 2944
     47 :    12390.91 MFlops :       0.00 Sec : 3008
     48 :    12628.87 MFlops :       0.00 Sec : 3072
     49 :    12363.68 MFlops :       0.00 Sec : 3136
     50 :    12882.35 MFlops :       0.00 Sec : 3200
     51 :    13158.64 MFlops :       0.00 Sec : 3264
     52 :    13444.36 MFlops :       0.00 Sec : 3328
     53 :    13052.13 MFlops :       0.00 Sec : 3392
     54 :    13582.03 MFlops :       0.00 Sec : 3456
     55 :    13470.77 MFlops :       0.00 Sec : 3520
     56 :    13797.73 MFlops :       0.00 Sec : 3584
     57 :    13733.52 MFlops :       0.00 Sec : 3648
     58 :    14075.73 MFlops :       0.00 Sec : 3712
     59 :    14049.66 MFlops :       0.00 Sec : 3776
     60 :    14405.06 MFlops :       0.00 Sec : 3840
     61 :    14239.14 MFlops :       0.00 Sec : 3904
     62 :    13222.32 MFlops :       0.00 Sec : 3968
     63 :    14327.48 MFlops :       0.00 Sec : 4032
     64 :    15188.40 MFlops :       0.00 Sec : 4096
     65 :     9527.63 MFlops :       0.00 Sec : 4160
     66 :    12228.45 MFlops :       0.00 Sec : 4224
     67 :    14690.37 MFlops :       0.00 Sec : 4288
     68 :    14552.00 MFlops :       0.00 Sec : 4352
     69 :    14326.15 MFlops :       0.00 Sec : 4416
     70 :    14717.07 MFlops :       0.00 Sec : 4480
     71 :    16146.74 MFlops :       0.00 Sec : 4544
     72 :    15890.32 MFlops :       0.00 Sec : 4608
     73 :    14566.87 MFlops :       0.00 Sec : 4672
     74 :    11629.26 MFlops :       0.00 Sec : 4736
     75 :    11367.35 MFlops :       0.00 Sec : 4800
     76 :    15880.88 MFlops :       0.00 Sec : 4864
     77 :    15072.75 MFlops :       0.00 Sec : 4928
     78 :    12923.34 MFlops :       0.00 Sec : 4992
     79 :    12770.12 MFlops :       0.00 Sec : 5056
     80 :    12702.35 MFlops :       0.00 Sec : 5120
     81 :    13634.21 MFlops :       0.00 Sec : 5184
     82 :    13746.60 MFlops :       0.00 Sec : 5248
     83 :    15037.45 MFlops :       0.00 Sec : 5312
     84 :    15210.80 MFlops :       0.00 Sec : 5376
     85 :    14626.13 MFlops :       0.00 Sec : 5440
     86 :    15218.50 MFlops :       0.00 Sec : 5504
     87 :    16272.52 MFlops :       0.00 Sec : 5568
     88 :    12342.90 MFlops :       0.00 Sec : 5632
     89 :    12947.03 MFlops :       0.00 Sec : 5696
     90 :    13921.30 MFlops :       0.00 Sec : 5760
     91 :    12736.51 MFlops :       0.00 Sec : 5824
     92 :    14872.78 MFlops :       0.00 Sec : 5888
     93 :    15091.94 MFlops :       0.00 Sec : 5952
     94 :    13523.27 MFlops :       0.00 Sec : 6016
     95 :    14090.68 MFlops :       0.00 Sec : 6080
     96 :    15556.04 MFlops :       0.00 Sec : 6144
     97 :    14863.38 MFlops :       0.00 Sec : 6208
     98 :    14739.43 MFlops :       0.00 Sec : 6272
     99 :    16410.17 MFlops :       0.00 Sec : 6336
    100 :    15169.05 MFlops :       0.00 Sec : 6400
    101 :    15279.57 MFlops :       0.00 Sec : 6464
    102 :    17026.79 MFlops :       0.00 Sec : 6528
    103 :    19416.54 MFlops :       0.00 Sec : 6592
    104 :    17941.88 MFlops :       0.00 Sec : 6656
    105 :    17516.00 MFlops :       0.00 Sec : 6720
    106 :    18126.00 MFlops :       0.00 Sec : 6784
    107 :    16679.90 MFlops :       0.00 Sec : 6848
    108 :    19917.99 MFlops :       0.00 Sec : 6912
    109 :    19712.71 MFlops :       0.00 Sec : 6976
    110 :    18172.68 MFlops :       0.00 Sec : 7040
    111 :    18068.55 MFlops :       0.00 Sec : 7104
    112 :    17850.17 MFlops :       0.00 Sec : 7168
    113 :    18511.21 MFlops :       0.00 Sec : 7232
    114 :    19975.43 MFlops :       0.00 Sec : 7296
    115 :    23225.36 MFlops :       0.00 Sec : 7360
    116 :    22850.08 MFlops :       0.00 Sec : 7424
    117 :    22695.08 MFlops :       0.00 Sec : 7488
    118 :    22915.60 MFlops :       0.00 Sec : 7552
    119 :    23019.75 MFlops :       0.00 Sec : 7616
    120 :    23667.18 MFlops :       0.00 Sec : 7680
    121 :    22043.59 MFlops :       0.00 Sec : 7744
    122 :    24004.49 MFlops :       0.00 Sec : 7808
    123 :    21306.54 MFlops :       0.00 Sec : 7872
    124 :    21831.50 MFlops :       0.00 Sec : 7936
    125 :    21306.58 MFlops :       0.00 Sec : 8000
    126 :    19144.42 MFlops :       0.00 Sec : 8064
    127 :    23870.42 MFlops :       0.00 Sec : 8128
    128 :    21634.49 MFlops :       0.00 Sec : 8192
    129 :    23278.74 MFlops :       0.00 Sec : 8256
    130 :    23923.20 MFlops :       0.00 Sec : 8320
    131 :    23608.02 MFlops :       0.00 Sec : 8384
    132 :    23101.67 MFlops :       0.00 Sec : 8448
    133 :    23766.72 MFlops :       0.00 Sec : 8512
    134 :    24307.86 MFlops :       0.00 Sec : 8576
    135 :    23387.10 MFlops :       0.00 Sec : 8640
    136 :    25560.70 MFlops :       0.00 Sec : 8704
    137 :    24313.23 MFlops :       0.00 Sec : 8768
    138 :    24415.29 MFlops :       0.00 Sec : 8832
    139 :    22831.64 MFlops :       0.00 Sec : 8896
    140 :    22430.20 MFlops :       0.00 Sec : 8960
    141 :    22915.14 MFlops :       0.00 Sec : 9024
    142 :    23407.03 MFlops :       0.00 Sec : 9088
    143 :    23471.90 MFlops :       0.00 Sec : 9152
    144 :    24336.81 MFlops :       0.00 Sec : 9216
    145 :    23614.89 MFlops :       0.00 Sec : 9280
    146 :    21872.54 MFlops :       0.00 Sec : 9344
    147 :    23476.32 MFlops :       0.00 Sec : 9408
    148 :    23184.54 MFlops :       0.00 Sec : 9472
    149 :    22947.17 MFlops :       0.00 Sec : 9536
    150 :    21476.02 MFlops :       0.00 Sec : 9600
    151 :    20811.17 MFlops :       0.00 Sec : 9664
    152 :    24205.51 MFlops :       0.00 Sec : 9728
    153 :    23439.12 MFlops :       0.00 Sec : 9792
    154 :    25985.13 MFlops :       0.00 Sec : 9856
    155 :    26007.37 MFlops :       0.00 Sec : 9920
    156 :    26068.88 MFlops :       0.00 Sec : 9984
    157 :    26993.27 MFlops :       0.00 Sec : 10048
    158 :    26469.69 MFlops :       0.00 Sec : 10112
    159 :    26942.20 MFlops :       0.00 Sec : 10176
    160 :    27248.12 MFlops :       0.00 Sec : 10240
    161 :    27117.37 MFlops :       0.00 Sec : 10304
    162 :    27728.40 MFlops :       0.00 Sec : 10368
    163 :    27734.77 MFlops :       0.00 Sec : 10432
    164 :    28664.07 MFlops :       0.00 Sec : 10496
    165 :    30113.89 MFlops :       0.00 Sec : 10560
    166 :    30021.17 MFlops :       0.00 Sec : 10624
    167 :    28197.67 MFlops :       0.00 Sec : 10688
    168 :    28545.27 MFlops :       0.00 Sec : 10752
    169 :    28668.75 MFlops :       0.00 Sec : 10816
    170 :    28890.59 MFlops :       0.00 Sec : 10880
    171 :    31164.28 MFlops :       0.00 Sec : 10944
    172 :    29857.68 MFlops :       0.00 Sec : 11008
    173 :    31787.20 MFlops :       0.00 Sec : 11072
    174 :    32568.32 MFlops :       0.00 Sec : 11136
    175 :    32453.82 MFlops :       0.00 Sec : 11200
    176 :    31300.98 MFlops :       0.00 Sec : 11264
    177 :    28929.71 MFlops :       0.00 Sec : 11328
    178 :    32557.75 MFlops :       0.00 Sec : 11392
    179 :    30956.81 MFlops :       0.00 Sec : 11456
    180 :    32299.90 MFlops :       0.00 Sec : 11520
    181 :    27555.07 MFlops :       0.00 Sec : 11584
    182 :    29814.79 MFlops :       0.00 Sec : 11648
    183 :    31945.56 MFlops :       0.00 Sec : 11712
    184 :    29257.14 MFlops :       0.00 Sec : 11776
    185 :    31729.25 MFlops :       0.00 Sec : 11840
    186 :    33186.49 MFlops :       0.00 Sec : 11904
    187 :    33209.48 MFlops :       0.00 Sec : 11968
    188 :    30801.16 MFlops :       0.00 Sec : 12032
    189 :    32223.85 MFlops :       0.00 Sec : 12096
    190 :    32303.37 MFlops :       0.00 Sec : 12160
    191 :    34889.09 MFlops :       0.00 Sec : 12224
    192 :    32697.88 MFlops :       0.00 Sec : 12288
    193 :    32925.80 MFlops :       0.00 Sec : 12352
    194 :    33702.40 MFlops :       0.00 Sec : 12416
    195 :    35523.17 MFlops :       0.00 Sec : 12480
    196 :    31953.01 MFlops :       0.00 Sec : 12544
    197 :    32945.17 MFlops :       0.00 Sec : 12608
    198 :    31411.98 MFlops :       0.00 Sec : 12672
    199 :    33686.87 MFlops :       0.00 Sec : 12736
    200 :    34225.44 MFlops :       0.00 Sec : 12800
