From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.47 MFlops
      2 :       64.00 MFlops
      3 :         inf MFlops
      4 :      512.00 MFlops
      5 :     1000.00 MFlops
      6 :      172.80 MFlops
      7 :     1372.00 MFlops
      8 :     4096.00 MFlops
      9 :     5832.00 MFlops
     10 :         inf MFlops
     11 :    10648.00 MFlops
     12 :    13824.00 MFlops
     13 :     8788.00 MFlops
     14 :    10976.00 MFlops
     15 :    13500.00 MFlops
     16 :    16384.00 MFlops
     17 :     6550.67 MFlops
     18 :    15552.00 MFlops
     19 :    27436.00 MFlops
     20 :    21333.33 MFlops
     21 :    24696.00 MFlops
     22 :    21296.00 MFlops
     23 :    19467.20 MFlops
     24 :    27648.00 MFlops
     25 :    25000.00 MFlops
     26 :    28121.60 MFlops
     27 :    31492.80 MFlops
     28 :    25088.00 MFlops
     29 :    27873.14 MFlops
     30 :    30857.14 MFlops
     31 :    29791.00 MFlops
     32 :    29127.11 MFlops
     33 :     4872.81 MFlops
     34 :     9826.00 MFlops
     35 :    20176.47 MFlops
     36 :    21955.76 MFlops
     37 :    20261.20 MFlops
     38 :    15137.10 MFlops
     39 :    23727.60 MFlops
     40 :    26947.37 MFlops
     41 :    27568.40 MFlops
     42 :    17432.47 MFlops
     43 :    25442.24 MFlops
     44 :    30976.00 MFlops
     45 :    30375.00 MFlops
     46 :    31147.52 MFlops
     47 :    25169.21 MFlops
     48 :    29491.20 MFlops
     49 :    31373.07 MFlops
     50 :    31250.00 MFlops
     51 :    29478.00 MFlops
     52 :    24996.98 MFlops
     53 :    32189.62 MFlops
     54 :    33150.32 MFlops
     55 :    25596.15 MFlops
     56 :    29892.09 MFlops
     57 :    36135.22 MFlops
     58 :    38070.63 MFlops
     59 :    38210.05 MFlops
     60 :    38400.00 MFlops
     61 :    39474.96 MFlops
     62 :    39721.33 MFlops
     63 :    43486.43 MFlops
     64 :    43690.67 MFlops
     65 :    30095.89 MFlops
     66 :    38982.51 MFlops
     67 :    45398.19 MFlops
     68 :    48374.15 MFlops
     69 :    33266.73 MFlops
     70 :    47310.34 MFlops
     71 :    44050.58 MFlops
     72 :    52385.68 MFlops
     73 :    54598.88 MFlops
     74 :    50653.00 MFlops
     75 :    56250.00 MFlops
     76 :    54872.00 MFlops
     77 :    53709.76 MFlops
     78 :    52728.00 MFlops
     79 :    58004.59 MFlops
     80 :    57690.14 MFlops
     81 :    59049.00 MFlops
     82 :    62125.97 MFlops
     83 :    57178.70 MFlops
     84 :    58538.67 MFlops
     85 :    62189.87 MFlops
     86 :    59864.09 MFlops
     87 :    65850.30 MFlops
     88 :    68147.20 MFlops
     89 :    67139.90 MFlops
     90 :    67813.95 MFlops
     91 :    65527.91 MFlops
     92 :    61678.26 MFlops
     93 :    67029.75 MFlops
     94 :    67117.90 MFlops
     95 :    72968.09 MFlops
     96 :    66148.49 MFlops
     97 :    50009.48 MFlops
     98 :    71033.36 MFlops
     99 :    54282.46 MFlops
    100 :    64516.13 MFlops
    101 :    66471.03 MFlops
    102 :    62886.40 MFlops
    103 :    65727.94 MFlops
    104 :    68173.58 MFlops
    105 :    67108.70 MFlops
    106 :    68547.68 MFlops
    107 :    59758.20 MFlops
    108 :    67635.54 MFlops
    109 :    73476.82 MFlops
    110 :    69594.77 MFlops
    111 :    70134.92 MFlops
    112 :    72983.27 MFlops
    113 :    69537.20 MFlops
    114 :    56709.82 MFlops
    115 :    67220.99 MFlops
    116 :    70152.63 MFlops
    117 :    70015.87 MFlops
    118 :    72620.20 MFlops
    119 :    74072.92 MFlops
    120 :    64000.00 MFlops
    121 :    76196.17 MFlops
    122 :    65732.05 MFlops
    123 :    67058.27 MFlops
    124 :    65745.66 MFlops
    125 :    69754.46 MFlops
    126 :    81648.00 MFlops
    127 :    82347.06 MFlops
    128 :    72944.42 MFlops
    129 :    61115.70 MFlops
    130 :    79529.41 MFlops
    131 :    78194.47 MFlops
    132 :    79998.89 MFlops
    133 :    80432.03 MFlops
    134 :    82969.10 MFlops
    135 :    75703.85 MFlops
    136 :    87115.36 MFlops
    137 :    88286.80 MFlops
    138 :    90234.23 MFlops
    139 :    89520.63 MFlops
    140 :    86086.27 MFlops
    141 :    81845.87 MFlops
    142 :    91625.22 MFlops
    143 :    92831.97 MFlops
    144 :    91524.41 MFlops
    145 :    93803.85 MFlops
    146 :    93951.28 MFlops
    147 :    85851.97 MFlops
    148 :    92622.63 MFlops
    149 :    88804.00 MFlops
    150 :    97122.30 MFlops
    151 :    94977.96 MFlops
    152 :   101424.06 MFlops
    153 :    97790.50 MFlops
    154 :    96748.72 MFlops
    155 :   101675.77 MFlops
    156 :   102605.84 MFlops
    157 :   102854.30 MFlops
    158 :    99227.97 MFlops
    159 :    92141.64 MFlops
    160 :    99296.97 MFlops
    161 :    97053.05 MFlops
    162 :   102138.81 MFlops
    163 :   106603.00 MFlops
    164 :    87779.98 MFlops
    165 :    87865.53 MFlops
    166 :   102218.91 MFlops
    167 :   106153.00 MFlops
    168 :   105369.60 MFlops
    169 :   105793.07 MFlops
    170 :   105090.91 MFlops
    171 :   104991.31 MFlops
    172 :   111527.63 MFlops
    173 :   108433.86 MFlops
    174 :   102540.61 MFlops
    175 :   112828.95 MFlops
    176 :   113875.22 MFlops
    177 :   112593.56 MFlops
    178 :   113361.85 MFlops
    179 :   108985.06 MFlops
    180 :   109009.35 MFlops
    181 :   114308.26 MFlops
    182 :   113746.57 MFlops
    183 :   113753.82 MFlops
    184 :   118657.22 MFlops
    185 :   112562.22 MFlops
    186 :   113140.33 MFlops
    187 :   120261.20 MFlops
    188 :   118654.86 MFlops
    189 :   113705.58 MFlops
    190 :   116008.46 MFlops
    191 :   118099.51 MFlops
    192 :   123093.70 MFlops
    193 :    92167.40 MFlops
    194 :   107968.71 MFlops
    195 :   116311.76 MFlops
    196 :   119044.05 MFlops
    197 :   118994.13 MFlops
    198 :   118284.07 MFlops
    199 :   126342.27 MFlops
    200 :   121673.00 MFlops
