From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        1.00 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :      900.00 MFlops
     16 :         inf MFlops
     17 :      128.44 MFlops
     18 :      432.00 MFlops
     19 :      120.33 MFlops
     20 :      133.33 MFlops
     21 :      882.00 MFlops
     22 :      968.00 MFlops
     23 :      235.11 MFlops
     24 :     1152.00 MFlops
     25 :      312.50 MFlops
     26 :      450.67 MFlops
     27 :      583.20 MFlops
     28 :      448.00 MFlops
     29 :      373.78 MFlops
     30 :      600.00 MFlops
     31 :      961.00 MFlops
     32 :      372.36 MFlops
     33 :      544.50 MFlops
     34 :      660.57 MFlops
     35 :      445.45 MFlops
     36 :      864.00 MFlops
     37 :      782.29 MFlops
     38 :     1155.20 MFlops
     39 :      608.40 MFlops
     40 :      800.00 MFlops
     41 :      672.40 MFlops
     42 :      784.00 MFlops
     43 :     1479.20 MFlops
     44 :      645.33 MFlops
     45 :      900.00 MFlops
     46 :     1209.14 MFlops
     47 :     1472.67 MFlops
     48 :     1316.57 MFlops
     49 :     1067.11 MFlops
     50 :     1250.00 MFlops
     51 :      945.82 MFlops
     52 :     1081.60 MFlops
     53 :     2247.20 MFlops
     54 :     1458.00 MFlops
     55 :     1100.00 MFlops
     56 :     2508.80 MFlops
     57 :     1083.00 MFlops
     58 :     1223.27 MFlops
     59 :     1392.40 MFlops
     60 :     1800.00 MFlops
     61 :     1488.40 MFlops
     62 :     3844.00 MFlops
     63 :     1984.50 MFlops
     64 :     3276.80 MFlops
     65 :     1690.00 MFlops
     66 :     1936.00 MFlops
     67 :     1496.33 MFlops
     68 :     1849.60 MFlops
     69 :     1904.40 MFlops
     70 :     1960.00 MFlops
     71 :     5041.00 MFlops
     72 :     4147.20 MFlops
     73 :     2131.60 MFlops
     74 :     2738.00 MFlops
     75 :     2812.50 MFlops
     76 :     1925.33 MFlops
     77 :     2371.60 MFlops
     78 :     2433.60 MFlops
     79 :     2080.33 MFlops
     80 :     2560.00 MFlops
     81 :     2916.00 MFlops
     82 :     2988.44 MFlops
     83 :     3936.57 MFlops
     84 :     2352.00 MFlops
     85 :     2223.08 MFlops
     86 :     2275.69 MFlops
     87 :     2752.36 MFlops
     88 :     5162.67 MFlops
     89 :     2640.33 MFlops
     90 :     2945.45 MFlops
     91 :     3312.40 MFlops
     92 :     3385.60 MFlops
     93 :     3844.00 MFlops
     94 :     2945.33 MFlops
     95 :     3008.33 MFlops
     96 :     3686.40 MFlops
     97 :     4704.50 MFlops
     98 :     3841.60 MFlops
     99 :     3564.00 MFlops
    100 :     4444.44 MFlops
    101 :     5100.50 MFlops
    102 :     4161.60 MFlops
    103 :     4243.60 MFlops
    104 :     3933.09 MFlops
    105 :     4900.00 MFlops
    106 :     4993.78 MFlops
    107 :     5088.44 MFlops
    108 :     4665.60 MFlops
    109 :     4752.40 MFlops
    110 :     3723.08 MFlops
    111 :     4480.36 MFlops
    112 :     4561.45 MFlops
    113 :     4256.33 MFlops
    114 :     4332.00 MFlops
    115 :     5290.00 MFlops
    116 :     4893.09 MFlops
    117 :     5475.60 MFlops
    118 :     5063.27 MFlops
    119 :     4720.33 MFlops
    120 :     5236.36 MFlops
    121 :     4183.14 MFlops
    122 :     3969.07 MFlops
    123 :     5501.45 MFlops
    124 :     5591.27 MFlops
    125 :     5681.82 MFlops
    126 :     6350.40 MFlops
    127 :     5865.09 MFlops
    128 :     5957.82 MFlops
    129 :    11094.00 MFlops
    130 :     5200.00 MFlops
    131 :     5720.33 MFlops
    132 :     5808.00 MFlops
    133 :     2721.38 MFlops
    134 :     5524.92 MFlops
    135 :     6075.00 MFlops
    136 :     6165.33 MFlops
    137 :     6256.33 MFlops
    138 :     6348.00 MFlops
    139 :     5944.92 MFlops
    140 :     5600.00 MFlops
    141 :     6117.23 MFlops
    142 :     5761.14 MFlops
    143 :     6292.00 MFlops
    144 :     5529.60 MFlops
    145 :     6007.14 MFlops
    146 :     8526.40 MFlops
    147 :     6174.00 MFlops
    148 :     7965.09 MFlops
    149 :     7400.33 MFlops
    150 :     6000.00 MFlops
    151 :     7600.33 MFlops
    152 :     9241.60 MFlops
    153 :     9363.60 MFlops
    154 :     6776.00 MFlops
    155 :     8736.36 MFlops
    156 :     8849.45 MFlops
    157 :     6573.07 MFlops
    158 :     7681.23 MFlops
    159 :     7778.77 MFlops
    160 :     7314.29 MFlops
    161 :    10368.40 MFlops
    162 :     8748.00 MFlops
    163 :     7085.07 MFlops
    164 :     7684.57 MFlops
    165 :     7778.57 MFlops
    166 :     8478.77 MFlops
    167 :     8581.23 MFlops
    168 :     8064.00 MFlops
    169 :     8160.29 MFlops
    170 :     8892.31 MFlops
    171 :     8997.23 MFlops
    172 :     7889.07 MFlops
    173 :    10883.27 MFlops
    174 :    10092.00 MFlops
    175 :    10208.33 MFlops
    176 :     8260.27 MFlops
    177 :     8951.14 MFlops
    178 :    10561.33 MFlops
    179 :     8544.27 MFlops
    180 :     8100.00 MFlops
    181 :     7280.22 MFlops
    182 :     3580.97 MFlops
    183 :     7879.76 MFlops
    184 :    10417.23 MFlops
    185 :     5070.37 MFlops
    186 :     8649.00 MFlops
    187 :     7770.89 MFlops
    188 :     8836.00 MFlops
    189 :     8930.25 MFlops
    190 :    13127.27 MFlops
    191 :    11224.92 MFlops
    192 :    12288.00 MFlops
    193 :    10642.57 MFlops
    194 :    10753.14 MFlops
    195 :    11700.00 MFlops
    196 :    10976.00 MFlops
