From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        1.33 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :     1156.00 MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :     2916.00 MFlops
     28 :         inf MFlops
     29 :         inf MFlops
     30 :         inf MFlops
     31 :         inf MFlops
     32 :     4096.00 MFlops
     33 :         inf MFlops
     34 :         inf MFlops
     35 :         inf MFlops
     36 :     5184.00 MFlops
     37 :     5476.00 MFlops
     38 :     5776.00 MFlops
     39 :         inf MFlops
     40 :     6400.00 MFlops
     41 :     6724.00 MFlops
     42 :     7056.00 MFlops
     43 :         inf MFlops
     44 :         inf MFlops
     45 :         inf MFlops
     46 :     8464.00 MFlops
     47 :     8836.00 MFlops
     48 :         inf MFlops
     49 :     9604.00 MFlops
     50 :         inf MFlops
     51 :         inf MFlops
     52 :         inf MFlops
     53 :    11236.00 MFlops
     54 :    11664.00 MFlops
     55 :    12100.00 MFlops
     56 :    12544.00 MFlops
     57 :    12996.00 MFlops
     58 :         inf MFlops
     59 :         inf MFlops
     60 :    14400.00 MFlops
     61 :    14884.00 MFlops
     62 :    15376.00 MFlops
     63 :         inf MFlops
     64 :         inf MFlops
     65 :    16900.00 MFlops
     66 :    17424.00 MFlops
     67 :    17956.00 MFlops
     68 :         inf MFlops
     69 :    19044.00 MFlops
     70 :         inf MFlops
     71 :    20164.00 MFlops
     72 :         inf MFlops
     73 :    21316.00 MFlops
     74 :    21904.00 MFlops
     75 :    22500.00 MFlops
     76 :    23104.00 MFlops
     77 :    23716.00 MFlops
     78 :    24336.00 MFlops
     79 :    24964.00 MFlops
     80 :    12800.00 MFlops
     81 :    26244.00 MFlops
     82 :    13448.00 MFlops
     83 :    13778.00 MFlops
     84 :    14112.00 MFlops
     85 :    28900.00 MFlops
     86 :    29584.00 MFlops
     87 :    30276.00 MFlops
     88 :    15488.00 MFlops
     89 :    15842.00 MFlops
     90 :    32400.00 MFlops
     91 :    16562.00 MFlops
     92 :    33856.00 MFlops
     93 :    17298.00 MFlops
     94 :    35344.00 MFlops
     95 :    18050.00 MFlops
     96 :    18432.00 MFlops
     97 :    18818.00 MFlops
     98 :    19208.00 MFlops
     99 :    19602.00 MFlops
    100 :    20000.00 MFlops
    101 :    20402.00 MFlops
    102 :    41616.00 MFlops
    103 :    21218.00 MFlops
    104 :    21632.00 MFlops
    105 :    22050.00 MFlops
    106 :    22472.00 MFlops
    107 :    22898.00 MFlops
    108 :    23328.00 MFlops
    109 :    23762.00 MFlops
    110 :    24200.00 MFlops
    111 :    24642.00 MFlops
    112 :    25088.00 MFlops
    113 :    25538.00 MFlops
    114 :    25992.00 MFlops
    115 :    26450.00 MFlops
    116 :    26912.00 MFlops
    117 :    18252.00 MFlops
    118 :    18565.33 MFlops
    119 :    18881.33 MFlops
    120 :    28800.00 MFlops
    121 :    29282.00 MFlops
    122 :    29768.00 MFlops
    123 :    30258.00 MFlops
    124 :    30752.00 MFlops
    125 :    20833.33 MFlops
    126 :    21168.00 MFlops
    127 :    21505.33 MFlops
    128 :    32768.00 MFlops
    129 :    22188.00 MFlops
    130 :    22533.33 MFlops
    131 :    34322.00 MFlops
    132 :    23232.00 MFlops
    133 :    23585.33 MFlops
    134 :    23941.33 MFlops
    135 :    24300.00 MFlops
    136 :    24661.33 MFlops
    137 :    25025.33 MFlops
    138 :    25392.00 MFlops
    139 :    25761.33 MFlops
    140 :    26133.33 MFlops
    141 :    26508.00 MFlops
    142 :    20164.00 MFlops
    143 :    27265.33 MFlops
    144 :    27648.00 MFlops
    145 :    21025.00 MFlops
    146 :    28421.33 MFlops
    147 :    28812.00 MFlops
    148 :    29205.33 MFlops
    149 :    22201.00 MFlops
    150 :    30000.00 MFlops
    151 :    22801.00 MFlops
    152 :    30805.33 MFlops
    153 :    23409.00 MFlops
    154 :    23716.00 MFlops
