From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        2.00 MFlops
      2 :       32.00 MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :      512.00 MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :     1800.00 MFlops
     16 :         inf MFlops
     17 :         inf MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :     5408.00 MFlops
     27 :     5832.00 MFlops
     28 :         inf MFlops
     29 :     6728.00 MFlops
     30 :     7200.00 MFlops
     31 :     7688.00 MFlops
     32 :         inf MFlops
     33 :     8712.00 MFlops
     34 :         inf MFlops
     35 :         inf MFlops
     36 :    10368.00 MFlops
     37 :         inf MFlops
     38 :         inf MFlops
     39 :    12168.00 MFlops
     40 :    12800.00 MFlops
     41 :         inf MFlops
     42 :         inf MFlops
     43 :    14792.00 MFlops
     44 :    15488.00 MFlops
     45 :    16200.00 MFlops
     46 :    16928.00 MFlops
     47 :    17672.00 MFlops
     48 :    18432.00 MFlops
     49 :    19208.00 MFlops
     50 :    20000.00 MFlops
     51 :    20808.00 MFlops
     52 :    21632.00 MFlops
     53 :    22472.00 MFlops
     54 :    23328.00 MFlops
     55 :    24200.00 MFlops
     56 :    25088.00 MFlops
     57 :    25992.00 MFlops
     58 :    26912.00 MFlops
     59 :    27848.00 MFlops
     60 :    28800.00 MFlops
     61 :    29768.00 MFlops
     62 :    30752.00 MFlops
     63 :    31752.00 MFlops
     64 :    32768.00 MFlops
     65 :    33800.00 MFlops
     66 :    34848.00 MFlops
     67 :    17956.00 MFlops
     68 :    18496.00 MFlops
     69 :    38088.00 MFlops
     70 :    39200.00 MFlops
     71 :    20164.00 MFlops
     72 :    20736.00 MFlops
     73 :    21316.00 MFlops
     74 :    43808.00 MFlops
     75 :    45000.00 MFlops
     76 :    23104.00 MFlops
     77 :    47432.00 MFlops
     78 :    48672.00 MFlops
     79 :    49928.00 MFlops
     80 :    25600.00 MFlops
     81 :    26244.00 MFlops
     82 :    26896.00 MFlops
     83 :    27556.00 MFlops
     84 :    28224.00 MFlops
     85 :    28900.00 MFlops
     86 :    29584.00 MFlops
     87 :    30276.00 MFlops
     88 :    30976.00 MFlops
     89 :    31684.00 MFlops
     90 :    32400.00 MFlops
     91 :    33124.00 MFlops
     92 :    33856.00 MFlops
     93 :    23064.00 MFlops
     94 :    35344.00 MFlops
     95 :    24066.67 MFlops
     96 :    36864.00 MFlops
     97 :    37636.00 MFlops
     98 :    25610.67 MFlops
     99 :    39204.00 MFlops
    100 :    26666.67 MFlops
    101 :    40804.00 MFlops
    102 :    27744.00 MFlops
    103 :    28290.67 MFlops
    104 :    28842.67 MFlops
    105 :    29400.00 MFlops
    106 :    44944.00 MFlops
    107 :    30530.67 MFlops
    108 :    31104.00 MFlops
    109 :    31682.67 MFlops
    110 :    32266.67 MFlops
    111 :    24642.00 MFlops
    112 :    25088.00 MFlops
    113 :    34050.67 MFlops
    114 :    25992.00 MFlops
    115 :    35266.67 MFlops
    116 :    35882.67 MFlops
    117 :    27378.00 MFlops
    118 :    27848.00 MFlops
    119 :    28322.00 MFlops
    120 :    38400.00 MFlops
    121 :    29282.00 MFlops
    122 :    29768.00 MFlops
    123 :    40344.00 MFlops
    124 :    30752.00 MFlops
    125 :    31250.00 MFlops
    126 :    31752.00 MFlops
    127 :    32258.00 MFlops
    128 :    32768.00 MFlops
    129 :    26625.60 MFlops
    130 :    33800.00 MFlops
    131 :    34322.00 MFlops
    132 :    34848.00 MFlops
    133 :    28302.40 MFlops
    134 :    35912.00 MFlops
    135 :    29160.00 MFlops
    136 :    29593.60 MFlops
    137 :    30030.40 MFlops
    138 :    30470.40 MFlops
    139 :    30913.60 MFlops
    140 :    31360.00 MFlops
    141 :    31809.60 MFlops
    142 :    32262.40 MFlops
    143 :    32718.40 MFlops
    144 :    33177.60 MFlops
    145 :    33640.00 MFlops
    146 :    28421.33 MFlops
    147 :    34574.40 MFlops
    148 :    29205.33 MFlops
    149 :    35521.60 MFlops
    150 :    36000.00 MFlops
    151 :    30401.33 MFlops
    152 :    30805.33 MFlops
    153 :    37454.40 MFlops
    154 :    31621.33 MFlops
    155 :    32033.33 MFlops
    156 :    32448.00 MFlops
    157 :    32865.33 MFlops
    158 :    33285.33 MFlops
    159 :    33708.00 MFlops
    160 :    29257.14 MFlops
    161 :    34561.33 MFlops
    162 :    34992.00 MFlops
    163 :    19322.91 MFlops
    164 :    35861.33 MFlops
    165 :    36300.00 MFlops
    166 :    31492.57 MFlops
    167 :    37185.33 MFlops
    168 :    32256.00 MFlops
    169 :    32641.14 MFlops
    170 :    33028.57 MFlops
    171 :    33418.29 MFlops
    172 :    33810.29 MFlops
    173 :    34204.57 MFlops
    174 :    34601.14 MFlops
    175 :    30625.00 MFlops
    176 :    35401.14 MFlops
    177 :    31329.00 MFlops
    178 :    31684.00 MFlops
    179 :    32041.00 MFlops
    180 :    32400.00 MFlops
    181 :    32761.00 MFlops
    182 :    33124.00 MFlops
    183 :    29768.00 MFlops
    184 :    33856.00 MFlops
    185 :    30422.22 MFlops
    186 :    34596.00 MFlops
    187 :    31083.56 MFlops
    188 :    31416.89 MFlops
    189 :    35721.00 MFlops
    190 :    32088.89 MFlops
    191 :    32427.56 MFlops
    192 :    32768.00 MFlops
