From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.73 MFlops
      2 :       64.00 MFlops
      3 :      216.00 MFlops
      4 :      512.00 MFlops
      5 :       43.48 MFlops
      6 :      288.00 MFlops
      7 :      457.33 MFlops
      8 :     1024.00 MFlops
      9 :      306.95 MFlops
     10 :      727.27 MFlops
     11 :     1774.67 MFlops
     12 :     2304.00 MFlops
     13 :     1255.43 MFlops
     14 :     2195.20 MFlops
     15 :     4500.00 MFlops
     16 :     3276.80 MFlops
     17 :     3023.38 MFlops
     18 :     5832.00 MFlops
     19 :     4572.67 MFlops
     20 :     5333.33 MFlops
     21 :     5292.00 MFlops
     22 :     5324.00 MFlops
     23 :     8848.73 MFlops
     24 :     7899.43 MFlops
     25 :     5681.82 MFlops
     26 :     8788.00 MFlops
     27 :     9841.50 MFlops
     28 :    13508.92 MFlops
     29 :     9291.05 MFlops
     30 :    10285.71 MFlops
     31 :    11348.95 MFlops
     32 :    11397.57 MFlops
     33 :     8214.17 MFlops
     34 :    13670.96 MFlops
     35 :    13192.31 MFlops
     36 :    13824.00 MFlops
     37 :    19296.38 MFlops
     38 :    17559.04 MFlops
     39 :    22597.71 MFlops
     40 :    19692.31 MFlops
     41 :    20421.04 MFlops
     42 :    18522.00 MFlops
     43 :    19274.42 MFlops
     44 :    19470.63 MFlops
     45 :    16568.18 MFlops
     46 :    21630.22 MFlops
     47 :    16950.69 MFlops
     48 :    20107.64 MFlops
     49 :    25437.62 MFlops
     50 :    21276.60 MFlops
     51 :    21657.31 MFlops
     52 :    23933.28 MFlops
     53 :    22904.15 MFlops
     54 :    24225.23 MFlops
     55 :    22183.33 MFlops
     56 :    24222.90 MFlops
     57 :    26937.16 MFlops
     58 :    27873.14 MFlops
     59 :    26934.95 MFlops
     60 :    25043.48 MFlops
     61 :    27936.12 MFlops
     62 :    28038.59 MFlops
     63 :    30308.73 MFlops
     64 :    24672.38 MFlops
     65 :    30095.89 MFlops
     66 :    26743.81 MFlops
     67 :    26734.49 MFlops
     68 :    29593.60 MFlops
     69 :    29200.80 MFlops
     70 :    24945.45 MFlops
     71 :    32911.36 MFlops
     72 :    30469.22 MFlops
     73 :    42055.89 MFlops
     74 :    36424.63 MFlops
     75 :    35904.26 MFlops
     76 :    39458.52 MFlops
     77 :    34133.31 MFlops
     78 :    39962.27 MFlops
     79 :    41519.07 MFlops
     80 :    41795.92 MFlops
     81 :    41276.97 MFlops
     82 :    45009.63 MFlops
     83 :    38119.13 MFlops
     84 :    49911.92 MFlops
     85 :    43866.07 MFlops
     86 :    48004.23 MFlops
     87 :    47035.93 MFlops
     88 :    48245.81 MFlops
     89 :    49471.51 MFlops
     90 :    47803.28 MFlops
     91 :    49012.75 MFlops
     92 :    50237.94 MFlops
     93 :    50668.16 MFlops
