From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.38 MFlops
      2 :       64.00 MFlops
      3 :      216.00 MFlops
      4 :      512.00 MFlops
      5 :     1000.00 MFlops
      6 :     1728.00 MFlops
      7 :         inf MFlops
      8 :     4096.00 MFlops
      9 :     5832.00 MFlops
     10 :     8000.00 MFlops
     11 :    10648.00 MFlops
     12 :    13824.00 MFlops
     13 :    17576.00 MFlops
     14 :    21952.00 MFlops
     15 :    13500.00 MFlops
     16 :    16384.00 MFlops
     17 :     6550.67 MFlops
     18 :    15552.00 MFlops
     19 :    18290.67 MFlops
     20 :    21333.33 MFlops
     21 :    18522.00 MFlops
     22 :    21296.00 MFlops
     23 :    16222.67 MFlops
     24 :    22118.40 MFlops
     25 :    20833.33 MFlops
     26 :    23434.67 MFlops
     27 :    26244.00 MFlops
     28 :    21952.00 MFlops
     29 :    27873.14 MFlops
     30 :    27000.00 MFlops
     31 :    23832.80 MFlops
     32 :    26214.40 MFlops
     33 :    15131.37 MFlops
     34 :    26202.67 MFlops
     35 :    26384.62 MFlops
     36 :    24883.20 MFlops
     37 :    27014.93 MFlops
     38 :    27436.00 MFlops
     39 :    27914.82 MFlops
     40 :    25600.00 MFlops
     41 :    29019.37 MFlops
     42 :    29635.20 MFlops
     43 :    27654.61 MFlops
     44 :    29629.22 MFlops
     45 :    29160.00 MFlops
     46 :    26851.31 MFlops
     47 :    26793.03 MFlops
     48 :    29491.20 MFlops
     49 :     3690.95 MFlops
     50 :    16949.15 MFlops
     51 :    19652.00 MFlops
     52 :    22056.16 MFlops
     53 :    22904.15 MFlops
     54 :    22494.86 MFlops
     55 :    23767.86 MFlops
     56 :    26508.08 MFlops
     57 :    25992.00 MFlops
     58 :    27873.14 MFlops
     59 :    27383.87 MFlops
     60 :    28327.87 MFlops
     61 :    28822.98 MFlops
     62 :    29791.00 MFlops
     63 :    30775.02 MFlops
     64 :    32768.00 MFlops
     65 :    31385.71 MFlops
     66 :    32856.69 MFlops
     67 :    26440.70 MFlops
     68 :    33098.11 MFlops
     69 :    36000.99 MFlops
     70 :    37589.04 MFlops
     71 :    38177.17 MFlops
     72 :    38779.01 MFlops
     73 :    37049.24 MFlops
     74 :    38592.76 MFlops
     75 :    31839.62 MFlops
     76 :    35834.78 MFlops
     77 :    42967.81 MFlops
     78 :    42182.40 MFlops
     79 :    43344.09 MFlops
     80 :    45511.11 MFlops
     81 :    44286.75 MFlops
     82 :    43672.71 MFlops
     83 :    45290.06 MFlops
     84 :    48882.80 MFlops
     85 :    46790.48 MFlops
     86 :    45432.57 MFlops
     87 :    49233.87 MFlops
     88 :    50479.41 MFlops
     89 :    48203.01 MFlops
     90 :    50713.04 MFlops
     91 :    38644.67 MFlops
     92 :    39932.72 MFlops
     93 :    41784.78 MFlops
     94 :    42322.75 MFlops
     95 :    42602.48 MFlops
     96 :    44236.80 MFlops
     97 :    45633.65 MFlops
     98 :    46193.47 MFlops
     99 :    46761.40 MFlops
    100 :    44444.44 MFlops
    101 :    46046.97 MFlops
    102 :    48236.73 MFlops
    103 :    48297.33 MFlops
    104 :    57317.91 MFlops
    105 :    49524.06 MFlops
    106 :    45808.31 MFlops
    107 :    50517.24 MFlops
    108 :    48920.85 MFlops
    109 :    48869.02 MFlops
    110 :    49069.12 MFlops
    111 :    51853.31 MFlops
    112 :    52520.67 MFlops
    113 :    53689.19 MFlops
    114 :    53388.97 MFlops
    115 :    54075.56 MFlops
    116 :    55252.96 MFlops
    117 :    61600.50 MFlops
    118 :    53001.03 MFlops
    119 :    55025.60 MFlops
    120 :    55518.07 MFlops
    121 :    58083.97 MFlops
    122 :    55658.18 MFlops
    123 :    62814.08 MFlops
    124 :    56492.56 MFlops
    125 :    55017.61 MFlops
    126 :    59270.40 MFlops
    127 :    61145.76 MFlops
    128 :    63072.24 MFlops
    129 :    47179.98 MFlops
    130 :    57437.91 MFlops
    131 :    60759.22 MFlops
    132 :    62161.30 MFlops
    133 :    64455.81 MFlops
    134 :    59045.50 MFlops
    135 :    65610.00 MFlops
    136 :    63083.54 MFlops
    137 :    62335.83 MFlops
    138 :    63518.36 MFlops
    139 :    63005.72 MFlops
    140 :    58695.19 MFlops
    141 :    64073.62 MFlops
    142 :    78446.25 MFlops
    143 :    67416.88 MFlops
    144 :    73275.68 MFlops
    145 :    67747.22 MFlops
    146 :    69935.64 MFlops
    147 :    74304.63 MFlops
    148 :    66498.30 MFlops
    149 :    72502.99 MFlops
    150 :    74175.82 MFlops
    151 :    70806.19 MFlops
    152 :    75930.98 MFlops
    153 :    72907.42 MFlops
    154 :    73412.34 MFlops
    155 :    70762.47 MFlops
    156 :    73896.18 MFlops
    157 :    77786.79 MFlops
    158 :    76403.14 MFlops
    159 :    81411.22 MFlops
    160 :    82125.31 MFlops
    161 :    79114.33 MFlops
    162 :    74752.14 MFlops
    163 :    74507.48 MFlops
    164 :    82255.37 MFlops
    165 :    77118.03 MFlops
    166 :    73188.74 MFlops
    167 :    82615.75 MFlops
    168 :    75714.68 MFlops
    169 :    74258.60 MFlops
    170 :    83982.91 MFlops
    171 :    68030.08 MFlops
    172 :    80291.09 MFlops
    173 :    86656.35 MFlops
    174 :    83453.85 MFlops
    175 :    87858.61 MFlops
    176 :    83552.12 MFlops
    177 :    83701.63 MFlops
    178 :    81883.88 MFlops
    179 :    88066.63 MFlops
    180 :    91662.08 MFlops
    181 :    88503.60 MFlops
    182 :    86741.99 MFlops
    183 :    88021.36 MFlops
    184 :    83060.05 MFlops
    185 :    92771.06 MFlops
    186 :    91926.51 MFlops
    187 :    95462.82 MFlops
    188 :    94586.08 MFlops
    189 :    93281.78 MFlops
    190 :    93478.71 MFlops
    191 :    90934.69 MFlops
    192 :    92977.18 MFlops
    193 :    90003.84 MFlops
    194 :    86663.31 MFlops
    195 :    92685.94 MFlops
    196 :    94414.24 MFlops
    197 :    93521.38 MFlops
    198 :    90655.67 MFlops
    199 :   104378.79 MFlops
    200 :    86838.53 MFlops
