From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.25 MFlops
      2 :       32.00 MFlops
      3 :         inf MFlops
      4 :      256.00 MFlops
      5 :         inf MFlops
      6 :      864.00 MFlops
      7 :     1372.00 MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :     5324.00 MFlops
     12 :     6912.00 MFlops
     13 :     8788.00 MFlops
     14 :    10976.00 MFlops
     15 :    13500.00 MFlops
     16 :    16384.00 MFlops
     17 :     3275.33 MFlops
     18 :    11664.00 MFlops
     19 :    27436.00 MFlops
     20 :    32000.00 MFlops
     21 :    18522.00 MFlops
     22 :    21296.00 MFlops
     23 :     9733.60 MFlops
     24 :    27648.00 MFlops
     25 :    20833.33 MFlops
     26 :    23434.67 MFlops
     27 :    26244.00 MFlops
     28 :    17561.60 MFlops
     29 :    24389.00 MFlops
     30 :    21600.00 MFlops
     31 :    23832.80 MFlops
     32 :    26214.40 MFlops
     33 :    11057.54 MFlops
     34 :    26202.67 MFlops
     35 :    24500.00 MFlops
     36 :    26660.57 MFlops
     37 :    25326.50 MFlops
     38 :    31355.43 MFlops
     39 :    26364.00 MFlops
     40 :    25600.00 MFlops
     41 :    27568.40 MFlops
     42 :    26941.09 MFlops
     43 :    26502.33 MFlops
     44 :    28394.67 MFlops
     45 :    30375.00 MFlops
     46 :    24334.00 MFlops
     47 :    27686.13 MFlops
     48 :    29491.20 MFlops
     49 :     1755.96 MFlops
     50 :    18518.52 MFlops
     51 :    12339.63 MFlops
     52 :    15200.86 MFlops
     53 :    23820.32 MFlops
     54 :    23328.00 MFlops
     55 :    23767.86 MFlops
     56 :    23415.47 MFlops
     57 :    23895.87 MFlops
     58 :    24389.00 MFlops
     59 :    22203.14 MFlops
     60 :    27000.00 MFlops
     61 :    27512.85 MFlops
     62 :    28038.59 MFlops
     63 :    27783.00 MFlops
     64 :    31775.03 MFlops
     65 :    29689.19 MFlops
     66 :    19491.25 MFlops
     67 :    18797.69 MFlops
     68 :    33098.11 MFlops
     69 :    34579.89 MFlops
     70 :    35179.49 MFlops
     71 :    35791.10 MFlops
     72 :    36414.44 MFlops
     73 :    35365.18 MFlops
     74 :    35236.87 MFlops
     75 :    37500.00 MFlops
     76 :    38171.83 MFlops
     77 :    39698.52 MFlops
     78 :    37964.16 MFlops
     79 :    41960.77 MFlops
     80 :    43574.47 MFlops
     81 :    45229.02 MFlops
     82 :    45009.63 MFlops
     83 :    40125.40 MFlops
     84 :    44732.38 MFlops
     85 :    44663.64 MFlops
     86 :    45432.57 MFlops
     87 :    46210.74 MFlops
     88 :    45431.47 MFlops
     89 :    45481.87 MFlops
     90 :    42260.87 MFlops
     91 :    45670.97 MFlops
     92 :    49440.51 MFlops
     93 :    48748.91 MFlops
     94 :    46793.46 MFlops
     95 :    51186.57 MFlops
     96 :    52820.06 MFlops
     97 :    52908.58 MFlops
     98 :    53782.40 MFlops
     99 :    53905.50 MFlops
    100 :    52631.58 MFlops
    101 :    52835.95 MFlops
    102 :    54420.92 MFlops
    103 :    53961.83 MFlops
    104 :    55548.84 MFlops
    105 :    53224.14 MFlops
    106 :    54137.09 MFlops
    107 :    59038.22 MFlops
    108 :    55987.20 MFlops
    109 :    58203.55 MFlops
    110 :    59820.22 MFlops
    111 :    61466.56 MFlops
    112 :    63860.36 MFlops
    113 :    17489.66 MFlops
    114 :    60471.18 MFlops
    115 :    64718.09 MFlops
    116 :    60617.32 MFlops
    117 :    63430.22 MFlops
    118 :    67753.90 MFlops
    119 :    61840.70 MFlops
    120 :    62270.27 MFlops
    121 :    61619.51 MFlops
    122 :    64277.81 MFlops
    123 :    64167.83 MFlops
    124 :    60051.15 MFlops
    125 :    57870.37 MFlops
    126 :    63504.00 MFlops
    127 :    64516.00 MFlops
    128 :    49056.19 MFlops
    129 :    57629.23 MFlops
    130 :    53260.61 MFlops
    131 :    58773.62 MFlops
    132 :    68147.20 MFlops
    133 :    63584.78 MFlops
    134 :    67303.61 MFlops
    135 :    63086.54 MFlops
    136 :    69873.78 MFlops
    137 :    65932.13 MFlops
    138 :    60070.22 MFlops
    139 :    64326.20 MFlops
    140 :    69031.45 MFlops
    141 :    52890.96 MFlops
    142 :    64343.55 MFlops
    143 :    79032.62 MFlops
    144 :    76076.03 MFlops
    145 :    66636.61 MFlops
    146 :    69158.58 MFlops
    147 :    73872.63 MFlops
    148 :    64513.27 MFlops
