From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        0.06 MFlops
      2x2 :       32.00 MFlops
      3x3 :         inf MFlops
      4x4 :      128.00 MFlops
      5x5 :      200.00 MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :      968.00 MFlops
     12x12 :         inf MFlops
     13x13 :     1352.00 MFlops
     14x14 :     1568.00 MFlops
     15x15 :     1800.00 MFlops
     16x16 :     2048.00 MFlops
     17x17 :      289.00 MFlops
     18x18 :      288.00 MFlops
     19x19 :      361.00 MFlops
     20x20 :      400.00 MFlops
     21x21 :      392.00 MFlops
     22x22 :      484.00 MFlops
     23x23 :      846.40 MFlops
     24x24 :      768.00 MFlops
     25x25 :     1250.00 MFlops
     26x26 :     1352.00 MFlops
     27x27 :     1944.00 MFlops
     28x28 :     3136.00 MFlops
     29x29 :     3364.00 MFlops
     30x30 :      654.55 MFlops
     31x31 :      961.00 MFlops
     32x32 :     1024.00 MFlops
     33x33 :     1089.00 MFlops
     34x34 :     1541.33 MFlops
     35x35 :     1960.00 MFlops
     36x36 :     1036.80 MFlops
     37x37 :      995.64 MFlops
     38x38 :     1155.20 MFlops
     39x39 :     1014.00 MFlops
     40x40 :     1828.57 MFlops
     41x41 :     1921.14 MFlops
     42x42 :     1764.00 MFlops
     43x43 :     1344.73 MFlops
     44x44 :     1548.80 MFlops
     45x45 :     2314.29 MFlops
     46x46 :     1880.89 MFlops
     47x47 :     1767.20 MFlops
     48x48 :     3072.00 MFlops
     49x49 :     6402.67 MFlops
     50x50 :     1538.46 MFlops
     51x51 :     2312.00 MFlops
     52x52 :     2704.00 MFlops
     53x53 :     2809.00 MFlops
     54x54 :     1794.46 MFlops
     55x55 :     2420.00 MFlops
     56x56 :     2508.80 MFlops
     57x57 :     2599.20 MFlops
     58x58 :     2242.67 MFlops
     59x59 :     3481.00 MFlops
     60x60 :     2618.18 MFlops
     61x61 :     3307.56 MFlops
     62x62 :     3075.20 MFlops
     63x63 :     3528.00 MFlops
     64x64 :     4681.14 MFlops
     65x65 :     3072.73 MFlops
     66x66 :     3168.00 MFlops
     67x67 :     3264.73 MFlops
     68x68 :     2466.13 MFlops
     69x69 :     2539.20 MFlops
     70x70 :     3563.64 MFlops
     71x71 :     2372.24 MFlops
     72x72 :     4147.20 MFlops
     73x73 :     4263.20 MFlops
     74x74 :     2738.00 MFlops
     75x75 :     3214.29 MFlops
     76x76 :     3850.67 MFlops
     77x77 :     3388.00 MFlops
     78x78 :     4056.00 MFlops
     79x79 :     3566.29 MFlops
     80x80 :     3938.46 MFlops
     81x81 :     4037.54 MFlops
     82x82 :     2831.16 MFlops
     83x83 :      934.10 MFlops
     84x84 :      925.38 MFlops
     85x85 :     3400.00 MFlops
     86x86 :     3480.47 MFlops
     87x87 :     3784.50 MFlops
     88x88 :     3872.00 MFlops
     89x89 :     3727.53 MFlops
     90x90 :     2400.00 MFlops
     91x91 :     3896.94 MFlops
     92x92 :     4232.00 MFlops
     93x93 :     4612.80 MFlops
     94x94 :     3073.39 MFlops
     95x95 :     2888.00 MFlops
