From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        2.67 MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :      200.00 MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :      800.00 MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :     1352.00 MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :         inf MFlops
     18x18 :         inf MFlops
     19x19 :         inf MFlops
     20x20 :         inf MFlops
     21x21 :         inf MFlops
     22x22 :         inf MFlops
     23x23 :         inf MFlops
     24x24 :     4608.00 MFlops
     25x25 :         inf MFlops
     26x26 :     5408.00 MFlops
     27x27 :         inf MFlops
     28x28 :         inf MFlops
     29x29 :         inf MFlops
     30x30 :     7200.00 MFlops
     31x31 :     7688.00 MFlops
     32x32 :     8192.00 MFlops
     33x33 :     8712.00 MFlops
     34x34 :         inf MFlops
     35x35 :         inf MFlops
     36x36 :         inf MFlops
     37x37 :    10952.00 MFlops
     38x38 :    11552.00 MFlops
     39x39 :    12168.00 MFlops
     40x40 :    12800.00 MFlops
     41x41 :    13448.00 MFlops
     42x42 :    14112.00 MFlops
     43x43 :    14792.00 MFlops
     44x44 :         inf MFlops
     45x45 :    16200.00 MFlops
     46x46 :    16928.00 MFlops
     47x47 :    17672.00 MFlops
     48x48 :    18432.00 MFlops
     49x49 :    19208.00 MFlops
     50x50 :    20000.00 MFlops
     51x51 :    20808.00 MFlops
     52x52 :    21632.00 MFlops
     53x53 :    22472.00 MFlops
     54x54 :    23328.00 MFlops
     55x55 :    24200.00 MFlops
     56x56 :    25088.00 MFlops
     57x57 :    25992.00 MFlops
     58x58 :    26912.00 MFlops
     59x59 :    27848.00 MFlops
     60x60 :    28800.00 MFlops
     61x61 :    29768.00 MFlops
     62x62 :    15376.00 MFlops
     63x63 :    31752.00 MFlops
     64x64 :    32768.00 MFlops
     65x65 :    33800.00 MFlops
     66x66 :    17424.00 MFlops
     67x67 :    35912.00 MFlops
     68x68 :    18496.00 MFlops
     69x69 :    19044.00 MFlops
     70x70 :    19600.00 MFlops
     71x71 :    20164.00 MFlops
     72x72 :    20736.00 MFlops
     73x73 :    21316.00 MFlops
     74x74 :    21904.00 MFlops
     75x75 :    22500.00 MFlops
     76x76 :    23104.00 MFlops
     77x77 :    23716.00 MFlops
     78x78 :    16224.00 MFlops
     79x79 :    24964.00 MFlops
     80x80 :    25600.00 MFlops
     81x81 :    26244.00 MFlops
     82x82 :    26896.00 MFlops
     83x83 :    27556.00 MFlops
     84x84 :    28224.00 MFlops
     85x85 :    19266.67 MFlops
     86x86 :    19722.67 MFlops
     87x87 :    30276.00 MFlops
     88x88 :    20650.67 MFlops
     89x89 :    31684.00 MFlops
     90x90 :    21600.00 MFlops
     91x91 :    22082.67 MFlops
     92x92 :    22570.67 MFlops
     93x93 :    23064.00 MFlops
     94x94 :    23562.67 MFlops
     95x95 :    24066.67 MFlops
     96x96 :    24576.00 MFlops
     97x97 :    18818.00 MFlops
     98x98 :    25610.67 MFlops
     99x99 :    26136.00 MFlops
    100x100 :    20000.00 MFlops
    101x101 :    20402.00 MFlops
    102x102 :    20808.00 MFlops
    103x103 :    28290.67 MFlops
    104x104 :    21632.00 MFlops
    105x105 :    22050.00 MFlops
    106x106 :    22472.00 MFlops
    107x107 :    30530.67 MFlops
    108x108 :    23328.00 MFlops
    109x109 :    23762.00 MFlops
    110x110 :    24200.00 MFlops
    111x111 :    24642.00 MFlops
    112x112 :    25088.00 MFlops
    113x113 :    25538.00 MFlops
    114x114 :    25992.00 MFlops
    115x115 :    26450.00 MFlops
    116x116 :    21529.60 MFlops
    117x117 :    21902.40 MFlops
    118x118 :    22278.40 MFlops
    119x119 :    28322.00 MFlops
    120x120 :    23040.00 MFlops
    121x121 :    23425.60 MFlops
    122x122 :    29768.00 MFlops
    123x123 :    24206.40 MFlops
    124x124 :    24601.60 MFlops
    125x125 :    25000.00 MFlops
    126x126 :    25401.60 MFlops
    127x127 :    21505.33 MFlops
    128x128 :    21845.33 MFlops
    129x129 :    22188.00 MFlops
    130x130 :    27040.00 MFlops
    131x131 :    22881.33 MFlops
    132x132 :    27878.40 MFlops
    133x133 :    23585.33 MFlops
    134x134 :    23941.33 MFlops
    135x135 :    24300.00 MFlops
    136x136 :    24661.33 MFlops
    137x137 :    25025.33 MFlops
    138x138 :    25392.00 MFlops
    139x139 :    25761.33 MFlops
    140x140 :    26133.33 MFlops
    141x141 :    22721.14 MFlops
    142x142 :    26885.33 MFlops
    143x143 :    27265.33 MFlops
    144x144 :    23698.29 MFlops
    145x145 :    24028.57 MFlops
    146x146 :    28421.33 MFlops
    147x147 :    28812.00 MFlops
    148x148 :    25033.14 MFlops
    149x149 :    25372.57 MFlops
    150x150 :    30000.00 MFlops
    151x151 :    26058.29 MFlops
    152x152 :    26404.57 MFlops
    153x153 :    26753.14 MFlops
    154x154 :    27104.00 MFlops
    155x155 :    24025.00 MFlops
    156x156 :    27812.57 MFlops
    157x157 :    28170.29 MFlops
    158x158 :    24964.00 MFlops
    159x159 :    28892.57 MFlops
    160x160 :    29257.14 MFlops
    161x161 :    29624.00 MFlops
    162x162 :    29993.14 MFlops
    163x163 :    26569.00 MFlops
    164x164 :    26896.00 MFlops
    165x165 :    27225.00 MFlops
    166x166 :    27556.00 MFlops
    167x167 :    27889.00 MFlops
    168x168 :    25088.00 MFlops
    169x169 :    25387.56 MFlops
    170x170 :    28900.00 MFlops
    171x171 :    25992.00 MFlops
    172x172 :    26296.89 MFlops
    173x173 :    26603.56 MFlops
    174x174 :    26912.00 MFlops
    175x175 :    27222.22 MFlops
    176x176 :    30976.00 MFlops
    177x177 :    27848.00 MFlops
    178x178 :    28163.56 MFlops
    179x179 :    25632.80 MFlops
    180x180 :    28800.00 MFlops
    181x181 :    29120.89 MFlops
    182x182 :    29443.56 MFlops
    183x183 :    26791.20 MFlops
    184x184 :    27084.80 MFlops
    185x185 :    27380.00 MFlops
    186x186 :    27676.80 MFlops
    187x187 :    27975.20 MFlops
    188x188 :    28275.20 MFlops
    189x189 :    28576.80 MFlops
    190x190 :    28880.00 MFlops
    191x191 :    29184.80 MFlops
    192x192 :    26810.18 MFlops
    193x193 :    27090.18 MFlops
    194x194 :    30108.80 MFlops
    195x195 :    27654.55 MFlops
    196x196 :    27938.91 MFlops
    197x197 :    28224.73 MFlops
    198x198 :    28512.00 MFlops
    199x199 :    26400.67 MFlops
    200x200 :    26666.67 MFlops
