From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   2.980232e-08        0.02 MFlops       8.00 MFlops       0.07 MFlops
      2 :   1.490116e-07        7.11 MFlops       0.41 MFlops       0.65 MFlops
      3 :   5.960464e-08       72.00 MFlops      72.00 MFlops      72.00 MFlops
      4 :   5.960464e-08      170.67 MFlops        inf MFlops     298.67 MFlops
      5 :   1.788139e-07      111.11 MFlops        inf MFlops     177.78 MFlops
      6 :   5.215406e-08      576.00 MFlops        inf MFlops     864.00 MFlops
      7 :   1.788139e-07      457.33 MFlops        inf MFlops     653.33 MFlops
      8 :   1.490116e-07      682.67 MFlops        inf MFlops     938.67 MFlops
      9 :   2.831221e-07      972.00 MFlops     648.00 MFlops     864.00 MFlops
     10 :   2.980232e-08       19.75 MFlops        inf MFlops      25.68 MFlops
     11 :   0.000000e+00      161.33 MFlops     968.00 MFlops     196.41 MFlops
     12 :   4.470348e-07      192.00 MFlops        inf MFlops     240.00 MFlops
     13 :   1.490116e-07      133.15 MFlops    1352.00 MFlops     160.24 MFlops
     14 :   1.490116e-07      166.30 MFlops    1568.00 MFlops     197.45 MFlops
     15 :   5.066395e-07      152.54 MFlops    1800.00 MFlops     180.00 MFlops
     16 :   3.278255e-07       45.70 MFlops    2048.00 MFlops      54.04 MFlops
     17 :   2.980232e-08      311.94 MFlops    2312.00 MFlops     358.45 MFlops
     18 :   9.536743e-07      288.00 MFlops    2592.00 MFlops     329.89 MFlops
     19 :   1.130626e-06      295.01 MFlops    2888.00 MFlops     336.17 MFlops
     20 :   2.831221e-07      361.58 MFlops        inf MFlops     415.82 MFlops
     21 :   5.066395e-07      411.60 MFlops    3528.00 MFlops     462.69 MFlops
     22 :   1.877546e-06      443.67 MFlops    3872.00 MFlops     496.41 MFlops
     23 :   1.043081e-06      415.97 MFlops    4232.00 MFlops     464.27 MFlops
     24 :   1.400709e-06      478.75 MFlops    4608.00 MFlops     531.69 MFlops
     25 :   6.854534e-07      548.25 MFlops    5000.00 MFlops     606.06 MFlops
     26 :   1.639128e-06      578.63 MFlops    5408.00 MFlops     637.53 MFlops
     27 :   1.400709e-06      664.41 MFlops    5832.00 MFlops     729.00 MFlops
