From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   0.000000e+00        0.33 MFlops       0.57 MFlops       0.48 MFlops
      2 :   1.230242e-07        5.33 MFlops        inf MFlops      13.33 MFlops
      3 :   3.357290e-08       72.00 MFlops        inf MFlops     144.00 MFlops
      4 :   9.302484e-08         inf MFlops        inf MFlops        inf MFlops
      5 :   1.760694e-07         inf MFlops        inf MFlops        inf MFlops
      6 :   3.345306e-07         inf MFlops     288.00 MFlops     864.00 MFlops
      7 :   4.248528e-07      914.67 MFlops        inf MFlops    1306.67 MFlops
      8 :   2.721784e-07     1365.33 MFlops     512.00 MFlops     938.67 MFlops
      9 :   4.854197e-07     1944.00 MFlops        inf MFlops    2592.00 MFlops
     10 :   3.675624e-07     2666.67 MFlops        inf MFlops    3466.67 MFlops
     11 :   1.559043e-07     3549.33 MFlops        inf MFlops    4517.33 MFlops
     12 :   1.687650e-07     4608.00 MFlops        inf MFlops    5760.00 MFlops
     13 :   7.588500e-08     5858.67 MFlops    1352.00 MFlops    3605.33 MFlops
     14 :   1.318887e-07     7317.33 MFlops    1568.00 MFlops    4442.67 MFlops
     15 :   3.023590e-08     4500.00 MFlops        inf MFlops    5400.00 MFlops
     16 :   6.099039e-07     5461.33 MFlops      23.81 MFlops     147.39 MFlops
     17 :   1.120972e-06     6550.67 MFlops     289.00 MFlops    1541.33 MFlops
     18 :   1.889227e-07     7776.00 MFlops    2592.00 MFlops    6048.00 MFlops
     19 :   8.663927e-07     9145.33 MFlops    1444.00 MFlops    5294.67 MFlops
     20 :   2.072682e-06     7111.11 MFlops    1600.00 MFlops    4906.67 MFlops
     21 :   2.510371e-06     8232.00 MFlops    1764.00 MFlops    5644.80 MFlops
     22 :   3.806845e-06     9464.89 MFlops    1936.00 MFlops    6453.33 MFlops
     23 :   1.027501e-06    10815.11 MFlops    2116.00 MFlops    7335.47 MFlops
     24 :   1.105190e-07     9216.00 MFlops    2304.00 MFlops    6912.00 MFlops
     25 :   1.898261e-06    10416.67 MFlops    5000.00 MFlops    9333.33 MFlops
     26 :   2.451144e-07    11717.33 MFlops    2704.00 MFlops    8712.89 MFlops
     27 :   1.136156e-06    13122.00 MFlops    2916.00 MFlops    9720.00 MFlops
     28 :   5.737072e-08    11707.73 MFlops    3136.00 MFlops    9258.67 MFlops
