From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        1.00 MFlops
      2 :         inf MFlops
      3 :      216.00 MFlops
      4 :         inf MFlops
      5 :       52.63 MFlops
      6 :      157.09 MFlops
      7 :      457.33 MFlops
      8 :      372.36 MFlops
      9 :      253.57 MFlops
     10 :      571.43 MFlops
     11 :      760.57 MFlops
     12 :     1152.00 MFlops
     13 :      798.91 MFlops
     14 :      914.67 MFlops
     15 :     1800.00 MFlops
     16 :     2340.57 MFlops
     17 :     1871.62 MFlops
     18 :     1944.00 MFlops
     19 :     2385.74 MFlops
     20 :     2782.61 MFlops
     21 :     2963.52 MFlops
     22 :     3276.31 MFlops
     23 :     2630.70 MFlops
     24 :     7899.43 MFlops
     25 :    10416.67 MFlops
     26 :    10043.43 MFlops
     27 :    12112.62 MFlops
     28 :    13508.92 MFlops
     29 :    13936.57 MFlops
     30 :    13500.00 MFlops
     31 :    18332.92 MFlops
     32 :    16384.00 MFlops
     33 :     7187.40 MFlops
     34 :     8274.53 MFlops
     35 :     6017.54 MFlops
     36 :    10368.00 MFlops
     37 :    22512.44 MFlops
     38 :    20903.62 MFlops
     39 :    21570.55 MFlops
     40 :    25600.00 MFlops
     41 :    25062.18 MFlops
     42 :    29635.20 MFlops
     43 :    27654.61 MFlops
     44 :    28394.67 MFlops
     45 :    30375.00 MFlops
     46 :    31147.52 MFlops
     47 :    33223.36 MFlops
     48 :    32768.00 MFlops
     49 :    34858.96 MFlops
     50 :    33333.33 MFlops
     51 :    27210.46 MFlops
     52 :    32138.97 MFlops
     53 :    37219.25 MFlops
     54 :    35991.77 MFlops
     55 :    36972.22 MFlops
     56 :    40140.80 MFlops
     57 :    41154.00 MFlops
     58 :    42186.38 MFlops
     59 :    44406.27 MFlops
     60 :    41142.86 MFlops
     61 :    44288.98 MFlops
     62 :    45395.81 MFlops
     63 :    45463.09 MFlops
     64 :    42799.02 MFlops
     65 :    48822.22 MFlops
     66 :    44230.15 MFlops
     67 :    43747.35 MFlops
     68 :    44918.86 MFlops
     69 :    46106.53 MFlops
     70 :    49000.00 MFlops
     71 :    49367.03 MFlops
     72 :    48161.03 MFlops
     73 :    50195.74 MFlops
     74 :    49118.06 MFlops
     75 :    51136.36 MFlops
     76 :    50168.69 MFlops
     77 :    50725.89 MFlops
     78 :    52728.00 MFlops
     79 :    50568.10 MFlops
     80 :    54613.33 MFlops
     81 :    53816.81 MFlops
     82 :    51893.46 MFlops
     83 :    51980.64 MFlops
     84 :    51539.48 MFlops
     85 :    50132.65 MFlops
     86 :    52458.23 MFlops
     87 :    28322.71 MFlops
     88 :    27957.83 MFlops
     89 :    32981.01 MFlops
     90 :    27904.31 MFlops
     91 :    51526.22 MFlops
     92 :    53243.62 MFlops
     93 :    54532.68 MFlops
     94 :    56310.78 MFlops
     95 :    58623.93 MFlops
     96 :    59478.05 MFlops
     97 :    62942.97 MFlops
     98 :    58824.50 MFlops
     99 :    56249.22 MFlops
    100 :    55944.06 MFlops
    101 :    57238.94 MFlops
    102 :    57362.59 MFlops
    103 :    57511.95 MFlops
    104 :    39125.70 MFlops
    105 :    58245.28 MFlops
    106 :    59550.80 MFlops
    107 :    55058.11 MFlops
    108 :    58252.58 MFlops
    109 :    58864.95 MFlops
    110 :    58828.73 MFlops
    111 :    59140.80 MFlops
    112 :    60753.64 MFlops
    113 :    61399.87 MFlops
    114 :    62380.80 MFlops
    115 :    63701.57 MFlops
    116 :    63066.51 MFlops
    117 :    59319.00 MFlops
    118 :    59746.62 MFlops
    119 :    61558.32 MFlops
    120 :    62270.27 MFlops
    121 :    62433.87 MFlops
    122 :    61294.45 MFlops
    123 :    61516.26 MFlops
    124 :    61753.00 MFlops
    125 :    63004.03 MFlops
    126 :    62511.75 MFlops
    127 :    64011.97 MFlops
    128 :    62836.01 MFlops
    129 :    65547.76 MFlops
    130 :    60398.63 MFlops
    131 :    62664.56 MFlops
    132 :    60926.30 MFlops
    133 :    63158.04 MFlops
    134 :    62699.78 MFlops
    135 :    62884.98 MFlops
    136 :    64498.87 MFlops
    137 :    65097.54 MFlops
    138 :    63136.86 MFlops
    139 :    62638.34 MFlops
    140 :    64375.37 MFlops
    141 :    66743.36 MFlops
    142 :    63628.62 MFlops
    143 :    64982.38 MFlops
    144 :    65626.02 MFlops
    145 :    46366.92 MFlops
    146 :    64333.56 MFlops
    147 :    34340.79 MFlops
    148 :    32869.88 MFlops
    149 :    44402.00 MFlops
    150 :    35904.26 MFlops
    151 :    66530.45 MFlops
    152 :    95235.47 MFlops
    153 :    65868.08 MFlops
    154 :    62699.81 MFlops
    155 :    58413.73 MFlops
    156 :    68097.15 MFlops
    157 :    65314.65 MFlops
    158 :    65875.77 MFlops
    159 :    89575.02 MFlops
    160 :    91787.11 MFlops
    161 :    67446.97 MFlops
    162 :    68297.64 MFlops
    163 :    68878.68 MFlops
    164 :    69463.69 MFlops
    165 :    65459.02 MFlops
    166 :    66054.82 MFlops
    167 :    65946.38 MFlops
    168 :    66432.67 MFlops
    169 :    67155.60 MFlops
    170 :    64327.33 MFlops
    171 :    65469.21 MFlops
    172 :    65976.64 MFlops
    173 :    65540.72 MFlops
    174 :    67001.90 MFlops
    175 :    69264.94 MFlops
    176 :    67829.25 MFlops
    177 :    68354.18 MFlops
    178 :    70496.90 MFlops
    179 :    65267.02 MFlops
    180 :    66367.00 MFlops
    181 :    38102.75 MFlops
    182 :    43293.13 MFlops
    183 :    64256.74 MFlops
    184 :    67896.50 MFlops
    185 :    55177.56 MFlops
    186 :    72813.08 MFlops
    187 :    67851.65 MFlops
    188 :    67802.78 MFlops
    189 :    68194.64 MFlops
    190 :    68848.18 MFlops
    191 :    68988.82 MFlops
    192 :    69561.55 MFlops
    193 :    69881.48 MFlops
