From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.40 MFlops
      2 :       64.00 MFlops
      3 :      216.00 MFlops
      4 :      512.00 MFlops
      5 :         inf MFlops
      6 :      123.43 MFlops
      7 :     1372.00 MFlops
      8 :         inf MFlops
      9 :     5832.00 MFlops
     10 :     8000.00 MFlops
     11 :    10648.00 MFlops
     12 :    13824.00 MFlops
     13 :    17576.00 MFlops
     14 :    10976.00 MFlops
     15 :    13500.00 MFlops
     16 :    16384.00 MFlops
     17 :     6550.67 MFlops
     18 :    23328.00 MFlops
     19 :    27436.00 MFlops
     20 :    32000.00 MFlops
     21 :    24696.00 MFlops
     22 :    21296.00 MFlops
     23 :    19467.20 MFlops
     24 :    27648.00 MFlops
     25 :    25000.00 MFlops
     26 :    28121.60 MFlops
     27 :    26244.00 MFlops
     28 :    29269.33 MFlops
     29 :    27873.14 MFlops
     30 :    27000.00 MFlops
     31 :    29791.00 MFlops
     32 :    32768.00 MFlops
     33 :     3506.05 MFlops
     34 :    17468.44 MFlops
     35 :    20176.47 MFlops
     36 :    14929.92 MFlops
     37 :    23836.71 MFlops
     38 :    25822.12 MFlops
     39 :    24976.42 MFlops
     40 :    25600.00 MFlops
     41 :    16708.12 MFlops
     42 :    28224.00 MFlops
     43 :    30288.38 MFlops
     44 :    32451.05 MFlops
     45 :    29160.00 MFlops
     46 :    23596.61 MFlops
     47 :    26793.03 MFlops
     48 :    27648.00 MFlops
     49 :    22955.90 MFlops
     50 :    30303.03 MFlops
     51 :    29478.00 MFlops
     52 :    32138.97 MFlops
     53 :    33083.78 MFlops
     54 :    33150.32 MFlops
     55 :    33275.00 MFlops
     56 :    35123.20 MFlops
     57 :    37038.60 MFlops
     58 :    38070.63 MFlops
     59 :    38210.05 MFlops
     60 :    38400.00 MFlops
     61 :    38635.06 MFlops
     62 :    40566.47 MFlops
     63 :    41674.50 MFlops
     64 :    43690.67 MFlops
     65 :    36016.39 MFlops
     66 :    41817.60 MFlops
     67 :    33418.11 MFlops
     68 :    43369.93 MFlops
     69 :    47783.13 MFlops
     70 :    42875.00 MFlops
     71 :    44050.58 MFlops
     72 :    48161.03 MFlops
     73 :    52748.07 MFlops
     74 :    55892.97 MFlops
     75 :    57203.39 MFlops
     76 :    58530.13 MFlops
     77 :    57972.44 MFlops
     78 :    60260.57 MFlops
     79 :    61629.87 MFlops
     80 :    65015.87 MFlops
     81 :    63455.64 MFlops
     82 :    64866.82 MFlops
     83 :    64426.70 MFlops
     84 :    65856.00 MFlops
     85 :    62987.18 MFlops
     86 :    65236.51 MFlops
     87 :    66683.85 MFlops
     88 :    69009.82 MFlops
     89 :    68777.46 MFlops
     90 :    68611.76 MFlops
     91 :    68506.45 MFlops
     92 :    69216.71 MFlops
     93 :    69944.09 MFlops
     94 :    47803.40 MFlops
     95 :    70711.34 MFlops
     96 :    62086.74 MFlops
     97 :    61356.17 MFlops
     98 :    66048.56 MFlops
     99 :    60173.58 MFlops
    100 :    72727.27 MFlops
    101 :    65415.94 MFlops
    102 :    62886.40 MFlops
    103 :    61562.08 MFlops
    104 :    68173.58 MFlops
    105 :    68600.00 MFlops
    106 :    70578.73 MFlops
    107 :    64054.54 MFlops
    108 :    68555.76 MFlops
    109 :    64751.45 MFlops
    110 :    68696.77 MFlops
    111 :    70587.41 MFlops
    112 :    68533.07 MFlops
    113 :    72144.85 MFlops
    114 :    73162.67 MFlops
    115 :    69925.29 MFlops
    116 :    70152.63 MFlops
    117 :    75370.02 MFlops
    118 :    71436.17 MFlops
    119 :    72871.74 MFlops
    120 :    73531.91 MFlops
    121 :    65613.37 MFlops
    122 :    75660.33 MFlops
    123 :    67058.27 MFlops
    124 :    73331.69 MFlops
    125 :    72004.61 MFlops
    126 :    69277.09 MFlops
    127 :    69436.71 MFlops
    128 :    82241.25 MFlops
    129 :    57629.23 MFlops
    130 :    78115.56 MFlops
    131 :    81748.76 MFlops
    132 :    72439.94 MFlops
    133 :    84779.71 MFlops
    134 :    84056.03 MFlops
    135 :    87092.92 MFlops
    136 :    86367.59 MFlops
    137 :    86796.73 MFlops
    138 :    86166.30 MFlops
    139 :    87337.20 MFlops
    140 :    89235.77 MFlops
    141 :    85594.53 MFlops
    142 :    79260.57 MFlops
    143 :    91381.47 MFlops
    144 :    95170.80 MFlops
    145 :    91344.57 MFlops
    146 :    91198.12 MFlops
    147 :    88853.79 MFlops
    148 :    85030.61 MFlops
    149 :    94176.48 MFlops
    150 :    94076.66 MFlops
    151 :    96984.54 MFlops
    152 :    98232.39 MFlops
    153 :    98125.40 MFlops
    154 :   100062.03 MFlops
    155 :   101329.93 MFlops
    156 :    98608.21 MFlops
    157 :   102175.39 MFlops
    158 :    99541.00 MFlops
    159 :    97742.95 MFlops
    160 :   106736.16 MFlops
    161 :    96213.97 MFlops
    162 :   101529.03 MFlops
    163 :   105627.98 MFlops
    164 :   110619.29 MFlops
    165 :   102971.35 MFlops
    166 :   109893.00 MFlops
    167 :    85654.49 MFlops
    168 :    91625.74 MFlops
    169 :   107561.20 MFlops
    170 :   103160.10 MFlops
    171 :   104171.06 MFlops
    172 :   106009.33 MFlops
    173 :   107869.10 MFlops
    174 :   109465.43 MFlops
    175 :   116508.15 MFlops
    176 :   115077.07 MFlops
    177 :   111461.97 MFlops
    178 :   112795.04 MFlops
    179 :   114994.27 MFlops
    180 :   115200.00 MFlops
    181 :   109052.71 MFlops
    182 :   114557.11 MFlops
    183 :   109682.09 MFlops
    184 :   112243.32 MFlops
    185 :   116981.52 MFlops
    186 :   113891.26 MFlops
    187 :   118625.00 MFlops
    188 :   115308.84 MFlops
    189 :   115406.31 MFlops
    190 :   116748.94 MFlops
    191 :   113993.80 MFlops
    192 :   118211.07 MFlops
    193 :   113213.50 MFlops
    194 :   115436.90 MFlops
    195 :   116769.69 MFlops
    196 :   121199.77 MFlops
    197 :   119226.09 MFlops
    198 :   120114.38 MFlops
    199 :   125337.56 MFlops
    200 :   121673.00 MFlops
