From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :         inf MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :     1152.00 MFlops
     13x13 :         inf MFlops
     14x14 :         inf MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :         inf MFlops
     18x18 :         inf MFlops
     19x19 :         inf MFlops
     20x20 :         inf MFlops
     21x21 :         inf MFlops
     22x22 :         inf MFlops
     23x23 :         inf MFlops
     24x24 :     4608.00 MFlops
     25x25 :         inf MFlops
     26x26 :     5408.00 MFlops
     27x27 :     5832.00 MFlops
     28x28 :         inf MFlops
     29x29 :     6728.00 MFlops
     30x30 :     7200.00 MFlops
     31x31 :     7688.00 MFlops
     32x32 :     8192.00 MFlops
     33x33 :     8712.00 MFlops
     34x34 :     9248.00 MFlops
     35x35 :     9800.00 MFlops
     36x36 :    10368.00 MFlops
     37x37 :    10952.00 MFlops
     38x38 :    11552.00 MFlops
     39x39 :     6084.00 MFlops
     40x40 :    12800.00 MFlops
     41x41 :    13448.00 MFlops
     42x42 :     7056.00 MFlops
     43x43 :     7396.00 MFlops
     44x44 :    15488.00 MFlops
     45x45 :     8100.00 MFlops
     46x46 :     8464.00 MFlops
     47x47 :     8836.00 MFlops
     48x48 :     9216.00 MFlops
     49x49 :     9604.00 MFlops
     50x50 :    10000.00 MFlops
     51x51 :     6936.00 MFlops
     52x52 :    10816.00 MFlops
     53x53 :     7490.67 MFlops
     54x54 :    11664.00 MFlops
     55x55 :     8066.67 MFlops
     56x56 :     8362.67 MFlops
     57x57 :     8664.00 MFlops
     58x58 :     8970.67 MFlops
     59x59 :     9282.67 MFlops
     60x60 :     9600.00 MFlops
     61x61 :     7442.00 MFlops
     62x62 :     7688.00 MFlops
     63x63 :    10584.00 MFlops
     64x64 :     8192.00 MFlops
     65x65 :     8450.00 MFlops
     66x66 :     8712.00 MFlops
     67x67 :     8978.00 MFlops
     68x68 :     7398.40 MFlops
     69x69 :     9522.00 MFlops
     70x70 :     9800.00 MFlops
     71x71 :     8065.60 MFlops
     72x72 :     8294.40 MFlops
     73x73 :     8526.40 MFlops
     74x74 :     8761.60 MFlops
     75x75 :     9000.00 MFlops
     76x76 :     9241.60 MFlops
     77x77 :     9486.40 MFlops
     78x78 :     9734.40 MFlops
     79x79 :     9985.60 MFlops
     80x80 :     8533.33 MFlops
     81x81 :     8748.00 MFlops
     82x82 :     8965.33 MFlops
     83x83 :     9185.33 MFlops
     84x84 :     9408.00 MFlops
     85x85 :     9633.33 MFlops
     86x86 :     9861.33 MFlops
     87x87 :     8650.29 MFlops
     88x88 :     8850.29 MFlops
     89x89 :     9052.57 MFlops
     90x90 :     9257.14 MFlops
     91x91 :     9464.00 MFlops
     92x92 :     8464.00 MFlops
     93x93 :     8649.00 MFlops
     94x94 :     8836.00 MFlops
     95x95 :     9025.00 MFlops
     96x96 :     8192.00 MFlops
     97x97 :     9409.00 MFlops
     98x98 :     9604.00 MFlops
