From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        0.12 MFlops
      2x2 :        8.00 MFlops
      3x3 :         inf MFlops
      4x4 :      128.00 MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :     1352.00 MFlops
     14x14 :         inf MFlops
     15x15 :     1800.00 MFlops
     16x16 :     2048.00 MFlops
     17x17 :         inf MFlops
     18x18 :         inf MFlops
     19x19 :         inf MFlops
     20x20 :         inf MFlops
     21x21 :     3528.00 MFlops
     22x22 :         inf MFlops
     23x23 :     4232.00 MFlops
     24x24 :     4608.00 MFlops
     25x25 :     5000.00 MFlops
     26x26 :         inf MFlops
     27x27 :     5832.00 MFlops
     28x28 :     6272.00 MFlops
     29x29 :     6728.00 MFlops
     30x30 :     7200.00 MFlops
     31x31 :     7688.00 MFlops
     32x32 :     8192.00 MFlops
     33x33 :     8712.00 MFlops
     34x34 :     4624.00 MFlops
     35x35 :     9800.00 MFlops
     36x36 :    10368.00 MFlops
     37x37 :     5476.00 MFlops
     38x38 :    11552.00 MFlops
     39x39 :    12168.00 MFlops
     40x40 :     6400.00 MFlops
     41x41 :     6724.00 MFlops
     42x42 :    14112.00 MFlops
     43x43 :     7396.00 MFlops
     44x44 :     7744.00 MFlops
     45x45 :     8100.00 MFlops
     46x46 :     8464.00 MFlops
     47x47 :     8836.00 MFlops
     48x48 :     9216.00 MFlops
     49x49 :     9604.00 MFlops
     50x50 :     6666.67 MFlops
     51x51 :    10404.00 MFlops
     52x52 :     7210.67 MFlops
     53x53 :     7490.67 MFlops
     54x54 :    11664.00 MFlops
     55x55 :     8066.67 MFlops
     56x56 :     8362.67 MFlops
     57x57 :     8664.00 MFlops
     58x58 :     8970.67 MFlops
     59x59 :     9282.67 MFlops
     60x60 :     7200.00 MFlops
     61x61 :     9922.67 MFlops
     62x62 :     7688.00 MFlops
     63x63 :     7938.00 MFlops
     64x64 :     8192.00 MFlops
     65x65 :     8450.00 MFlops
     66x66 :     8712.00 MFlops
     67x67 :     7182.40 MFlops
     68x68 :     9248.00 MFlops
     69x69 :     7617.60 MFlops
     70x70 :     7840.00 MFlops
     71x71 :     8065.60 MFlops
     72x72 :     8294.40 MFlops
     73x73 :     8526.40 MFlops
     74x74 :     8761.60 MFlops
     75x75 :     9000.00 MFlops
     76x76 :     7701.33 MFlops
     77x77 :     7905.33 MFlops
     78x78 :     8112.00 MFlops
     79x79 :     8321.33 MFlops
     80x80 :     8533.33 MFlops
     81x81 :     7498.29 MFlops
     82x82 :     7684.57 MFlops
     83x83 :     7873.14 MFlops
     84x84 :     8064.00 MFlops
     85x85 :     8257.14 MFlops
     86x86 :     9861.33 MFlops
     87x87 :     8650.29 MFlops
     88x88 :     8850.29 MFlops
     89x89 :     9052.57 MFlops
     90x90 :     8100.00 MFlops
     91x91 :     9464.00 MFlops
     92x92 :     8464.00 MFlops
     93x93 :     8649.00 MFlops
     94x94 :     7854.22 MFlops
     95x95 :     9025.00 MFlops
     96x96 :     8192.00 MFlops
     97x97 :     9409.00 MFlops
     98x98 :     8536.89 MFlops
     99x99 :     8712.00 MFlops
    100x100 :     8000.00 MFlops
    101x101 :     8160.80 MFlops
    102x102 :     9248.00 MFlops
    103x103 :     9430.22 MFlops
    104x104 :     8652.80 MFlops
    105x105 :     8820.00 MFlops
    106x106 :     8171.64 MFlops
    107x107 :     8326.55 MFlops
    108x108 :     8482.91 MFlops
    109x109 :     8640.73 MFlops
    110x110 :     8800.00 MFlops
    111x111 :     8214.00 MFlops
    112x112 :     8362.67 MFlops
    113x113 :     8512.67 MFlops
    114x114 :     8664.00 MFlops
    115x115 :     8816.67 MFlops
    116x116 :     8970.67 MFlops
    117x117 :     8424.00 MFlops
    118x118 :     8568.62 MFlops
    119x119 :     9440.67 MFlops
    120x120 :     8861.54 MFlops
    121x121 :     8366.29 MFlops
    122x122 :     9159.38 MFlops
