From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.11 MFlops
      2 :       64.00 MFlops
      3 :      216.00 MFlops
      4 :         inf MFlops
      5 :       41.67 MFlops
      6 :      216.00 MFlops
      7 :      392.00 MFlops
      8 :      585.14 MFlops
      9 :      253.57 MFlops
     10 :      571.43 MFlops
     11 :      138.29 MFlops
     12 :     1063.38 MFlops
     13 :     1597.82 MFlops
     14 :     1568.00 MFlops
     15 :     2454.55 MFlops
     16 :     3276.80 MFlops
     17 :     4367.11 MFlops
     18 :     3588.92 MFlops
     19 :     3919.43 MFlops
     20 :     8000.00 MFlops
     21 :     5292.00 MFlops
     22 :     7098.67 MFlops
     23 :     6952.57 MFlops
     24 :    15798.86 MFlops
     25 :     7352.94 MFlops
     26 :     7400.42 MFlops
     27 :    19683.00 MFlops
     28 :    12544.00 MFlops
     29 :    17737.45 MFlops
     30 :    21600.00 MFlops
     31 :    12543.58 MFlops
     32 :    12483.05 MFlops
     33 :     9913.66 MFlops
     34 :    15721.60 MFlops
     35 :    21437.50 MFlops
     36 :    21955.76 MFlops
     37 :    17618.43 MFlops
     38 :    15677.71 MFlops
     39 :    20632.70 MFlops
     40 :    21333.33 MFlops
     41 :    20421.04 MFlops
     42 :    18522.00 MFlops
     43 :    17668.22 MFlops
     44 :    17036.80 MFlops
     45 :    17780.49 MFlops
     46 :    18992.39 MFlops
     47 :    17303.83 MFlops
     48 :    16693.13 MFlops
     49 :    20460.70 MFlops
     50 :    23809.52 MFlops
     51 :    20022.79 MFlops
     52 :    20830.81 MFlops
     53 :    22055.85 MFlops
     54 :    19683.00 MFlops
     55 :    22948.28 MFlops
     56 :    21614.28 MFlops
     57 :    23149.12 MFlops
     58 :    26912.00 MFlops
     59 :    23812.06 MFlops
     60 :    23040.00 MFlops
     61 :    24538.49 MFlops
     62 :    25765.19 MFlops
     63 :    27783.00 MFlops
     64 :    23301.69 MFlops
     65 :    25252.87 MFlops
     66 :    26136.00 MFlops
     67 :    27977.95 MFlops
     68 :    24421.90 MFlops
     69 :    25269.92 MFlops
     70 :    26384.62 MFlops
     71 :    32911.36 MFlops
     72 :    26192.84 MFlops
     73 :    34967.82 MFlops
     74 :    31171.08 MFlops
     75 :    29867.26 MFlops
     76 :    26013.39 MFlops
     77 :    27879.88 MFlops
     78 :    24336.00 MFlops
     79 :    29435.16 MFlops
     80 :    39766.99 MFlops
     81 :    47769.98 MFlops
     82 :    47945.04 MFlops
     83 :    46205.01 MFlops
     84 :    48882.80 MFlops
     85 :    43477.88 MFlops
     86 :    45841.87 MFlops
     87 :    47459.68 MFlops
     88 :    49115.10 MFlops
     89 :    49909.31 MFlops
     90 :    44861.54 MFlops
     91 :    49414.49 MFlops
     92 :    46488.84 MFlops
     93 :    48382.38 MFlops
     94 :    49587.10 MFlops
     95 :    47965.03 MFlops
     96 :    49152.00 MFlops
     97 :    50704.06 MFlops
     98 :    51927.83 MFlops
     99 :    52448.59 MFlops
    100 :    49079.75 MFlops
    101 :    52499.41 MFlops
    102 :    53732.05 MFlops
    103 :    52980.70 MFlops
    104 :    55208.05 MFlops
    105 :    54476.47 MFlops
    106 :    65711.23 MFlops
    107 :    49747.94 MFlops
    108 :    56616.27 MFlops
    109 :    55700.17 MFlops
    110 :    60158.19 MFlops
    111 :    58197.06 MFlops
    112 :    56479.52 MFlops
    113 :    57715.88 MFlops
    114 :    61411.15 MFlops
    115 :    58215.31 MFlops
    116 :    49552.25 MFlops
    117 :    51874.11 MFlops
    118 :    50168.92 MFlops
    119 :    51652.38 MFlops
    120 :    49726.62 MFlops
    121 :    54932.12 MFlops
    122 :    49920.22 MFlops
    123 :    53167.63 MFlops
    124 :    40245.36 MFlops
    125 :    48524.84 MFlops
    126 :    49392.00 MFlops
    127 :    44773.40 MFlops
    128 :    50686.45 MFlops
    129 :    30999.12 MFlops
    130 :    31441.86 MFlops
    131 :    47578.65 MFlops
    132 :    30717.44 MFlops
    133 :    29969.90 MFlops
    134 :    41484.55 MFlops
    135 :    53197.30 MFlops
    136 :    40985.03 MFlops
    137 :    35962.98 MFlops
    138 :    48001.32 MFlops
    139 :    60350.99 MFlops
    140 :    64375.37 MFlops
    141 :    54299.68 MFlops
    142 :    55463.21 MFlops
    143 :    55566.88 MFlops
    144 :    57422.77 MFlops
    145 :    51671.61 MFlops
    146 :    75675.04 MFlops
    147 :    64662.05 MFlops
    148 :    89121.43 MFlops
    149 :    54903.72 MFlops
    150 :    55214.72 MFlops
    151 :    56211.44 MFlops
    152 :    57218.87 MFlops
    153 :    58474.73 MFlops
    154 :    59996.12 MFlops
    155 :    59344.62 MFlops
    156 :    56557.41 MFlops
    157 :    57975.93 MFlops
    158 :    63489.93 MFlops
    159 :    64058.63 MFlops
    160 :    60014.65 MFlops
    161 :    59724.95 MFlops
    162 :    59049.00 MFlops
    163 :    59734.44 MFlops
    164 :    55483.57 MFlops
    165 :    64288.01 MFlops
    166 :    61194.60 MFlops
    167 :    63474.79 MFlops
    168 :    64184.53 MFlops
    169 :    33461.41 MFlops
    170 :    41027.14 MFlops
    171 :    50635.05 MFlops
    172 :    59864.09 MFlops
    173 :    64319.47 MFlops
    174 :    60292.12 MFlops
    175 :    60133.24 MFlops
    176 :    73178.20 MFlops
    177 :    60110.93 MFlops
    178 :    42404.15 MFlops
    179 :    63112.40 MFlops
    180 :    64176.07 MFlops
    181 :    64629.33 MFlops
    182 :    56014.57 MFlops
    183 :    57747.82 MFlops
    184 :    60775.65 MFlops
    185 :    56722.28 MFlops
    186 :    59789.60 MFlops
    187 :    57741.31 MFlops
    188 :    65064.11 MFlops
    189 :    59156.79 MFlops
    190 :    60232.71 MFlops
    191 :    60656.11 MFlops
    192 :    59666.07 MFlops
    193 :    61379.36 MFlops
    194 :    62740.14 MFlops
    195 :    62114.14 MFlops
    196 :    76152.07 MFlops
    197 :    55958.81 MFlops
    198 :   111288.77 MFlops
    199 :    57105.79 MFlops
    200 :    59534.88 MFlops
