From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.33 MFlops
      2 :       32.00 MFlops
      3 :         inf MFlops
      4 :      256.00 MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :     4000.00 MFlops
     11 :     5324.00 MFlops
     12 :     3456.00 MFlops
     13 :     4394.00 MFlops
     14 :     5488.00 MFlops
     15 :    13500.00 MFlops
     16 :     8192.00 MFlops
     17 :     9826.00 MFlops
     18 :    11664.00 MFlops
     19 :    13718.00 MFlops
     20 :    10666.67 MFlops
     21 :    12348.00 MFlops
     22 :    14197.33 MFlops
     23 :     9733.60 MFlops
     24 :    18432.00 MFlops
     25 :    15625.00 MFlops
     26 :    17576.00 MFlops
     27 :    15746.40 MFlops
     28 :    17561.60 MFlops
     29 :    19511.20 MFlops
     30 :    18000.00 MFlops
     31 :    19860.67 MFlops
     32 :     2473.06 MFlops
     33 :     4492.12 MFlops
     34 :     5822.81 MFlops
     35 :     5044.12 MFlops
     36 :     4911.16 MFlops
     37 :     6753.73 MFlops
     38 :     5627.90 MFlops
     39 :     7190.18 MFlops
     40 :     5565.22 MFlops
     41 :     7876.69 MFlops
     42 :     7798.74 MFlops
     43 :     7227.91 MFlops
     44 :     7407.30 MFlops
     45 :     7147.06 MFlops
     46 :     9983.18 MFlops
     47 :     9228.71 MFlops
     48 :     9027.92 MFlops
     49 :    11204.67 MFlops
     50 :    10204.08 MFlops
     51 :     8993.29 MFlops
     52 :     9867.23 MFlops
     53 :    10634.07 MFlops
     54 :    12112.62 MFlops
     55 :    11279.66 MFlops
     56 :    10807.14 MFlops
     57 :    12143.80 MFlops
     58 :    13007.47 MFlops
     59 :    11409.94 MFlops
     60 :    14644.07 MFlops
     61 :    13158.32 MFlops
     62 :    13426.93 MFlops
     63 :    14495.48 MFlops
     64 :    13617.87 MFlops
     65 :    14083.33 MFlops
     66 :    15333.12 MFlops
     67 :    14153.55 MFlops
     68 :    15153.35 MFlops
     69 :    15459.25 MFlops
     70 :    15076.92 MFlops
     71 :    15394.02 MFlops
     72 :    16588.80 MFlops
     73 :    15406.61 MFlops
     74 :    15736.85 MFlops
     75 :    15481.65 MFlops
     76 :    16565.13 MFlops
     77 :    19426.94 MFlops
     78 :    19981.14 MFlops
     79 :    19920.77 MFlops
     80 :    23011.24 MFlops
     81 :    19502.42 MFlops
     82 :    16835.66 MFlops
     83 :    17196.60 MFlops
     84 :    22579.20 MFlops
     85 :    19191.41 MFlops
     86 :    22716.29 MFlops
     87 :    27154.76 MFlops
     88 :    25715.92 MFlops
     89 :    30987.65 MFlops
     90 :    28310.68 MFlops
     91 :    22494.66 MFlops
     92 :    33856.00 MFlops
     93 :    30069.42 MFlops
     94 :    31049.87 MFlops
     95 :    31177.27 MFlops
     96 :    36864.00 MFlops
     97 :    34440.49 MFlops
     98 :    31373.07 MFlops
     99 :    31554.44 MFlops
    100 :    37383.18 MFlops
    101 :    35527.62 MFlops
    102 :    33689.14 MFlops
    103 :    32618.72 MFlops
    104 :    30401.73 MFlops
    105 :    31715.75 MFlops
    106 :    32630.58 MFlops
    107 :    45371.96 MFlops
    108 :    34750.68 MFlops
    109 :    34305.40 MFlops
    110 :    34797.39 MFlops
    111 :    34844.10 MFlops
    112 :    40722.55 MFlops
    113 :    40080.47 MFlops
    114 :    47409.41 MFlops
    115 :    47901.57 MFlops
    116 :    48399.88 MFlops
    117 :    46089.58 MFlops
    118 :    49414.50 MFlops
    119 :    49201.72 MFlops
    120 :    49371.43 MFlops
    121 :    34567.04 MFlops
    122 :    34753.07 MFlops
    123 :    32935.70 MFlops
    124 :    38713.18 MFlops
    125 :    39859.69 MFlops
    126 :    40824.00 MFlops
    127 :    48771.02 MFlops
    128 :    49636.73 MFlops
    129 :    35927.85 MFlops
    130 :    36464.73 MFlops
    131 :    34322.00 MFlops
    132 :    36947.28 MFlops
    133 :    37049.40 MFlops
    134 :    37159.91 MFlops
    135 :    36450.00 MFlops
    136 :    40408.93 MFlops
    137 :    40334.95 MFlops
    138 :    39819.27 MFlops
    139 :    33053.77 MFlops
    140 :    40802.97 MFlops
    141 :    60610.18 MFlops
    142 :    60598.69 MFlops
    143 :    60920.98 MFlops
    144 :    40215.27 MFlops
    145 :    39210.61 MFlops
    146 :    38901.70 MFlops
    147 :    49248.42 MFlops
    148 :    56873.54 MFlops
    149 :    56546.14 MFlops
    150 :    56485.36 MFlops
    151 :    56441.82 MFlops
    152 :    56871.38 MFlops
    153 :    41889.79 MFlops
    154 :    41268.52 MFlops
    155 :    40149.60 MFlops
    156 :    42182.40 MFlops
    157 :    43118.58 MFlops
    158 :    42641.21 MFlops
    159 :    40398.78 MFlops
    160 :    45010.99 MFlops
    161 :    45485.35 MFlops
    162 :    38915.59 MFlops
