From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.24 MFlops
      2 :       32.00 MFlops
      3 :         inf MFlops
      4 :      128.00 MFlops
      5 :         inf MFlops
      6 :      864.00 MFlops
      7 :     1372.00 MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :         inf MFlops
     11 :     5324.00 MFlops
     12 :     6912.00 MFlops
     13 :     8788.00 MFlops
     14 :    10976.00 MFlops
     15 :    13500.00 MFlops
     16 :    16384.00 MFlops
     17 :     3930.40 MFlops
     18 :    11664.00 MFlops
     19 :    13718.00 MFlops
     20 :    16000.00 MFlops
     21 :    18522.00 MFlops
     22 :    21296.00 MFlops
     23 :    16222.67 MFlops
     24 :    18432.00 MFlops
     25 :    20833.33 MFlops
     26 :    23434.67 MFlops
     27 :    26244.00 MFlops
     28 :    21952.00 MFlops
     29 :    24389.00 MFlops
     30 :    27000.00 MFlops
     31 :    23832.80 MFlops
     32 :    26214.40 MFlops
     33 :    11057.54 MFlops
     34 :    26202.67 MFlops
     35 :    24500.00 MFlops
     36 :    23328.00 MFlops
     37 :    25326.50 MFlops
     38 :    27436.00 MFlops
     39 :    26364.00 MFlops
     40 :    25600.00 MFlops
     41 :    27568.40 MFlops
     42 :    26941.09 MFlops
     43 :    24463.69 MFlops
     44 :    30976.00 MFlops
     45 :    30375.00 MFlops
     46 :    24334.00 MFlops
     47 :    29663.71 MFlops
     48 :    29491.20 MFlops
     49 :     1503.50 MFlops
     50 :    18518.52 MFlops
     51 :    12633.43 MFlops
     52 :    13391.24 MFlops
     53 :    17514.94 MFlops
     54 :    24225.23 MFlops
     55 :    22948.28 MFlops
     56 :    25088.00 MFlops
     57 :    11947.94 MFlops
     58 :    18149.95 MFlops
     59 :    18670.82 MFlops
     60 :    21600.00 MFlops
     61 :    26703.65 MFlops
     62 :    28888.24 MFlops
     63 :    28576.80 MFlops
     64 :    29127.11 MFlops
     65 :    29689.19 MFlops
     66 :    29486.77 MFlops
     67 :    30847.49 MFlops
     68 :    33098.11 MFlops
     69 :    34579.89 MFlops
     70 :    35179.49 MFlops
     71 :    35791.10 MFlops
     72 :    35547.43 MFlops
     73 :    35365.18 MFlops
     74 :    35236.87 MFlops
     75 :    37500.00 MFlops
     76 :    36581.33 MFlops
     77 :    37268.00 MFlops
     78 :    41265.39 MFlops
     79 :    41086.58 MFlops
     80 :    42666.67 MFlops
     81 :    43382.94 MFlops
     82 :    44109.44 MFlops
     83 :    43983.62 MFlops
     84 :    45592.62 MFlops
     85 :    41635.59 MFlops
     86 :    43865.93 MFlops
     87 :    46210.74 MFlops
     88 :    46998.07 MFlops
     89 :    44759.94 MFlops
     90 :    44861.54 MFlops
     91 :    47845.78 MFlops
     92 :    48668.00 MFlops
     93 :    49498.89 MFlops
     94 :    46793.46 MFlops
     95 :    49702.90 MFlops
     96 :    49152.00 MFlops
     97 :    50704.06 MFlops
     98 :    50875.24 MFlops
     99 :    51749.28 MFlops
    100 :    52631.58 MFlops
    101 :    52167.14 MFlops
    102 :    52405.33 MFlops
    103 :    51422.45 MFlops
    104 :    55548.84 MFlops
    105 :    52619.32 MFlops
    106 :    56715.05 MFlops
    107 :    56978.74 MFlops
    108 :    56616.27 MFlops
    109 :    60233.91 MFlops
    110 :    57869.57 MFlops
    111 :    60783.60 MFlops
    112 :    61083.83 MFlops
    113 :    61399.87 MFlops
    114 :    58675.01 MFlops
    115 :    64036.84 MFlops
    116 :    56248.50 MFlops
    117 :    56196.95 MFlops
    118 :    59208.36 MFlops
    119 :    57612.27 MFlops
    120 :    59586.21 MFlops
    121 :    60052.92 MFlops
    122 :    63159.93 MFlops
    123 :    62028.90 MFlops
    124 :    62004.03 MFlops
    125 :    62500.00 MFlops
    126 :    64012.03 MFlops
    127 :    66076.87 MFlops
    128 :    65536.00 MFlops
    129 :    47704.20 MFlops
    130 :    52000.00 MFlops
    131 :    58773.62 MFlops
    132 :    63447.39 MFlops
    133 :    67701.78 MFlops
    134 :    65920.66 MFlops
    135 :    61896.23 MFlops
    136 :    68447.78 MFlops
    137 :    54709.64 MFlops
    138 :    66533.47 MFlops
    139 :    63564.95 MFlops
    140 :    67337.42 MFlops
    141 :    69645.24 MFlops
    142 :    62929.41 MFlops
    143 :    74030.56 MFlops
    144 :    63531.57 MFlops
    145 :    63845.55 MFlops
    146 :    63190.58 MFlops
    147 :    63849.71 MFlops
    148 :    64193.90 MFlops
    149 :    75180.66 MFlops
    150 :    75842.70 MFlops
    151 :    75255.76 MFlops
    152 :    65335.96 MFlops
    153 :    75800.57 MFlops
    154 :    76487.20 MFlops
    155 :    65909.29 MFlops
    156 :    80774.81 MFlops
    157 :    77012.80 MFlops
    158 :    80496.16 MFlops
    159 :    82879.98 MFlops
    160 :    78019.05 MFlops
    161 :    80255.40 MFlops
    162 :    81368.96 MFlops
    163 :    82490.42 MFlops
    164 :    81307.72 MFlops
    165 :    83187.50 MFlops
    166 :    84709.19 MFlops
    167 :    85458.04 MFlops
    168 :    85434.81 MFlops
    169 :    87363.06 MFlops
