From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        0.05 MFlops  0.000073000 sec
      2 :        5.33 MFlops  0.000003000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :         inf MFlops  0.000000000 sec
      5 :         inf MFlops  0.000000000 sec
      6 :         inf MFlops  0.000000000 sec
      7 :      196.00 MFlops  0.000001000 sec
      8 :         inf MFlops  0.000000000 sec
      9 :         inf MFlops  0.000000000 sec
     10 :         inf MFlops  0.000000000 sec
     11 :         inf MFlops  0.000000000 sec
     12 :         inf MFlops  0.000000000 sec
     13 :         inf MFlops  0.000000000 sec
     14 :         inf MFlops  0.000000000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :         inf MFlops  0.000000000 sec
     17 :      385.33 MFlops  0.000003000 sec
     18 :      162.00 MFlops  0.000008000 sec
     19 :      180.50 MFlops  0.000008000 sec
     20 :      266.67 MFlops  0.000006000 sec
     21 :      294.00 MFlops  0.000006000 sec
     22 :      387.20 MFlops  0.000005000 sec
     23 :      705.33 MFlops  0.000003000 sec
     24 :      768.00 MFlops  0.000003000 sec
     25 :     1250.00 MFlops  0.000002000 sec
     26 :     2704.00 MFlops  0.000001000 sec
     27 :      153.47 MFlops  0.000019000 sec
     28 :      174.22 MFlops  0.000018000 sec
     29 :      224.27 MFlops  0.000015000 sec
     30 :      225.00 MFlops  0.000016000 sec
     31 :      274.57 MFlops  0.000014000 sec
     32 :      292.57 MFlops  0.000014000 sec
     33 :      363.00 MFlops  0.000012000 sec
     34 :      462.40 MFlops  0.000010000 sec
     35 :      490.00 MFlops  0.000010000 sec
     36 :      648.00 MFlops  0.000008000 sec
     37 :      782.29 MFlops  0.000007000 sec
     38 :      304.00 MFlops  0.000019000 sec
     39 :      676.00 MFlops  0.000009000 sec
     40 :      426.67 MFlops  0.000015000 sec
     41 :      336.20 MFlops  0.000020000 sec
     42 :      371.37 MFlops  0.000019000 sec
     43 :      462.25 MFlops  0.000016000 sec
     44 :      387.20 MFlops  0.000020000 sec
     45 :      578.57 MFlops  0.000014000 sec
     46 :      846.40 MFlops  0.000010000 sec
