From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.04 MFlops    0.000103 sec
      2 :         inf MFlops    0.000000 sec
      3 :      108.00 MFlops    0.000001 sec
      4 :         inf MFlops    0.000000 sec
      5 :         inf MFlops    0.000000 sec
      6 :      864.00 MFlops    0.000001 sec
      7 :     1372.00 MFlops    0.000001 sec
      8 :         inf MFlops    0.000000 sec
      9 :         inf MFlops    0.000000 sec
     10 :     4000.00 MFlops    0.000001 sec
     11 :     5324.00 MFlops    0.000001 sec
     12 :     6912.00 MFlops    0.000001 sec
     13 :     8788.00 MFlops    0.000001 sec
     14 :    10976.00 MFlops    0.000001 sec
     15 :     6750.00 MFlops    0.000002 sec
     16 :     8192.00 MFlops    0.000002 sec
     17 :     9826.00 MFlops    0.000002 sec
     18 :    11664.00 MFlops    0.000002 sec
     19 :    13718.00 MFlops    0.000002 sec
     20 :    16000.00 MFlops    0.000002 sec
     21 :    12348.00 MFlops    0.000003 sec
     22 :    14197.33 MFlops    0.000003 sec
     23 :     1158.76 MFlops    0.000042 sec
     24 :     2910.32 MFlops    0.000019 sec
     25 :     4166.67 MFlops    0.000015 sec
     26 :     4686.93 MFlops    0.000015 sec
     27 :     4920.75 MFlops    0.000016 sec
     28 :     5488.00 MFlops    0.000016 sec
     29 :     5738.59 MFlops    0.000017 sec
     30 :     7200.00 MFlops    0.000015 sec
     31 :     7009.65 MFlops    0.000017 sec
     32 :     6553.60 MFlops    0.000020 sec
     33 :     8455.76 MFlops    0.000017 sec
     34 :     9248.00 MFlops    0.000017 sec
     35 :     9527.78 MFlops    0.000018 sec
     36 :     9331.20 MFlops    0.000020 sec
     37 :     9648.19 MFlops    0.000021 sec
     38 :    10974.40 MFlops    0.000020 sec
     39 :    11298.86 MFlops    0.000021 sec
     40 :     9481.48 MFlops    0.000027 sec
     41 :    11486.83 MFlops    0.000024 sec
     42 :    11854.08 MFlops    0.000025 sec
     43 :    12721.12 MFlops    0.000025 sec
     44 :    13105.23 MFlops    0.000026 sec
     45 :    14019.23 MFlops    0.000026 sec
     46 :    11124.11 MFlops    0.000035 sec
     47 :    13396.52 MFlops    0.000031 sec
     48 :    13824.00 MFlops    0.000032 sec
     49 :    15180.52 MFlops    0.000031 sec
     50 :    14705.88 MFlops    0.000034 sec
     51 :    15606.00 MFlops    0.000034 sec
     52 :    13717.85 MFlops    0.000041 sec
     53 :    14887.70 MFlops    0.000040 sec
     54 :    16150.15 MFlops    0.000039 sec
     55 :    16637.50 MFlops    0.000040 sec
     56 :    11150.22 MFlops    0.000063 sec
     57 :    17227.26 MFlops    0.000043 sec
     58 :    10405.97 MFlops    0.000075 sec
     59 :    11253.64 MFlops    0.000073 sec
     60 :    16000.00 MFlops    0.000054 sec
     61 :    17802.43 MFlops    0.000051 sec
     62 :    19455.35 MFlops    0.000049 sec
     63 :    18871.47 MFlops    0.000053 sec
     64 :    15887.52 MFlops    0.000066 sec
     65 :    14646.67 MFlops    0.000075 sec
     66 :    19827.31 MFlops    0.000058 sec
     67 :    19404.06 MFlops    0.000062 sec
     68 :    16549.05 MFlops    0.000076 sec
     69 :    19909.64 MFlops    0.000066 sec
     70 :    19600.00 MFlops    0.000070 sec
     71 :    15907.16 MFlops    0.000090 sec
     72 :    17987.86 MFlops    0.000083 sec
     73 :    20747.57 MFlops    0.000075 sec
     74 :    16208.96 MFlops    0.000100 sec
     75 :    21360.76 MFlops    0.000079 sec
     76 :    18483.20 MFlops    0.000095 sec
     77 :    22001.59 MFlops    0.000083 sec
     78 :    18609.88 MFlops    0.000102 sec
     79 :    17001.34 MFlops    0.000116 sec
     80 :    21787.23 MFlops    0.000094 sec
     81 :    22614.51 MFlops    0.000094 sec
     82 :    36155.28 MFlops    0.000061 sec
     83 :    45742.96 MFlops    0.000050 sec
     84 :    48384.00 MFlops    0.000049 sec
     85 :    47240.38 MFlops    0.000052 sec
     86 :    45432.57 MFlops    0.000056 sec
     87 :    47891.13 MFlops    0.000055 sec
     88 :    43268.06 MFlops    0.000063 sec
     89 :    46997.93 MFlops    0.000060 sec
