From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
      1 :        0.80 MFlops    0.000005 sec
      2 :         inf MFlops    0.000000 sec
      3 :         inf MFlops    0.000000 sec
      4 :         inf MFlops    0.000000 sec
      5 :      500.00 MFlops    0.000001 sec
      6 :         inf MFlops    0.000000 sec
      7 :     1372.00 MFlops    0.000001 sec
      8 :         inf MFlops    0.000000 sec
      9 :     2916.00 MFlops    0.000001 sec
     10 :         inf MFlops    0.000000 sec
     11 :     5324.00 MFlops    0.000001 sec
     12 :     6912.00 MFlops    0.000001 sec
     13 :     8788.00 MFlops    0.000001 sec
     14 :     5488.00 MFlops    0.000002 sec
     15 :    13500.00 MFlops    0.000001 sec
     16 :     8192.00 MFlops    0.000002 sec
     17 :     6550.67 MFlops    0.000003 sec
     18 :     7776.00 MFlops    0.000003 sec
     19 :     6859.00 MFlops    0.000004 sec
     20 :     8000.00 MFlops    0.000004 sec
     21 :     7408.80 MFlops    0.000005 sec
     22 :     7098.67 MFlops    0.000006 sec
     23 :     9733.60 MFlops    0.000005 sec
     24 :     7899.43 MFlops    0.000007 sec
     25 :      573.39 MFlops    0.000109 sec
     26 :     7811.56 MFlops    0.000009 sec
     27 :    11247.43 MFlops    0.000007 sec
     28 :    10976.00 MFlops    0.000008 sec
     29 :    12194.50 MFlops    0.000008 sec
     30 :    12000.00 MFlops    0.000009 sec
     31 :    11916.40 MFlops    0.000010 sec
     32 :    13107.20 MFlops    0.000010 sec
     33 :     5133.86 MFlops    0.000028 sec
     34 :     4031.18 MFlops    0.000039 sec
     35 :     9026.32 MFlops    0.000019 sec
     36 :     9331.20 MFlops    0.000020 sec
     37 :    11918.35 MFlops    0.000017 sec
     38 :    12911.06 MFlops    0.000017 sec
     39 :    10785.27 MFlops    0.000022 sec
     40 :    12800.00 MFlops    0.000020 sec
     41 :    13127.81 MFlops    0.000021 sec
     42 :    13470.55 MFlops    0.000022 sec
     43 :     6000.53 MFlops    0.000053 sec
     44 :    13629.44 MFlops    0.000025 sec
     45 :    15847.83 MFlops    0.000023 sec
     46 :    16222.67 MFlops    0.000024 sec
     47 :    14831.86 MFlops    0.000028 sec
     48 :    17694.72 MFlops    0.000025 sec
     49 :    18099.85 MFlops    0.000026 sec
     50 :    18518.52 MFlops    0.000027 sec
     51 :    18950.14 MFlops    0.000028 sec
     52 :    19394.21 MFlops    0.000029 sec
     53 :    20534.76 MFlops    0.000029 sec
     54 :    20995.20 MFlops    0.000030 sec
     55 :    21467.74 MFlops    0.000031 sec
     56 :    21286.79 MFlops    0.000033 sec
     57 :    21164.91 MFlops    0.000035 sec
     58 :    22298.51 MFlops    0.000035 sec
     59 :    21618.84 MFlops    0.000038 sec
     60 :    22153.85 MFlops    0.000039 sec
     61 :    23280.10 MFlops    0.000039 sec
     62 :    23832.80 MFlops    0.000040 sec
     63 :    23260.19 MFlops    0.000043 sec
     64 :    23831.27 MFlops    0.000044 sec
     65 :    23880.43 MFlops    0.000046 sec
     66 :    24467.74 MFlops    0.000047 sec
     67 :    25596.85 MFlops    0.000047 sec
     68 :    26202.67 MFlops    0.000048 sec
     69 :    27375.75 MFlops    0.000048 sec
     70 :    28583.33 MFlops    0.000048 sec
     71 :    29217.22 MFlops    0.000049 sec
     72 :    29274.35 MFlops    0.000051 sec
     73 :    31121.36 MFlops    0.000050 sec
     74 :    31171.08 MFlops    0.000052 sec
     75 :    32451.92 MFlops    0.000052 sec
     76 :    33130.26 MFlops    0.000053 sec
     77 :    33817.26 MFlops    0.000054 sec
