From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        2.00 MFlops  0.000002000 sec
      2 :       16.00 MFlops  0.000001000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :       64.00 MFlops  0.000001000 sec
      5 :         inf MFlops  0.000000000 sec
      6 :         inf MFlops  0.000000000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :         inf MFlops  0.000000000 sec
      9 :         inf MFlops  0.000000000 sec
     10 :         inf MFlops  0.000000000 sec
     11 :         inf MFlops  0.000000000 sec
     12 :         inf MFlops  0.000000000 sec
     13 :         inf MFlops  0.000000000 sec
     14 :         inf MFlops  0.000000000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :         inf MFlops  0.000000000 sec
     17 :     1156.00 MFlops  0.000001000 sec
     18 :         inf MFlops  0.000000000 sec
     19 :         inf MFlops  0.000000000 sec
     20 :         inf MFlops  0.000000000 sec
     21 :         inf MFlops  0.000000000 sec
     22 :         inf MFlops  0.000000000 sec
     23 :         inf MFlops  0.000000000 sec
     24 :     2304.00 MFlops  0.000001000 sec
     25 :     2500.00 MFlops  0.000001000 sec
     26 :         inf MFlops  0.000000000 sec
     27 :     2916.00 MFlops  0.000001000 sec
     28 :     3136.00 MFlops  0.000001000 sec
     29 :         inf MFlops  0.000000000 sec
     30 :     3600.00 MFlops  0.000001000 sec
     31 :         inf MFlops  0.000000000 sec
     32 :         inf MFlops  0.000000000 sec
     33 :      101.30 MFlops  0.000043000 sec
     34 :     4624.00 MFlops  0.000001000 sec
     35 :     4900.00 MFlops  0.000001000 sec
     36 :     5184.00 MFlops  0.000001000 sec
     37 :     5476.00 MFlops  0.000001000 sec
     38 :         inf MFlops  0.000000000 sec
     39 :     6084.00 MFlops  0.000001000 sec
     40 :     6400.00 MFlops  0.000001000 sec
     41 :     6724.00 MFlops  0.000001000 sec
     42 :         inf MFlops  0.000000000 sec
     43 :     7396.00 MFlops  0.000001000 sec
     44 :     7744.00 MFlops  0.000001000 sec
     45 :     8100.00 MFlops  0.000001000 sec
     46 :     8464.00 MFlops  0.000001000 sec
     47 :     8836.00 MFlops  0.000001000 sec
     48 :     9216.00 MFlops  0.000001000 sec
     49 :      152.44 MFlops  0.000063000 sec
     50 :     1111.11 MFlops  0.000009000 sec
     51 :      800.31 MFlops  0.000013000 sec
     52 :      832.00 MFlops  0.000013000 sec
     53 :      936.33 MFlops  0.000012000 sec
     54 :     1060.36 MFlops  0.000011000 sec
     55 :     1210.00 MFlops  0.000010000 sec
     56 :     1792.00 MFlops  0.000007000 sec
     57 :     2166.00 MFlops  0.000006000 sec
     58 :     1035.08 MFlops  0.000013000 sec
     59 :     1265.82 MFlops  0.000011000 sec
     60 :     1440.00 MFlops  0.000010000 sec
     61 :     1653.78 MFlops  0.000009000 sec
     62 :     3075.20 MFlops  0.000005000 sec
     63 :     1058.40 MFlops  0.000015000 sec
     64 :     1260.31 MFlops  0.000013000 sec
     65 :     1690.00 MFlops  0.000010000 sec
     66 :     1452.00 MFlops  0.000012000 sec
     67 :     1632.36 MFlops  0.000011000 sec
     68 :     1681.45 MFlops  0.000011000 sec
     69 :     1464.92 MFlops  0.000013000 sec
     70 :     1633.33 MFlops  0.000012000 sec
     71 :     1260.25 MFlops  0.000016000 sec
     72 :     1481.14 MFlops  0.000014000 sec
     73 :     1522.57 MFlops  0.000014000 sec
     74 :     1684.92 MFlops  0.000013000 sec
     75 :     1607.14 MFlops  0.000014000 sec
     76 :     1444.00 MFlops  0.000016000 sec
     77 :     1581.07 MFlops  0.000015000 sec
     78 :     1738.29 MFlops  0.000014000 sec
     79 :     1783.14 MFlops  0.000014000 sec
     80 :     1969.23 MFlops  0.000013000 sec
     81 :     1640.25 MFlops  0.000016000 sec
     82 :     2445.09 MFlops  0.000011000 sec
     83 :     1968.29 MFlops  0.000014000 sec
     84 :     1764.00 MFlops  0.000016000 sec
     85 :     2223.08 MFlops  0.000013000 sec
     86 :     2113.14 MFlops  0.000014000 sec
     87 :     1892.25 MFlops  0.000016000 sec
     88 :     2065.07 MFlops  0.000015000 sec
     89 :     2112.27 MFlops  0.000015000 sec
     90 :     2160.00 MFlops  0.000015000 sec
     91 :     1380.17 MFlops  0.000024000 sec
     92 :     1692.80 MFlops  0.000020000 sec
     93 :     2306.40 MFlops  0.000015000 sec
     94 :     2079.06 MFlops  0.000017000 sec
     95 :     2578.57 MFlops  0.000014000 sec
     96 :     2457.60 MFlops  0.000015000 sec
     97 :     1792.19 MFlops  0.000021000 sec
     98 :     2744.00 MFlops  0.000014000 sec
     99 :     2063.37 MFlops  0.000019000 sec
    100 :     2222.22 MFlops  0.000018000 sec
    101 :     2266.89 MFlops  0.000018000 sec
    102 :     2601.00 MFlops  0.000016000 sec
    103 :     2357.56 MFlops  0.000018000 sec
    104 :     3090.29 MFlops  0.000014000 sec
    105 :     2450.00 MFlops  0.000018000 sec
    106 :     2496.89 MFlops  0.000018000 sec
    107 :     2862.25 MFlops  0.000016000 sec
    108 :     2744.47 MFlops  0.000017000 sec
    109 :     2970.25 MFlops  0.000016000 sec
    110 :     2547.37 MFlops  0.000019000 sec
    111 :     2738.00 MFlops  0.000018000 sec
    112 :     2280.73 MFlops  0.000022000 sec
    113 :     2432.19 MFlops  0.000021000 sec
    114 :     2475.43 MFlops  0.000021000 sec
    115 :     2784.21 MFlops  0.000019000 sec
    116 :     2990.22 MFlops  0.000018000 sec
    117 :     2737.80 MFlops  0.000020000 sec
    118 :     3276.24 MFlops  0.000017000 sec
    119 :     2981.26 MFlops  0.000019000 sec
    120 :     3388.24 MFlops  0.000017000 sec
    121 :     3253.56 MFlops  0.000018000 sec
    122 :     3307.56 MFlops  0.000018000 sec
    123 :     2327.54 MFlops  0.000026000 sec
    124 :     3237.05 MFlops  0.000019000 sec
    125 :     3676.47 MFlops  0.000017000 sec
    126 :     3342.32 MFlops  0.000019000 sec
    127 :     4032.25 MFlops  0.000016000 sec
    128 :     1170.29 MFlops  0.000056000 sec
    129 :     4160.25 MFlops  0.000016000 sec
    130 :     5200.00 MFlops  0.000013000 sec
    131 :     4576.27 MFlops  0.000015000 sec
    132 :     4646.40 MFlops  0.000015000 sec
    133 :     4717.07 MFlops  0.000015000 sec
    134 :     4788.27 MFlops  0.000015000 sec
    135 :     4556.25 MFlops  0.000016000 sec
    136 :     4932.27 MFlops  0.000015000 sec
    137 :     5362.57 MFlops  0.000014000 sec
    138 :     4232.00 MFlops  0.000018000 sec
    139 :     5520.29 MFlops  0.000014000 sec
    140 :     5600.00 MFlops  0.000014000 sec
    141 :     6117.23 MFlops  0.000013000 sec
    142 :     5377.07 MFlops  0.000015000 sec
    143 :     3895.05 MFlops  0.000021000 sec
    144 :     5529.60 MFlops  0.000015000 sec
    145 :     4426.32 MFlops  0.000019000 sec
    146 :     4736.89 MFlops  0.000018000 sec
    147 :     5762.40 MFlops  0.000015000 sec
    148 :     5476.00 MFlops  0.000016000 sec
    149 :     4440.20 MFlops  0.000020000 sec
    150 :     4090.91 MFlops  0.000022000 sec
    151 :     5700.25 MFlops  0.000016000 sec
    152 :     5134.22 MFlops  0.000018000 sec
    153 :     3601.38 MFlops  0.000026000 sec
    154 :     5580.24 MFlops  0.000017000 sec
    155 :     5652.94 MFlops  0.000017000 sec
    156 :     4635.43 MFlops  0.000021000 sec
    157 :     4929.80 MFlops  0.000020000 sec
    158 :     4992.80 MFlops  0.000020000 sec
    159 :     4596.55 MFlops  0.000022000 sec
    160 :     6023.53 MFlops  0.000017000 sec
    161 :     5457.05 MFlops  0.000019000 sec
    162 :     6175.06 MFlops  0.000017000 sec
    163 :     5593.47 MFlops  0.000019000 sec
    164 :     4890.18 MFlops  0.000022000 sec
    165 :     4734.78 MFlops  0.000023000 sec
    166 :     4592.67 MFlops  0.000024000 sec
    167 :     6562.12 MFlops  0.000017000 sec
    168 :     5376.00 MFlops  0.000021000 sec
    169 :     5440.19 MFlops  0.000021000 sec
    170 :     5780.00 MFlops  0.000020000 sec
    171 :     5569.71 MFlops  0.000021000 sec
    172 :     4551.38 MFlops  0.000026000 sec
    173 :     5205.04 MFlops  0.000023000 sec
    174 :     6055.20 MFlops  0.000020000 sec
    175 :     4900.00 MFlops  0.000025000 sec
    176 :     5900.19 MFlops  0.000021000 sec
    177 :     5448.52 MFlops  0.000023000 sec
    178 :     5510.26 MFlops  0.000023000 sec
    179 :     5340.17 MFlops  0.000024000 sec
    180 :     5890.91 MFlops  0.000022000 sec
    181 :     5460.17 MFlops  0.000024000 sec
    182 :     4907.26 MFlops  0.000027000 sec
    183 :     6088.91 MFlops  0.000022000 sec
    184 :     6155.64 MFlops  0.000022000 sec
    185 :     6222.73 MFlops  0.000022000 sec
    186 :     5766.00 MFlops  0.000024000 sec
    187 :     5180.59 MFlops  0.000027000 sec
    188 :     2827.52 MFlops  0.000050000 sec
    189 :     1808.66 MFlops  0.000079000 sec
    190 :     2187.88 MFlops  0.000066000 sec
