From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        0.05 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :      256.00 MFlops
      5 :      500.00 MFlops
      6 :         inf MFlops
      7 :     1372.00 MFlops
      8 :         inf MFlops
      9 :         inf MFlops
     10 :     4000.00 MFlops
     11 :     5324.00 MFlops
     12 :     6912.00 MFlops
     13 :     8788.00 MFlops
     14 :    10976.00 MFlops
     15 :     6750.00 MFlops
     16 :    16384.00 MFlops
     17 :     9826.00 MFlops
     18 :    11664.00 MFlops
     19 :     9145.33 MFlops
     20 :    10666.67 MFlops
     21 :    12348.00 MFlops
     22 :    10648.00 MFlops
     23 :     1081.51 MFlops
     24 :     4253.54 MFlops
     25 :     4807.69 MFlops
     26 :     5021.71 MFlops
     27 :     5248.80 MFlops
     28 :     5853.87 MFlops
     29 :     6503.73 MFlops
     30 :     6750.00 MFlops
     31 :     7447.75 MFlops
     32 :     6241.52 MFlops
     33 :     7986.00 MFlops
     34 :     8734.22 MFlops
     35 :     8575.00 MFlops
     36 :     9331.20 MFlops
     37 :    10130.60 MFlops
     38 :    10974.40 MFlops
     39 :     9491.04 MFlops
     40 :     9481.48 MFlops
     41 :    11027.36 MFlops
     42 :    11854.08 MFlops
     43 :    12231.85 MFlops
     44 :    13629.44 MFlops
     45 :    13017.86 MFlops
     46 :    10522.81 MFlops
     47 :    13843.07 MFlops
     48 :    13405.09 MFlops
     49 :    13841.06 MFlops
     50 :    14705.88 MFlops
     51 :    12941.56 MFlops
     52 :    17043.39 MFlops
     53 :    16094.81 MFlops
     54 :    15746.40 MFlops
     55 :    15125.00 MFlops
     56 :    14634.67 MFlops
     57 :    16103.74 MFlops
     58 :    16966.26 MFlops
     59 :    18255.91 MFlops
     60 :    16301.89 MFlops
     61 :    18529.06 MFlops
     62 :    18332.92 MFlops
     63 :    18522.00 MFlops
     64 :    16131.94 MFlops
     65 :    19271.93 MFlops
     66 :    17968.50 MFlops
     67 :    19404.06 MFlops
     68 :    18772.06 MFlops
     69 :    20531.81 MFlops
     70 :    19600.00 MFlops
     71 :    20452.06 MFlops
     72 :    19389.51 MFlops
     73 :    19697.06 MFlops
     74 :    20780.72 MFlops
     75 :    20579.27 MFlops
     76 :    19729.26 MFlops
     77 :    22001.59 MFlops
     78 :    21328.18 MFlops
     79 :    20543.29 MFlops
     80 :    22505.49 MFlops
     81 :    22376.46 MFlops
     82 :    14901.84 MFlops
     83 :    21375.21 MFlops
     84 :    21952.00 MFlops
     85 :    21738.94 MFlops
     86 :    23557.63 MFlops
     87 :    21950.10 MFlops
     88 :    22343.34 MFlops
     89 :    23113.74 MFlops
     90 :    22430.77 MFlops
     91 :    22835.48 MFlops
     92 :    23419.19 MFlops
     93 :    22499.50 MFlops
     94 :    22755.73 MFlops
     95 :    25216.91 MFlops
     96 :    25098.89 MFlops
     97 :    25177.19 MFlops
     98 :    24768.21 MFlops
     99 :    25202.57 MFlops
    100 :    26143.79 MFlops
    101 :    25439.53 MFlops
    102 :    24395.59 MFlops
    103 :    31673.25 MFlops
    104 :    46869.33 MFlops
    105 :    51450.00 MFlops
    106 :    52352.35 MFlops
    107 :    49496.69 MFlops
    108 :    48450.46 MFlops
    109 :    46667.71 MFlops
    110 :    46295.65 MFlops
    111 :    47569.77 MFlops
    112 :    52034.37 MFlops
    113 :    51532.04 MFlops
    114 :    57535.69 MFlops
    115 :    52443.97 MFlops
    116 :    51176.92 MFlops
    117 :    52084.98 MFlops
    118 :    48324.47 MFlops
    119 :    49930.64 MFlops
    120 :    51969.92 MFlops
    121 :    52104.74 MFlops
    122 :    47164.88 MFlops
    123 :    52052.22 MFlops
    124 :    51530.38 MFlops
    125 :    51738.41 MFlops
    126 :    49698.78 MFlops
    127 :    53552.50 MFlops
    128 :    53430.62 MFlops
    129 :    55398.43 MFlops
    130 :    49649.72 MFlops
    131 :    55508.42 MFlops
    132 :    51976.68 MFlops
    133 :    51991.98 MFlops
    134 :    49355.98 MFlops
    135 :    52348.40 MFlops
    136 :    53520.34 MFlops
    137 :    53017.59 MFlops
    138 :    51279.45 MFlops
    139 :    56838.50 MFlops
    140 :    54068.97 MFlops
    141 :    29200.22 MFlops
    142 :    46939.15 MFlops
    143 :    61562.25 MFlops
    144 :    57422.77 MFlops
    145 :    57251.17 MFlops
    146 :    51440.26 MFlops
    147 :    57493.63 MFlops
    148 :    56134.93 MFlops
    149 :    52299.59 MFlops
    150 :    52123.55 MFlops
    151 :    52765.53 MFlops
    152 :    56642.06 MFlops
    153 :    49917.45 MFlops
    154 :    28094.34 MFlops
    155 :    29149.71 MFlops
    156 :    45466.06 MFlops
    157 :    59536.82 MFlops
    158 :    57581.20 MFlops
    159 :    56023.40 MFlops
    160 :    57690.14 MFlops
    161 :    58164.20 MFlops
    162 :    54506.77 MFlops
    163 :    59325.30 MFlops
    164 :    54456.10 MFlops
    165 :    57042.86 MFlops
    166 :    53815.25 MFlops
    167 :    53843.50 MFlops
    168 :    58001.61 MFlops
    169 :    50542.50 MFlops
    170 :    59371.60 MFlops
    171 :    56820.58 MFlops
    172 :    57659.47 MFlops
    173 :    56897.99 MFlops
    174 :    54590.92 MFlops
    175 :    57939.19 MFlops
    176 :    59909.63 MFlops
    177 :    58524.89 MFlops
    178 :    54490.36 MFlops
    179 :    57210.36 MFlops
    180 :    56484.26 MFlops
    181 :    58855.99 MFlops
    182 :    55691.16 MFlops
    183 :    54596.77 MFlops
    184 :    58493.00 MFlops
    185 :    56032.08 MFlops
    186 :    54881.50 MFlops
    187 :    57361.43 MFlops
    188 :    57405.37 MFlops
    189 :    59092.07 MFlops
    190 :    55991.84 MFlops
    191 :    66203.05 MFlops
    192 :    52428.80 MFlops
    193 :    64045.05 MFlops
    194 :    54589.79 MFlops
    195 :    57591.26 MFlops
    196 :    58143.14 MFlops
    197 :    59266.46 MFlops
    198 :    58917.59 MFlops
    199 :    93261.53 MFlops
    200 :    59813.08 MFlops
