From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        0.31 MFlops
      2 :       32.00 MFlops
      3 :         inf MFlops
      4 :      256.00 MFlops
      5 :      500.00 MFlops
      6 :         inf MFlops
      7 :     1372.00 MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :     4000.00 MFlops
     11 :     5324.00 MFlops
     12 :     3456.00 MFlops
     13 :     8788.00 MFlops
     14 :     5488.00 MFlops
     15 :     6750.00 MFlops
     16 :      195.05 MFlops
     17 :     1637.67 MFlops
     18 :     4665.60 MFlops
     19 :     6859.00 MFlops
     20 :     8000.00 MFlops
     21 :     7408.80 MFlops
     22 :     8518.40 MFlops
     23 :     8111.33 MFlops
     24 :     9216.00 MFlops
     25 :    10416.67 MFlops
     26 :    10043.43 MFlops
     27 :     9841.50 MFlops
     28 :     9756.44 MFlops
     29 :    10839.56 MFlops
     30 :    10800.00 MFlops
     31 :    10833.09 MFlops
     32 :    10922.67 MFlops
     33 :     5324.00 MFlops
     34 :     4624.00 MFlops
     35 :     9026.32 MFlops
     36 :     6912.00 MFlops
     37 :    11256.22 MFlops
     38 :    11552.00 MFlops
     39 :    11863.80 MFlops
     40 :    15058.82 MFlops
     41 :    13127.81 MFlops
     42 :    14817.60 MFlops
     43 :    14455.82 MFlops
     44 :    15488.00 MFlops
     45 :    15847.83 MFlops
     46 :    16222.67 MFlops
     47 :    16611.68 MFlops
     48 :    17014.15 MFlops
     49 :    18099.85 MFlops
     50 :    18518.52 MFlops
     51 :    18950.14 MFlops
     52 :    19394.21 MFlops
     53 :    19209.94 MFlops
     54 :    19683.00 MFlops
     55 :    19573.53 MFlops
     56 :    20660.71 MFlops
     57 :    20577.00 MFlops
     58 :    21093.19 MFlops
     59 :    20036.98 MFlops
     60 :    21600.00 MFlops
     61 :    22698.10 MFlops
     62 :    23251.51 MFlops
     63 :    22731.55 MFlops
     64 :    23831.27 MFlops
     65 :    22418.37 MFlops
     66 :    20175.16 MFlops
     67 :    22278.74 MFlops
     68 :    25667.92 MFlops
     69 :    26280.72 MFlops
     70 :    26901.96 MFlops
     71 :    27531.62 MFlops
     72 :    28711.38 MFlops
     73 :    27786.93 MFlops
     74 :    30016.59 MFlops
     75 :    30681.82 MFlops
     76 :    31925.53 MFlops
     77 :    32037.40 MFlops
     78 :    33301.89 MFlops
     79 :    32869.27 MFlops
     80 :    34711.86 MFlops
     81 :    34286.52 MFlops
     82 :    35572.13 MFlops
     83 :    37494.23 MFlops
     84 :    38238.97 MFlops
     85 :    37792.31 MFlops
     86 :    38548.85 MFlops
     87 :    37098.76 MFlops
     88 :    38941.26 MFlops
     89 :    37103.63 MFlops
     90 :    38880.00 MFlops
     91 :    38644.67 MFlops
     92 :    39427.24 MFlops
     93 :    39236.93 MFlops
     94 :    39086.31 MFlops
     95 :    38971.59 MFlops
     96 :    39763.42 MFlops
     97 :    36506.92 MFlops
     98 :    38027.96 MFlops
     99 :    38050.94 MFlops
    100 :    40000.00 MFlops
    101 :    36150.91 MFlops
    102 :    41211.96 MFlops
    103 :    36123.21 MFlops
    104 :    42050.99 MFlops
    105 :    34047.79 MFlops
    106 :    44523.96 MFlops
    107 :    44955.71 MFlops
    108 :    47092.04 MFlops
    109 :    45841.73 MFlops
    110 :    48400.00 MFlops
    111 :    48411.72 MFlops
    112 :    50176.00 MFlops
    113 :    50187.72 MFlops
    114 :    51531.97 MFlops
    115 :    50695.83 MFlops
    116 :    53824.00 MFlops
    117 :    48904.21 MFlops
    118 :    49414.50 MFlops
    119 :    51065.42 MFlops
    120 :    52763.36 MFlops
    121 :    50980.17 MFlops
    122 :    54204.42 MFlops
    123 :    54331.88 MFlops
    124 :    56077.18 MFlops
    125 :    54632.87 MFlops
    126 :    55182.79 MFlops
    127 :    56899.53 MFlops
    128 :    57065.36 MFlops
    129 :    42508.69 MFlops
    130 :    42250.00 MFlops
    131 :    58391.97 MFlops
    132 :    49461.68 MFlops
    133 :    48259.22 MFlops
    134 :    49104.16 MFlops
    135 :    48720.30 MFlops
    136 :    51335.84 MFlops
    137 :    51171.20 MFlops
    138 :    49586.26 MFlops
    139 :    49052.40 MFlops
    140 :    64946.75 MFlops
    141 :    49395.96 MFlops
    142 :    48530.31 MFlops
    143 :    48334.00 MFlops
    144 :    53084.16 MFlops
    145 :    56195.85 MFlops
    146 :    54360.45 MFlops
    147 :    53163.56 MFlops
    148 :    54713.79 MFlops
    149 :    55595.78 MFlops
    150 :    55785.12 MFlops
    151 :    53796.11 MFlops
    152 :    58046.41 MFlops
    153 :    58956.00 MFlops
    154 :    58203.41 MFlops
    155 :    60305.67 MFlops
    156 :    52545.55 MFlops
    157 :    53935.79 MFlops
    158 :    58218.63 MFlops
    159 :    60219.91 MFlops
    160 :    60907.06 MFlops
    161 :    57364.69 MFlops
    162 :    59461.93 MFlops
    163 :    58721.99 MFlops
    164 :    56369.89 MFlops
    165 :    63492.93 MFlops
    166 :    57719.82 MFlops
    167 :    64463.16 MFlops
    168 :    64076.11 MFlops
    169 :    66120.67 MFlops
    170 :    69197.18 MFlops
    171 :    58653.50 MFlops
    172 :    64207.55 MFlops
    173 :    60206.01 MFlops
    174 :    62901.78 MFlops
    175 :    61779.54 MFlops
    176 :    65882.49 MFlops
    177 :    71551.39 MFlops
    178 :    65769.70 MFlops
    179 :    66304.50 MFlops
    180 :    63912.33 MFlops
    181 :    70174.45 MFlops
    182 :    67170.67 MFlops
    183 :    70442.38 MFlops
    184 :    72436.09 MFlops
    185 :    70156.51 MFlops
    186 :    69566.01 MFlops
    187 :    70694.09 MFlops
    188 :    71066.01 MFlops
    189 :    71631.50 MFlops
    190 :    71634.46 MFlops
    191 :    72962.00 MFlops
    192 :    72223.35 MFlops
    193 :    71355.40 MFlops
    194 :    71233.01 MFlops
    195 :    69787.06 MFlops
    196 :    74182.62 MFlops
    197 :    76837.92 MFlops
    198 :    68091.16 MFlops
    199 :    69279.99 MFlops
    200 :    71588.37 MFlops
