From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
      1 :        0.56 MFlops :       0.00 Sec : 130
      2 :        8.43 MFlops :       0.00 Sec : 260
      3 :       29.62 MFlops :       0.00 Sec : 390
      4 :       48.15 MFlops :       0.00 Sec : 520
      5 :       65.82 MFlops :       0.00 Sec : 650
      6 :      101.56 MFlops :       0.00 Sec : 780
      7 :      111.50 MFlops :       0.00 Sec : 910
      8 :      141.90 MFlops :       0.00 Sec : 1040
      9 :      141.14 MFlops :       0.00 Sec : 1170
     10 :      214.07 MFlops :       0.00 Sec : 1300
     11 :      179.72 MFlops :       0.00 Sec : 1430
     12 :      248.62 MFlops :       0.00 Sec : 4271
     13 :      212.67 MFlops :       0.00 Sec : 4272
     14 :      262.73 MFlops :       0.00 Sec : 4273
     15 :      327.91 MFlops :       0.00 Sec : 4274
     16 :      354.76 MFlops :       0.00 Sec : 4275
     17 :      336.00 MFlops :       0.00 Sec : 4276
     18 :      380.09 MFlops :       0.00 Sec : 4277
     19 :      380.21 MFlops :       0.00 Sec : 4278
     20 :      417.11 MFlops :       0.00 Sec : 4279
     21 :      443.35 MFlops :       0.00 Sec : 4280
     22 :      436.70 MFlops :       0.00 Sec : 4281
     23 :      457.00 MFlops :       0.00 Sec : 4282
     24 :      539.24 MFlops :       0.00 Sec : 4283
     25 :      518.80 MFlops :       0.00 Sec : 4284
     26 :      554.22 MFlops :       0.00 Sec : 4285
     27 :      554.88 MFlops :       0.00 Sec : 4286
     28 :      629.63 MFlops :       0.00 Sec : 4287
     29 :      650.62 MFlops :       0.00 Sec : 4288
     30 :      642.78 MFlops :       0.00 Sec : 4355
     31 :      677.37 MFlops :       0.00 Sec : 4356
     32 :      701.45 MFlops :       0.00 Sec : 4357
     33 :      782.65 MFlops :       0.00 Sec : 4358
     34 :      747.20 MFlops :       0.00 Sec : 4420
     35 :      815.09 MFlops :       0.00 Sec : 4550
     36 :      828.92 MFlops :       0.00 Sec : 4680
     37 :      819.22 MFlops :       0.00 Sec : 4810
     38 :      848.87 MFlops :       0.00 Sec : 4940
     39 :      874.51 MFlops :       0.00 Sec : 5070
     40 :      900.17 MFlops :       0.00 Sec : 5200
     41 :     1099.81 MFlops :       0.00 Sec : 5330
     42 :      929.36 MFlops :       0.00 Sec : 5460
     43 :      987.93 MFlops :       0.00 Sec : 5590
     44 :      966.35 MFlops :       0.00 Sec : 5720
     45 :      984.14 MFlops :       0.00 Sec : 5850
     46 :     1043.08 MFlops :       0.00 Sec : 5980
     47 :     1279.80 MFlops :       0.00 Sec : 6110
     48 :     1113.53 MFlops :       0.00 Sec : 6240
     49 :     1091.12 MFlops :       0.00 Sec : 6370
     50 :     1124.44 MFlops :       0.00 Sec : 6500
     51 :     1174.02 MFlops :       0.00 Sec : 6630
     52 :     1164.58 MFlops :       0.00 Sec : 6760
     53 :     1208.36 MFlops :       0.00 Sec : 6890
     54 :     1259.43 MFlops :       0.00 Sec : 7020
     55 :     1218.88 MFlops :       0.00 Sec : 7150
     56 :     1315.12 MFlops :       0.00 Sec : 7280
     57 :     1342.18 MFlops :       0.00 Sec : 7410
     58 :     1404.79 MFlops :       0.00 Sec : 7540
     59 :     1339.85 MFlops :       0.00 Sec : 7670
     60 :     1383.77 MFlops :       0.00 Sec : 7800
     61 :     1450.58 MFlops :       0.00 Sec : 7930
     62 :     1489.13 MFlops :       0.00 Sec : 8060
     63 :     1479.82 MFlops :       0.00 Sec : 8190
     64 :     1493.67 MFlops :       0.00 Sec : 8320
     65 :     1524.86 MFlops :       0.00 Sec : 8450
     66 :     1547.38 MFlops :       0.00 Sec : 8580
     67 :     1602.08 MFlops :       0.00 Sec : 8710
     68 :     1615.73 MFlops :       0.01 Sec : 8840
     69 :     1611.03 MFlops :       0.01 Sec : 8970
     70 :     1587.76 MFlops :       0.01 Sec : 9100
     71 :     1646.94 MFlops :       0.01 Sec : 9230
     72 :     1617.45 MFlops :       0.01 Sec : 9360
     73 :     1654.47 MFlops :       0.01 Sec : 9490
     74 :     1774.71 MFlops :       0.01 Sec : 9620
     75 :     1745.71 MFlops :       0.01 Sec : 9750
     76 :     1454.23 MFlops :       0.01 Sec : 9880
     77 :     1596.35 MFlops :       0.01 Sec : 10010
     78 :     1534.82 MFlops :       0.01 Sec : 10140
     79 :     1486.34 MFlops :       0.01 Sec : 10270
     80 :     1518.30 MFlops :       0.01 Sec : 10400
     81 :     1509.96 MFlops :       0.01 Sec : 10530
     82 :     1599.73 MFlops :       0.01 Sec : 10660
     83 :     1597.19 MFlops :       0.01 Sec : 10790
     84 :     1602.91 MFlops :       0.01 Sec : 10920
     85 :     1636.13 MFlops :       0.01 Sec : 11050
     86 :     1708.22 MFlops :       0.01 Sec : 11180
     87 :     1641.74 MFlops :       0.01 Sec : 11310
     88 :     1755.18 MFlops :       0.01 Sec : 11440
     89 :     1709.19 MFlops :       0.01 Sec : 11570
     90 :     1838.03 MFlops :       0.01 Sec : 11700
     91 :     1839.22 MFlops :       0.01 Sec : 11830
     92 :     1802.92 MFlops :       0.01 Sec : 11960
     93 :     1880.88 MFlops :       0.01 Sec : 12090
     94 :     1857.58 MFlops :       0.01 Sec : 12220
     95 :     1828.06 MFlops :       0.01 Sec : 12350
     96 :     1899.16 MFlops :       0.01 Sec : 12480
     97 :     1902.06 MFlops :       0.01 Sec : 12610
     98 :     1867.91 MFlops :       0.01 Sec : 12740
     99 :     1915.43 MFlops :       0.01 Sec : 12870
    100 :     1939.74 MFlops :       0.01 Sec : 13000
    101 :     1773.87 MFlops :       0.02 Sec : 13130
    102 :     1955.74 MFlops :       0.01 Sec : 13260
    103 :     2011.99 MFlops :       0.01 Sec : 13390
    104 :     1955.22 MFlops :       0.02 Sec : 13520
    105 :     1979.37 MFlops :       0.02 Sec : 13650
    106 :     2027.90 MFlops :       0.02 Sec : 13780
    107 :     1669.88 MFlops :       0.02 Sec : 13910
    108 :     1999.05 MFlops :       0.02 Sec : 14040
