From :   1  To : 200 Step =   1 Job=V
   SIZE           FLops           Time          Lwork
      1 :        0.68 MFlops :       0.00 Sec : 34
      2 :        6.79 MFlops :       0.00 Sec : 68
      3 :       39.49 MFlops :       0.00 Sec : 102
      4 :      240.73 MFlops :       0.00 Sec : 136
      5 :      299.20 MFlops :       0.00 Sec : 170
      6 :      517.03 MFlops :       0.00 Sec : 204
      7 :      602.08 MFlops :       0.00 Sec : 238
      8 :      709.52 MFlops :       0.00 Sec : 272
      9 :     1010.24 MFlops :       0.00 Sec : 306
     10 :     1097.08 MFlops :       0.00 Sec : 340
     11 :     1297.97 MFlops :       0.00 Sec : 374
     12 :     1421.82 MFlops :       0.00 Sec : 408
     13 :     1377.31 MFlops :       0.00 Sec : 442
     14 :     1642.03 MFlops :       0.00 Sec : 476
     15 :     1851.33 MFlops :       0.00 Sec : 510
     16 :     1797.46 MFlops :       0.00 Sec : 544
     17 :     2086.44 MFlops :       0.00 Sec : 578
     18 :     2162.77 MFlops :       0.00 Sec : 612
     19 :     2229.60 MFlops :       0.00 Sec : 646
     20 :     2393.64 MFlops :       0.00 Sec : 680
     21 :     2594.07 MFlops :       0.00 Sec : 714
     22 :     2670.11 MFlops :       0.00 Sec : 748
     23 :     2604.53 MFlops :       0.00 Sec : 782
     24 :     2637.58 MFlops :       0.00 Sec : 816
     25 :     2742.71 MFlops :       0.00 Sec : 850
     26 :     2856.64 MFlops :       0.00 Sec : 884
     27 :     3455.02 MFlops :       0.00 Sec : 918
     28 :     3440.45 MFlops :       0.00 Sec : 952
     29 :     3310.12 MFlops :       0.00 Sec : 986
     30 :     3572.41 MFlops :       0.00 Sec : 1020
     31 :     3395.66 MFlops :       0.00 Sec : 1054
     32 :     3183.70 MFlops :       0.00 Sec : 1088
     33 :     3696.18 MFlops :       0.00 Sec : 1122
     34 :     3763.18 MFlops :       0.00 Sec : 1156
     35 :     3713.48 MFlops :       0.00 Sec : 1190
     36 :     3791.52 MFlops :       0.00 Sec : 1224
     37 :     4041.50 MFlops :       0.00 Sec : 1258
     38 :     4500.87 MFlops :       0.00 Sec : 1292
     39 :     4374.98 MFlops :       0.00 Sec : 1326
     40 :     4842.30 MFlops :       0.00 Sec : 1360
     41 :     4559.52 MFlops :       0.00 Sec : 1394
     42 :     4976.37 MFlops :       0.00 Sec : 1428
     43 :     4746.98 MFlops :       0.00 Sec : 1462
     44 :     4962.16 MFlops :       0.00 Sec : 1496
     45 :     4658.88 MFlops :       0.00 Sec : 1530
     46 :     4976.42 MFlops :       0.00 Sec : 1564
     47 :     5043.65 MFlops :       0.00 Sec : 1598
     48 :     5126.56 MFlops :       0.00 Sec : 1632
     49 :     5632.18 MFlops :       0.00 Sec : 1666
     50 :     5191.25 MFlops :       0.00 Sec : 1700
     51 :     5268.03 MFlops :       0.00 Sec : 1734
     52 :     5273.80 MFlops :       0.00 Sec : 1768
     53 :     5624.00 MFlops :       0.00 Sec : 1802
     54 :     5814.90 MFlops :       0.00 Sec : 1836
     55 :     5630.66 MFlops :       0.00 Sec : 1870
     56 :     5920.58 MFlops :       0.00 Sec : 1904
     57 :     5874.86 MFlops :       0.00 Sec : 1938
     58 :     6022.62 MFlops :       0.00 Sec : 1972
     59 :     6021.86 MFlops :       0.00 Sec : 2006
     60 :     6195.29 MFlops :       0.00 Sec : 2040
     61 :     6297.59 MFlops :       0.00 Sec : 2074
     62 :     6390.20 MFlops :       0.00 Sec : 2108
     63 :     6416.90 MFlops :       0.00 Sec : 2142
     64 :     6396.90 MFlops :       0.00 Sec : 2176
     65 :     6359.61 MFlops :       0.00 Sec : 2210
     66 :     6318.67 MFlops :       0.00 Sec : 2244
     67 :     7064.31 MFlops :       0.00 Sec : 2278
     68 :     7063.99 MFlops :       0.00 Sec : 2312
     69 :     6503.49 MFlops :       0.00 Sec : 2346
     70 :     6805.72 MFlops :       0.00 Sec : 2380
     71 :     6990.95 MFlops :       0.00 Sec : 2414
     72 :     7055.00 MFlops :       0.00 Sec : 2448
     73 :     7039.74 MFlops :       0.00 Sec : 2482
     74 :     6978.12 MFlops :       0.00 Sec : 2516
     75 :     7166.43 MFlops :       0.00 Sec : 2550
     76 :     5225.24 MFlops :       0.00 Sec : 2584
     77 :     5740.46 MFlops :       0.00 Sec : 2618
     78 :     5713.28 MFlops :       0.00 Sec : 2652
     79 :     6132.13 MFlops :       0.00 Sec : 2686
     80 :     5813.26 MFlops :       0.00 Sec : 2720
     81 :     5796.54 MFlops :       0.00 Sec : 2754
     82 :     5429.14 MFlops :       0.00 Sec : 2788
     83 :     5993.29 MFlops :       0.00 Sec : 2822
     84 :     6096.05 MFlops :       0.00 Sec : 2856
     85 :     5762.62 MFlops :       0.00 Sec : 2890
     86 :     6015.57 MFlops :       0.00 Sec : 2924
     87 :     6407.39 MFlops :       0.00 Sec : 2958
