From :   1  To : 200 Step =   1 Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :         inf MFlops
      2x2 :         inf MFlops
      3x3 :         inf MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :         inf MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :         inf MFlops
     11x11 :         inf MFlops
     12x12 :      288.00 MFlops
     13x13 :      338.00 MFlops
     14x14 :         inf MFlops
     15x15 :      450.00 MFlops
     16x16 :         inf MFlops
     17x17 :         inf MFlops
     18x18 :      648.00 MFlops
     19x19 :         inf MFlops
     20x20 :         inf MFlops
     21x21 :      882.00 MFlops
     22x22 :      968.00 MFlops
     23x23 :         inf MFlops
     24x24 :         inf MFlops
     25x25 :     1250.00 MFlops
     26x26 :         inf MFlops
     27x27 :     1458.00 MFlops
     28x28 :     1568.00 MFlops
     29x29 :         inf MFlops
     30x30 :         inf MFlops
     31x31 :     1922.00 MFlops
     32x32 :     2048.00 MFlops
     33x33 :         inf MFlops
     34x34 :         inf MFlops
     35x35 :         inf MFlops
     36x36 :     2592.00 MFlops
     37x37 :     2738.00 MFlops
     38x38 :         inf MFlops
     39x39 :     3042.00 MFlops
     40x40 :         inf MFlops
     41x41 :         inf MFlops
     42x42 :     3528.00 MFlops
     43x43 :     3698.00 MFlops
     44x44 :     3872.00 MFlops
     45x45 :     4050.00 MFlops
     46x46 :     4232.00 MFlops
     47x47 :     4418.00 MFlops
     48x48 :         inf MFlops
     49x49 :     4802.00 MFlops
     50x50 :     5000.00 MFlops
     51x51 :     5202.00 MFlops
     52x52 :     5408.00 MFlops
     53x53 :     5618.00 MFlops
     54x54 :     5832.00 MFlops
     55x55 :         inf MFlops
     56x56 :     6272.00 MFlops
     57x57 :     6498.00 MFlops
     58x58 :     6728.00 MFlops
     59x59 :     6962.00 MFlops
     60x60 :     7200.00 MFlops
     61x61 :     7442.00 MFlops
     62x62 :     7688.00 MFlops
     63x63 :     3969.00 MFlops
     64x64 :     8192.00 MFlops
     65x65 :     8450.00 MFlops
     66x66 :     8712.00 MFlops
     67x67 :     4489.00 MFlops
     68x68 :     9248.00 MFlops
     69x69 :     9522.00 MFlops
     70x70 :     9800.00 MFlops
     71x71 :     5041.00 MFlops
     72x72 :     5184.00 MFlops
     73x73 :    10658.00 MFlops
     74x74 :    10952.00 MFlops
     75x75 :     5625.00 MFlops
     76x76 :     5776.00 MFlops
     77x77 :    11858.00 MFlops
     78x78 :     6084.00 MFlops
     79x79 :     6241.00 MFlops
     80x80 :     6400.00 MFlops
     81x81 :     6561.00 MFlops
     82x82 :     6724.00 MFlops
     83x83 :     6889.00 MFlops
     84x84 :    14112.00 MFlops
     85x85 :     7225.00 MFlops
     86x86 :     7396.00 MFlops
     87x87 :     7569.00 MFlops
     88x88 :     7744.00 MFlops
     89x89 :     7921.00 MFlops
     90x90 :     8100.00 MFlops
     91x91 :     1274.00 MFlops
     92x92 :     2116.00 MFlops
     93x93 :     2883.00 MFlops
     94x94 :     3534.40 MFlops
     95x95 :     4512.50 MFlops
     96x96 :     3072.00 MFlops
     97x97 :     4704.50 MFlops
     98x98 :     1746.18 MFlops
     99x99 :     1960.20 MFlops
    100x100 :     4000.00 MFlops
