From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 1x1 :       0.30 MFlops   0.000009 s
 2x2 :       1.07 MFlops   0.000020 s
 3x3 :       5.54 MFlops   0.000013 s
 4x4 :       8.13 MFlops   0.000021 s
 5x5 :      22.22 MFlops   0.000015 s
 6x6 :      57.60 MFlops   0.000010 s
 7x7 :      60.98 MFlops   0.000015 s
 8x8 :     124.12 MFlops   0.000011 s
 9x9 :     162.00 MFlops   0.000012 s
 10x10 :     242.42 MFlops   0.000011 s
 11x11 :     295.78 MFlops   0.000012 s
 12x12 :     329.14 MFlops   0.000014 s
 13x13 :     532.61 MFlops   0.000011 s
 14x14 :     609.78 MFlops   0.000012 s
 15x15 :     642.86 MFlops   0.000014 s
 16x16 :     728.18 MFlops   0.000015 s
 17x17 :     935.81 MFlops   0.000014 s
 18x18 :     192.00 MFlops   0.000081 s
 19x19 :     571.58 MFlops   0.000032 s
 20x20 :     627.45 MFlops   0.000034 s
 21x21 :     705.60 MFlops   0.000035 s
 22x22 :     747.23 MFlops   0.000038 s
 23x23 :     811.13 MFlops   0.000040 s
 24x24 :     970.11 MFlops   0.000038 s
 25x25 :     946.97 MFlops   0.000044 s
 26x26 :     884.33 MFlops   0.000053 s
 27x27 :     954.33 MFlops   0.000055 s
 28x28 :    1125.74 MFlops   0.000052 s
 29x29 :     124.59 MFlops   0.000522 s
 30x30 :    1309.09 MFlops   0.000055 s
 31x31 :    1302.34 MFlops   0.000061 s
 32x32 :    1387.01 MFlops   0.000063 s
 33x33 :    1521.14 MFlops   0.000063 s
 34x34 :    1435.76 MFlops   0.000073 s
 35x35 :    1545.05 MFlops   0.000074 s
 36x36 :    1481.14 MFlops   0.000084 s
 37x37 :    1627.41 MFlops   0.000083 s
 38x38 :    1829.07 MFlops   0.000080 s
 39x39 :    1929.07 MFlops   0.000082 s
 40x40 :    1896.30 MFlops   0.000090 s
 41x41 :    2112.52 MFlops   0.000087 s
 42x42 :    1918.14 MFlops   0.000103 s
 43x43 :    1019.32 MFlops   0.000208 s
 44x44 :    1802.84 MFlops   0.000126 s
 45x45 :    2025.00 MFlops   0.000120 s
 46x46 :    1880.89 MFlops   0.000138 s
 47x47 :    3899.46 MFlops   0.000071 s
 48x48 :    4468.36 MFlops   0.000066 s
 49x49 :    5143.13 MFlops   0.000061 s
 50x50 :    4830.92 MFlops   0.000069 s
 51x51 :    4593.97 MFlops   0.000077 s
 52x52 :    4686.93 MFlops   0.000080 s
 53x53 :    4783.20 MFlops   0.000083 s
 54x54 :    5315.24 MFlops   0.000079 s
 55x55 :    5915.56 MFlops   0.000075 s
 56x56 :    5642.28 MFlops   0.000083 s
 57x57 :    5487.20 MFlops   0.000090 s
