From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 1x1 :       0.12 MFlops   0.000023 s
 2x2 :      10.67 MFlops   0.000002 s
 3x3 :      72.00 MFlops   0.000001 s
 4x4 :     170.67 MFlops   0.000001 s
 5x5 :     333.33 MFlops   0.000001 s
 6x6 :     576.00 MFlops   0.000001 s
 7x7 :     914.67 MFlops   0.000001 s
 8x8 :    1365.33 MFlops   0.000001 s
 9x9 :    1944.00 MFlops   0.000001 s
 10x10 :    1333.33 MFlops   0.000002 s
 11x11 :    1774.67 MFlops   0.000002 s
 12x12 :    2304.00 MFlops   0.000002 s
 13x13 :    2929.33 MFlops   0.000002 s
 14x14 :    3658.67 MFlops   0.000002 s
 15x15 :    3000.00 MFlops   0.000003 s
 16x16 :    3640.89 MFlops   0.000003 s
 17x17 :    1871.62 MFlops   0.000007 s
 18x18 :    3888.00 MFlops   0.000004 s
 19x19 :    3658.13 MFlops   0.000005 s
 20x20 :    4266.67 MFlops   0.000005 s
 21x21 :    4116.00 MFlops   0.000006 s
 22x22 :    4732.44 MFlops   0.000006 s
 23x23 :    4635.05 MFlops   0.000007 s
 24x24 :    6144.00 MFlops   0.000006 s
 25x25 :    5952.38 MFlops   0.000007 s
 26x26 :    5858.67 MFlops   0.000008 s
 27x27 :    5832.00 MFlops   0.000009 s
 28x28 :    6504.30 MFlops   0.000009 s
 29x29 :    6503.73 MFlops   0.000010 s
 30x30 :    6545.45 MFlops   0.000011 s
 31x31 :    7222.06 MFlops   0.000011 s
 32x32 :    4369.07 MFlops   0.000020 s
 33x33 :    1312.77 MFlops   0.000073 s
 34x34 :    3082.67 MFlops   0.000034 s
 35x35 :    1937.85 MFlops   0.000059 s
 36x36 :    4608.00 MFlops   0.000027 s
 37x37 :    4657.75 MFlops   0.000029 s
 38x38 :    5627.90 MFlops   0.000026 s
 39x39 :    6327.36 MFlops   0.000025 s
 40x40 :    5333.33 MFlops   0.000032 s
 41x41 :    5928.69 MFlops   0.000031 s
 42x42 :    5488.00 MFlops   0.000036 s
 43x43 :    5889.41 MFlops   0.000036 s
 44x44 :    6139.39 MFlops   0.000037 s
 45x45 :    6567.57 MFlops   0.000037 s
 46x46 :    6489.07 MFlops   0.000040 s
 47x47 :    6591.94 MFlops   0.000042 s
 48x48 :    7192.98 MFlops   0.000041 s
 49x49 :    6675.12 MFlops   0.000047 s
 50x50 :    6802.72 MFlops   0.000049 s
 51x51 :    6802.62 MFlops   0.000052 s
 52x52 :    8332.33 MFlops   0.000045 s
 53x53 :    7940.11 MFlops   0.000050 s
 54x54 :    8233.41 MFlops   0.000051 s
 55x55 :    8216.05 MFlops   0.000054 s
 56x56 :    9182.54 MFlops   0.000051 s
 57x57 :    8370.31 MFlops   0.000059 s
 58x58 :    8671.64 MFlops   0.000060 s
 59x59 :    8833.51 MFlops   0.000062 s
 60x60 :    9442.62 MFlops   0.000061 s
 61x61 :    9170.95 MFlops   0.000066 s
 62x62 :    9210.74 MFlops   0.000069 s
 63x63 :    9391.44 MFlops   0.000071 s
 64x64 :   10280.16 MFlops   0.000068 s
 65x65 :    2805.87 MFlops   0.000261 s
 66x66 :    5764.33 MFlops   0.000133 s
 67x67 :    7711.87 MFlops   0.000104 s
 68x68 :    9214.12 MFlops   0.000091 s
 69x69 :    8111.33 MFlops   0.000108 s
 70x70 :    7751.41 MFlops   0.000118 s
 71x71 :    8446.28 MFlops   0.000113 s
 72x72 :   10477.14 MFlops   0.000095 s
 73x73 :    8503.10 MFlops   0.000122 s
 74x74 :   10915.12 MFlops   0.000099 s
 75x75 :   11250.00 MFlops   0.000100 s
 76x76 :   12723.94 MFlops   0.000092 s
 77x77 :   11819.62 MFlops   0.000103 s
 78x78 :    9443.82 MFlops   0.000134 s
 79x79 :    9258.95 MFlops   0.000142 s
 80x80 :   12880.50 MFlops   0.000106 s
 81x81 :   11712.20 MFlops   0.000121 s
 82x82 :   11577.28 MFlops   0.000127 s
 83x83 :   11464.40 MFlops   0.000133 s
 84x84 :   11707.73 MFlops   0.000135 s
 85x85 :   13423.50 MFlops   0.000122 s
 86x86 :   12029.43 MFlops   0.000141 s
 87x87 :   13104.54 MFlops   0.000134 s
 88x88 :   14538.07 MFlops   0.000125 s
 89x89 :   12876.15 MFlops   0.000146 s
 90x90 :   15804.88 MFlops   0.000123 s
 91x91 :   15948.59 MFlops   0.000126 s
 92x92 :   17020.50 MFlops   0.000122 s
 93x93 :   12617.36 MFlops   0.000170 s
 94x94 :   11908.01 MFlops   0.000186 s
 95x95 :   12990.53 MFlops   0.000176 s
