From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        0.33 MFlops :       0.00 Sec : 64
      2 :        2.50 MFlops :       0.00 Sec : 128
      3 :       16.00 MFlops :       0.00 Sec : 192
      4 :       76.00 MFlops :       0.00 Sec : 256
      5 :      150.00 MFlops :       0.00 Sec : 320
      6 :      262.00 MFlops :       0.00 Sec : 384
      7 :      420.00 MFlops :       0.00 Sec : 448
      8 :      632.00 MFlops :       0.00 Sec : 512
      9 :      906.00 MFlops :       0.00 Sec : 576
     10 :     1250.00 MFlops :       0.00 Sec : 640
     11 :      836.00 MFlops :       0.00 Sec : 704
     12 :     2180.00 MFlops :       0.00 Sec : 768
     13 :     1391.00 MFlops :       0.00 Sec : 832
     14 :     1743.00 MFlops :       0.00 Sec : 896
     15 :     1433.33 MFlops :       0.00 Sec : 960
     16 :     1744.00 MFlops :       0.00 Sec : 1024
     17 :     2096.67 MFlops :       0.00 Sec : 1088
     18 :     1496.40 MFlops :       0.00 Sec : 1152
     19 :     2204.00 MFlops :       0.00 Sec : 1216
     20 :     2060.00 MFlops :       0.00 Sec : 1280
     21 :     2388.40 MFlops :       0.00 Sec : 1344
     22 :     2750.00 MFlops :       0.00 Sec : 1408
     23 :     2622.00 MFlops :       0.00 Sec : 1472
     24 :     3579.20 MFlops :       0.00 Sec : 1536
     25 :     2892.86 MFlops :       0.00 Sec : 1600
     26 :     2850.25 MFlops :       0.00 Sec : 1664
     27 :     3651.43 MFlops :       0.00 Sec : 1728
     28 :     3566.50 MFlops :       0.00 Sec : 1792
     29 :     3525.11 MFlops :       0.00 Sec : 1856
     30 :     3515.00 MFlops :       0.00 Sec : 1920
     31 :     3881.20 MFlops :       0.00 Sec : 1984
     32 :     4272.00 MFlops :       0.00 Sec : 2048
     33 :      332.50 MFlops :       0.00 Sec : 2112
     34 :      789.32 MFlops :       0.00 Sec : 2176
     35 :      848.48 MFlops :       0.00 Sec : 2240
     36 :     1069.68 MFlops :       0.00 Sec : 2304
     37 :      919.86 MFlops :       0.00 Sec : 2368
     38 :      897.27 MFlops :       0.00 Sec : 2432
     39 :     1338.55 MFlops :       0.00 Sec : 2496
     40 :     1581.13 MFlops :       0.00 Sec : 2560
     41 :     1736.19 MFlops :       0.00 Sec : 2624
     42 :     1831.89 MFlops :       0.00 Sec : 2688
     43 :     1930.22 MFlops :       0.00 Sec : 2752
     44 :     1959.93 MFlops :       0.00 Sec : 2816
     45 :     1928.23 MFlops :       0.00 Sec : 2880
     46 :     2456.58 MFlops :       0.00 Sec : 2944
     47 :     2310.17 MFlops :       0.00 Sec : 3008
     48 :     2547.93 MFlops :       0.00 Sec : 3072
     49 :     2575.77 MFlops :       0.00 Sec : 3136
     50 :     2783.90 MFlops :       0.00 Sec : 3200
     51 :     3058.81 MFlops :       0.00 Sec : 3264
     52 :     2888.44 MFlops :       0.00 Sec : 3328
     53 :     3107.65 MFlops :       0.00 Sec : 3392
     54 :     3287.71 MFlops :       0.00 Sec : 3456
     55 :     3172.46 MFlops :       0.00 Sec : 3520
     56 :     3727.61 MFlops :       0.00 Sec : 3584
     57 :     3339.32 MFlops :       0.00 Sec : 3648
     58 :     3722.93 MFlops :       0.00 Sec : 3712
     59 :     3038.83 MFlops :       0.00 Sec : 3776
     60 :     4246.27 MFlops :       0.00 Sec : 3840
     61 :     3934.50 MFlops :       0.00 Sec : 3904
     62 :     4131.97 MFlops :       0.00 Sec : 3968
     63 :     4224.77 MFlops :       0.00 Sec : 4032
     64 :     4669.41 MFlops :       0.00 Sec : 4096
     65 :     2967.62 MFlops :       0.00 Sec : 4160
     66 :     4738.52 MFlops :       0.00 Sec : 4224
     67 :     4612.09 MFlops :       0.00 Sec : 4288
     68 :     4996.77 MFlops :       0.00 Sec : 4352
