From :   1  To : 200 Step =   1
   SIZE           FLops           Time          Lwork
      1 :        0.18 MFlops :       0.00 Sec : 64
      2 :        5.00 MFlops :       0.00 Sec : 128
      3 :       32.00 MFlops :       0.00 Sec : 192
      4 :       76.00 MFlops :       0.00 Sec : 256
      5 :      150.00 MFlops :       0.00 Sec : 320
      6 :      262.00 MFlops :       0.00 Sec : 384
      7 :      420.00 MFlops :       0.00 Sec : 448
      8 :      316.00 MFlops :       0.00 Sec : 512
      9 :      453.00 MFlops :       0.00 Sec : 576
     10 :      625.00 MFlops :       0.00 Sec : 640
     11 :      836.00 MFlops :       0.00 Sec : 704
     12 :     1090.00 MFlops :       0.00 Sec : 768
     13 :     1391.00 MFlops :       0.00 Sec : 832
     14 :     1162.00 MFlops :       0.00 Sec : 896
     15 :     1433.33 MFlops :       0.00 Sec : 960
     16 :     1744.00 MFlops :       0.00 Sec : 1024
     17 :     1572.50 MFlops :       0.00 Sec : 1088
     18 :     1870.50 MFlops :       0.00 Sec : 1152
     19 :     2204.00 MFlops :       0.00 Sec : 1216
     20 :     2575.00 MFlops :       0.00 Sec : 1280
     21 :     2388.40 MFlops :       0.00 Sec : 1344
     22 :     2750.00 MFlops :       0.00 Sec : 1408
     23 :     3146.40 MFlops :       0.00 Sec : 1472
     24 :     2982.67 MFlops :       0.00 Sec : 1536
     25 :     3375.00 MFlops :       0.00 Sec : 1600
     26 :     3257.43 MFlops :       0.00 Sec : 1664
     27 :     3651.43 MFlops :       0.00 Sec : 1728
     28 :     4076.00 MFlops :       0.00 Sec : 1792
     29 :     3525.11 MFlops :       0.00 Sec : 1856
     30 :     3905.56 MFlops :       0.00 Sec : 1920
     31 :     4312.44 MFlops :       0.00 Sec : 1984
     32 :     4272.00 MFlops :       0.00 Sec : 2048
     33 :     3906.83 MFlops :       0.00 Sec : 2112
     34 :     4275.50 MFlops :       0.00 Sec : 2176
     35 :     4307.69 MFlops :       0.00 Sec : 2240
     36 :     3586.59 MFlops :       0.00 Sec : 2304
     37 :     4139.37 MFlops :       0.00 Sec : 2368
     38 :     4785.47 MFlops :       0.00 Sec : 2432
     39 :     5175.73 MFlops :       0.00 Sec : 2496
     40 :     5237.50 MFlops :       0.00 Sec : 2560
     41 :     5310.71 MFlops :       0.00 Sec : 2624
     42 :     5711.18 MFlops :       0.00 Sec : 2688
     43 :     5211.60 MFlops :       0.00 Sec : 2752
     44 :     5879.79 MFlops :       0.00 Sec : 2816
     45 :     5692.86 MFlops :       0.00 Sec : 2880
     46 :     6082.95 MFlops :       0.00 Sec : 2944
     47 :     6195.45 MFlops :       0.00 Sec : 3008
     48 :     6314.43 MFlops :       0.00 Sec : 3072
     49 :     6181.84 MFlops :       0.00 Sec : 3136
     50 :     6570.00 MFlops :       0.00 Sec : 3200
     51 :     6705.85 MFlops :       0.00 Sec : 3264
     52 :     6846.67 MFlops :       0.00 Sec : 3328
     53 :     6751.10 MFlops :       0.00 Sec : 3392
     54 :     7142.28 MFlops :       0.00 Sec : 3456
     55 :     7061.29 MFlops :       0.00 Sec : 3520
     56 :     7222.25 MFlops :       0.00 Sec : 3584
     57 :     7169.71 MFlops :       0.00 Sec : 3648
     58 :     7339.49 MFlops :       0.00 Sec : 3712
     59 :     7512.67 MFlops :       0.00 Sec : 3776
     60 :     7689.19 MFlops :       0.00 Sec : 3840
     61 :     7475.55 MFlops :       0.00 Sec : 3904
     62 :     7659.27 MFlops :       0.00 Sec : 3968
     63 :     7846.00 MFlops :       0.00 Sec : 4032
     64 :     8035.72 MFlops :       0.00 Sec : 4096
     65 :     1967.66 MFlops :       0.00 Sec : 4160
     66 :     5743.67 MFlops :       0.00 Sec : 4224
     67 :     6397.42 MFlops :       0.00 Sec : 4288
     68 :     7540.58 MFlops :       0.00 Sec : 4352
     69 :     7602.91 MFlops :       0.00 Sec : 4416
     70 :     8228.18 MFlops :       0.00 Sec : 4480
     71 :     7617.61 MFlops :       0.00 Sec : 4544
     72 :     8349.15 MFlops :       0.00 Sec : 4608
     73 :     7551.21 MFlops :       0.00 Sec : 4672
     74 :     8628.16 MFlops :       0.00 Sec : 4736
     75 :     8841.27 MFlops :       0.00 Sec : 4800
     76 :     8050.72 MFlops :       0.00 Sec : 4864
     77 :     8737.83 MFlops :       0.00 Sec : 4928
     78 :     9793.47 MFlops :       0.00 Sec : 4992
     79 :     9438.78 MFlops :       0.00 Sec : 5056
     80 :    10095.52 MFlops :       0.00 Sec : 5120
     81 :     9488.68 MFlops :       0.00 Sec : 5184
     82 :     9845.54 MFlops :       0.00 Sec : 5248
     83 :     9564.96 MFlops :       0.00 Sec : 5312
     84 :    10043.03 MFlops :       0.00 Sec : 5376
     85 :    10407.05 MFlops :       0.00 Sec : 5440
     86 :    10919.77 MFlops :       0.00 Sec : 5504
     87 :    10123.02 MFlops :       0.00 Sec : 5568
     88 :    10988.20 MFlops :       0.00 Sec : 5632
     89 :    10474.00 MFlops :       0.00 Sec : 5696
     90 :    11209.88 MFlops :       0.00 Sec : 5760
     91 :    10832.96 MFlops :       0.00 Sec : 5824
     92 :    11443.78 MFlops :       0.00 Sec : 5888
     93 :    11199.81 MFlops :       0.00 Sec : 5952
     94 :    11689.00 MFlops :       0.00 Sec : 6016
     95 :    11120.59 MFlops :       0.00 Sec : 6080
     96 :    11705.92 MFlops :       0.00 Sec : 6144
     97 :     9012.31 MFlops :       0.00 Sec : 6208
     98 :    10925.28 MFlops :       0.00 Sec : 6272
     99 :    10439.80 MFlops :       0.00 Sec : 6336
    100 :     9876.87 MFlops :       0.00 Sec : 6400
    101 :    11177.89 MFlops :       0.00 Sec : 6464
    102 :    11060.71 MFlops :       0.00 Sec : 6528
    103 :    10958.58 MFlops :       0.00 Sec : 6592
    104 :    11113.25 MFlops :       0.00 Sec : 6656
    105 :    10570.00 MFlops :       0.00 Sec : 6720
    106 :    11946.68 MFlops :       0.00 Sec : 6784
    107 :    12574.57 MFlops :       0.00 Sec : 6848
    108 :    12176.15 MFlops :       0.00 Sec : 6912
    109 :    12427.58 MFlops :       0.00 Sec : 6976
    110 :    12501.77 MFlops :       0.00 Sec : 7040
    111 :    12846.61 MFlops :       0.00 Sec : 7104
    112 :    12489.13 MFlops :       0.00 Sec : 7168
    113 :    12827.40 MFlops :       0.00 Sec : 7232
    114 :    13350.93 MFlops :       0.00 Sec : 7296
    115 :    12998.71 MFlops :       0.00 Sec : 7360
    116 :    14067.56 MFlops :       0.00 Sec : 7424
    117 :    13098.70 MFlops :       0.00 Sec : 7488
    118 :    12958.23 MFlops :       0.00 Sec : 7552
    119 :    13532.82 MFlops :       0.00 Sec : 7616
    120 :    14401.26 MFlops :       0.00 Sec : 7680
    121 :    13042.46 MFlops :       0.00 Sec : 7744
    122 :    12599.21 MFlops :       0.00 Sec : 7808
    123 :    12148.93 MFlops :       0.00 Sec : 7872
    124 :    12033.31 MFlops :       0.00 Sec : 7936
    125 :    13008.79 MFlops :       0.00 Sec : 8000
    126 :    13324.13 MFlops :       0.00 Sec : 8064
    127 :    14290.84 MFlops :       0.00 Sec : 8128
    128 :    13495.30 MFlops :       0.00 Sec : 8192
    129 :    11957.25 MFlops :       0.00 Sec : 8256
    130 :    13120.05 MFlops :       0.00 Sec : 8320
    131 :    12902.65 MFlops :       0.00 Sec : 8384
    132 :    14052.63 MFlops :       0.00 Sec : 8448
    133 :    12836.96 MFlops :       0.00 Sec : 8512
    134 :    13293.36 MFlops :       0.00 Sec : 8576
    135 :    13370.90 MFlops :       0.00 Sec : 8640
    136 :    14630.14 MFlops :       0.00 Sec : 8704
    137 :    13477.98 MFlops :       0.00 Sec : 8768
    138 :    14705.83 MFlops :       0.00 Sec : 8832
    139 :    14965.28 MFlops :       0.00 Sec : 8896
    140 :    15291.18 MFlops :       0.00 Sec : 8960
    141 :    14991.86 MFlops :       0.00 Sec : 9024
    142 :    15011.03 MFlops :       0.00 Sec : 9088
    143 :    15453.12 MFlops :       0.00 Sec : 9152
    144 :    15233.91 MFlops :       0.00 Sec : 9216
    145 :    16372.67 MFlops :       0.00 Sec : 9280
    146 :    15878.62 MFlops :       0.00 Sec : 9344
    147 :    15323.64 MFlops :       0.00 Sec : 9408
    148 :    15811.51 MFlops :       0.00 Sec : 9472
    149 :    15900.89 MFlops :       0.00 Sec : 9536
    150 :    15656.47 MFlops :       0.00 Sec : 9600
    151 :    15861.29 MFlops :       0.00 Sec : 9664
    152 :    15636.11 MFlops :       0.00 Sec : 9728
    153 :    16109.43 MFlops :       0.00 Sec : 9792
    154 :    16483.76 MFlops :       0.00 Sec : 9856
    155 :    18233.95 MFlops :       0.00 Sec : 9920
    156 :    16463.44 MFlops :       0.00 Sec : 9984
    157 :    17061.36 MFlops :       0.00 Sec : 10048
    158 :    15172.12 MFlops :       0.00 Sec : 10112
    159 :    16515.65 MFlops :       0.00 Sec : 10176
    160 :    16373.49 MFlops :       0.00 Sec : 10240
    161 :    16007.87 MFlops :       0.00 Sec : 10304
    162 :    17099.18 MFlops :       0.00 Sec : 10368
    163 :    16191.64 MFlops :       0.00 Sec : 10432
    164 :    16775.46 MFlops :       0.00 Sec : 10496
    165 :    15133.38 MFlops :       0.00 Sec : 10560
    166 :    15894.72 MFlops :       0.00 Sec : 10624
    167 :    17415.04 MFlops :       0.00 Sec : 10688
    168 :    18567.06 MFlops :       0.00 Sec : 10752
    169 :    16599.65 MFlops :       0.00 Sec : 10816
    170 :    16224.00 MFlops :       0.00 Sec : 10880
    171 :    15880.36 MFlops :       0.00 Sec : 10944
    172 :    18110.72 MFlops :       0.00 Sec : 11008
    173 :    17314.82 MFlops :       0.00 Sec : 11072
    174 :    18902.83 MFlops :       0.00 Sec : 11136
    175 :    17923.17 MFlops :       0.00 Sec : 11200
    176 :    20050.84 MFlops :       0.00 Sec : 11264
    177 :    16886.72 MFlops :       0.00 Sec : 11328
    178 :    19102.76 MFlops :       0.00 Sec : 11392
    179 :    21095.22 MFlops :       0.00 Sec : 11456
    180 :    19555.30 MFlops :       0.00 Sec : 11520
    181 :    19441.63 MFlops :       0.00 Sec : 11584
    182 :    18573.71 MFlops :       0.00 Sec : 11648
    183 :    20044.66 MFlops :       0.00 Sec : 11712
    184 :    18062.13 MFlops :       0.00 Sec : 11776
    185 :    19645.44 MFlops :       0.00 Sec : 11840
    186 :    17915.14 MFlops :       0.00 Sec : 11904
    187 :    18516.59 MFlops :       0.00 Sec : 11968
    188 :    18346.22 MFlops :       0.00 Sec : 12032
    189 :    19449.64 MFlops :       0.00 Sec : 12096
    190 :    18782.58 MFlops :       0.00 Sec : 12160
    191 :    17660.94 MFlops :       0.00 Sec : 12224
    192 :    19029.64 MFlops :       0.00 Sec : 12288
    193 :    17552.36 MFlops :       0.00 Sec : 12352
    194 :    19318.46 MFlops :       0.00 Sec : 12416
    195 :    19349.31 MFlops :       0.00 Sec : 12480
    196 :    20494.45 MFlops :       0.00 Sec : 12544
    197 :    19719.13 MFlops :       0.00 Sec : 12608
    198 :    20217.61 MFlops :       0.00 Sec : 12672
    199 :    20208.87 MFlops :       0.00 Sec : 12736
    200 :    19147.75 MFlops :       0.00 Sec : 12800
