From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   0.000000e+00        0.13 MFlops       1.00 MFlops       0.38 MFlops
      2 :   6.883383e-15        2.67 MFlops       8.00 MFlops       4.44 MFlops
      3 :   6.661338e-16        9.00 MFlops        inf MFlops      18.00 MFlops
      4 :   1.110223e-16         inf MFlops      32.00 MFlops      74.67 MFlops
      5 :   8.881784e-16       83.33 MFlops        inf MFlops     133.33 MFlops
      6 :   4.440892e-16      144.00 MFlops      72.00 MFlops     108.00 MFlops
      7 :   6.661338e-16      228.67 MFlops        inf MFlops     326.67 MFlops
      8 :   4.884981e-15      341.33 MFlops     128.00 MFlops     234.67 MFlops
      9 :   8.881784e-16      486.00 MFlops        inf MFlops     648.00 MFlops
     10 :   7.771561e-16      333.33 MFlops        inf MFlops     433.33 MFlops
     11 :   1.776357e-15      443.67 MFlops     242.00 MFlops     376.44 MFlops
     12 :   5.107026e-15      576.00 MFlops        inf MFlops     720.00 MFlops
     13 :   2.886580e-15      732.33 MFlops     338.00 MFlops     600.89 MFlops
     14 :   2.775558e-15      914.67 MFlops     392.00 MFlops     740.44 MFlops
     15 :   3.441691e-15     1125.00 MFlops     450.00 MFlops     900.00 MFlops
     16 :   4.818368e-14      910.22 MFlops     512.00 MFlops     810.67 MFlops
     17 :   2.775558e-15     1091.78 MFlops     578.00 MFlops     963.33 MFlops
     18 :   3.108624e-15       40.93 MFlops     648.00 MFlops      47.25 MFlops
     19 :   6.572520e-14      198.81 MFlops     722.00 MFlops     220.61 MFlops
     20 :   3.108624e-15      313.73 MFlops     800.00 MFlops     340.74 MFlops
     21 :   5.773160e-15      294.00 MFlops     882.00 MFlops     320.73 MFlops
     22 :   6.328271e-15      322.67 MFlops        inf MFlops     366.67 MFlops
     23 :   3.552714e-15      352.67 MFlops        inf MFlops     398.67 MFlops
     24 :   5.329071e-14      368.64 MFlops    1152.00 MFlops     398.77 MFlops
     25 :   5.329071e-15      260.42 MFlops    1250.00 MFlops     284.55 MFlops
     26 :   9.103829e-15      292.93 MFlops     676.00 MFlops     311.17 MFlops
     27 :   5.995204e-15      285.26 MFlops    1458.00 MFlops     310.21 MFlops
     28 :   5.173639e-14      375.25 MFlops     784.00 MFlops     395.19 MFlops
     29 :   5.773160e-15      439.44 MFlops    1682.00 MFlops     472.14 MFlops
     30 :   6.217249e-15      382.98 MFlops    1800.00 MFlops     412.50 MFlops
     31 :   5.995204e-15      461.88 MFlops     961.00 MFlops     484.06 MFlops
     32 :   3.996803e-15      404.54 MFlops    2048.00 MFlops     434.42 MFlops
     33 :   1.043610e-14      406.07 MFlops    2178.00 MFlops     435.60 MFlops
     34 :   8.437695e-15      397.01 MFlops    2312.00 MFlops     425.59 MFlops
     35 :   5.362377e-14      446.61 MFlops    2450.00 MFlops     477.44 MFlops
     36 :   5.440093e-15      471.27 MFlops    1296.00 MFlops     495.53 MFlops
     37 :   2.828848e-13      562.81 MFlops    1369.00 MFlops     588.82 MFlops
     38 :   1.620926e-14      571.58 MFlops    1444.00 MFlops     598.02 MFlops
     39 :   1.199041e-14      637.84 MFlops    1521.00 MFlops     665.44 MFlops
     40 :   4.207745e-14      688.17 MFlops    3200.00 MFlops     728.04 MFlops
     41 :   5.440093e-15      629.42 MFlops    1681.00 MFlops     657.46 MFlops
     42 :   1.199041e-14      595.08 MFlops    1764.00 MFlops     622.59 MFlops
     43 :   6.994405e-15      552.13 MFlops    1849.00 MFlops     578.60 MFlops
     44 :   8.482104e-14      757.19 MFlops    1936.00 MFlops     787.81 MFlops
     45 :   4.884981e-15      799.34 MFlops    2025.00 MFlops     830.77 MFlops
     46 :   1.976197e-14      831.93 MFlops    1410.67 MFlops     853.37 MFlops
     47 :   1.643130e-14      854.51 MFlops    2209.00 MFlops     887.15 MFlops
     48 :   9.547918e-15      945.23 MFlops    2304.00 MFlops     979.20 MFlops
     49 :   1.454392e-13      478.25 MFlops    2401.00 MFlops     501.41 MFlops
     50 :   1.632028e-14      825.08 MFlops    2500.00 MFlops     857.61 MFlops
     51 :   6.994405e-15     1004.93 MFlops    1734.00 MFlops    1028.97 MFlops
     52 :   9.103829e-15      815.12 MFlops    2704.00 MFlops     847.41 MFlops
     53 :   4.107825e-14     1044.75 MFlops    1872.67 MFlops    1070.10 MFlops
     54 :   1.463274e-13      999.77 MFlops    2916.00 MFlops    1035.59 MFlops
     55 :   9.547918e-15     1879.94 MFlops    3025.00 MFlops    1917.49 MFlops
     56 :   6.399326e-13     1888.34 MFlops    3136.00 MFlops    1927.33 MFlops
     57 :   2.855494e-13     1402.98 MFlops    3249.00 MFlops    1444.00 MFlops
     58 :   4.122258e-13      992.94 MFlops    2242.67 MFlops    1020.92 MFlops
     59 :   1.636469e-13     1875.61 MFlops    2320.67 MFlops    1893.18 MFlops
     60 :   8.881784e-15      431.14 MFlops    2400.00 MFlops     448.66 MFlops
     61 :   1.965095e-13     2258.52 MFlops    2480.67 MFlops    2268.04 MFlops
     62 :   3.885781e-14     2302.69 MFlops    2562.67 MFlops    2313.52 MFlops
     63 :   8.548717e-15     2222.64 MFlops    2646.00 MFlops    2238.92 MFlops
     64 :   4.651834e-14     2330.17 MFlops    2730.67 MFlops    2345.57 MFlops
     65 :   2.553513e-14     2317.51 MFlops    2816.67 MFlops    2335.77 MFlops
     66 :   6.550316e-15     2017.52 MFlops    2904.00 MFlops    2044.65 MFlops
     67 :   2.264855e-14     2387.01 MFlops    2992.67 MFlops    2407.89 MFlops
     68 :   2.153833e-14     2556.36 MFlops    2312.00 MFlops    2544.99 MFlops
     69 :   1.065814e-14     2546.58 MFlops    2380.50 MFlops    2539.20 MFlops
     70 :   3.541611e-14     2894.51 MFlops    3266.67 MFlops    2908.13 MFlops
     71 :   9.436896e-15     3098.80 MFlops    2520.50 MFlops    3070.24 MFlops
     72 :   2.819966e-14     2927.44 MFlops    2592.00 MFlops    2912.36 MFlops
     73 :   1.287859e-14     3051.11 MFlops    2664.50 MFlops    3033.74 MFlops
     74 :   5.551115e-15     2968.67 MFlops    2190.40 MFlops    2928.14 MFlops
     75 :   4.651834e-14     2960.53 MFlops    2812.50 MFlops    2954.55 MFlops
     76 :   4.651834e-14     3017.02 MFlops    2888.00 MFlops    3011.91 MFlops
     77 :   1.953993e-14     3170.37 MFlops    2964.50 MFlops    3162.13 MFlops
     78 :   4.973799e-14     3295.50 MFlops    3042.00 MFlops    3285.36 MFlops
     79 :   9.037215e-14     3652.14 MFlops    3120.50 MFlops    3629.52 MFlops
     80 :   1.298961e-14     3346.41 MFlops    2560.00 MFlops    3309.66 MFlops
     81 :   3.963496e-14     2746.47 MFlops    3280.50 MFlops    2762.53 MFlops
     82 :   3.419487e-14     3828.94 MFlops    3362.00 MFlops    3810.27 MFlops
     83 :   3.996803e-14     3630.39 MFlops    2755.60 MFlops    3590.63 MFlops
     84 :   3.264056e-14     4203.57 MFlops    3528.00 MFlops    4176.00 MFlops
     85 :   4.429790e-14     3529.45 MFlops    2408.33 MFlops    3474.32 MFlops
     86 :   1.887379e-14     3926.27 MFlops    2958.40 MFlops    3883.45 MFlops
     87 :   5.884182e-14     4303.94 MFlops    3027.60 MFlops    4244.30 MFlops
     88 :   1.865175e-14     4732.44 MFlops    3097.60 MFlops    4651.51 MFlops
     89 :   1.187939e-14     4272.54 MFlops    3168.40 MFlops    4224.53 MFlops
     90 :   2.442491e-14     4339.29 MFlops    3240.00 MFlops    4292.31 MFlops
     91 :   3.141931e-13     4525.95 MFlops    3312.40 MFlops    4473.64 MFlops
     92 :   4.385381e-14     4514.13 MFlops    3385.60 MFlops    4467.11 MFlops
     93 :   8.926193e-14     4583.23 MFlops    2883.00 MFlops    4500.29 MFlops
     94 :   1.487699e-14     4732.67 MFlops    3534.40 MFlops    4683.56 MFlops
     95 :   3.019807e-14     4572.67 MFlops    3008.33 MFlops    4501.02 MFlops
     96 :   4.529710e-14     5173.89 MFlops    3072.00 MFlops    5068.80 MFlops
     97 :   5.706546e-14     5070.41 MFlops    3763.60 MFlops    5018.13 MFlops
     98 :   3.719247e-14     4546.82 MFlops    3841.60 MFlops    4522.16 MFlops
     99 :   3.825829e-13     4827.36 MFlops    3267.00 MFlops    4760.49 MFlops
    100 :   1.854072e-13     5167.96 MFlops    4000.00 MFlops    5124.38 MFlops
    101 :   3.597123e-14     4941.49 MFlops    3400.33 MFlops    4877.72 MFlops
    102 :   1.210143e-14     4313.85 MFlops    3468.00 MFlops    4284.00 MFlops
    103 :   4.851675e-14     5130.17 MFlops    3536.33 MFlops    5065.56 MFlops
    104 :   5.417888e-14     5554.88 MFlops    3605.33 MFlops    5471.92 MFlops
    105 :   3.308465e-14     5359.38 MFlops    3675.00 MFlops    5292.00 MFlops
    106 :   5.284662e-14     5189.61 MFlops    3210.29 MFlops    5103.02 MFlops
    107 :   6.417089e-14     5593.80 MFlops    3816.33 MFlops    5523.64 MFlops
    108 :   2.586820e-14     5383.38 MFlops    3332.57 MFlops    5295.31 MFlops
    109 :   2.442491e-14     5833.46 MFlops    3960.33 MFlops    5760.48 MFlops
    110 :   2.442491e-14     5189.08 MFlops    3457.14 MFlops    5120.97 MFlops
    111 :   3.019807e-14     5998.38 MFlops    3520.29 MFlops    5889.28 MFlops
    112 :   2.664535e-14     6121.69 MFlops    3584.00 MFlops    6010.67 MFlops
    113 :   6.439294e-14     6412.88 MFlops    3648.29 MFlops    6289.61 MFlops
    114 :   2.164935e-14     6211.92 MFlops    3249.00 MFlops    6069.99 MFlops
    115 :   4.551914e-14     6258.74 MFlops    3306.25 MFlops    6119.80 MFlops
    116 :   3.128608e-13     6157.38 MFlops    3844.57 MFlops    6065.39 MFlops
    117 :   2.442491e-14     6318.00 MFlops    3422.25 MFlops    6187.12 MFlops
    118 :   3.896883e-14     5953.01 MFlops    3978.29 MFlops    5880.64 MFlops
    119 :   7.971401e-14     6139.01 MFlops    3540.25 MFlops    6030.16 MFlops
    120 :   7.349676e-14     6857.14 MFlops    4114.29 MFlops    6747.43 MFlops
    121 :   8.892886e-13     1704.24 MFlops    1464.10 MFlops    1697.51 MFlops
    122 :   4.061196e-13     3783.02 MFlops    3307.56 MFlops    3770.01 MFlops
    123 :   3.952394e-14     6779.11 MFlops    3782.25 MFlops    6653.59 MFlops
    124 :   4.400924e-13     6725.31 MFlops    4393.14 MFlops    6642.01 MFlops
    125 :   3.619327e-14     6576.18 MFlops    3906.25 MFlops    6472.49 MFlops
