From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
      1 :   0.000000e+00        0.07 MFlops       0.17 MFlops       0.13 MFlops
      2 :   6.883383e-15        2.67 MFlops        inf MFlops       6.67 MFlops
      3 :   5.551115e-16       18.00 MFlops        inf MFlops      36.00 MFlops
      4 :   2.220446e-16         inf MFlops        inf MFlops        inf MFlops
      5 :   8.881784e-16         inf MFlops        inf MFlops        inf MFlops
      6 :   3.330669e-16      144.00 MFlops        inf MFlops     216.00 MFlops
      7 :   2.220446e-16      228.67 MFlops        inf MFlops     326.67 MFlops
      8 :   1.332268e-15         inf MFlops     128.00 MFlops     469.33 MFlops
      9 :   5.551115e-16      486.00 MFlops        inf MFlops     648.00 MFlops
     10 :   1.332268e-15      666.67 MFlops        inf MFlops     866.67 MFlops
     11 :   2.109424e-15      887.33 MFlops     242.00 MFlops     564.67 MFlops
     12 :   3.108624e-15     1152.00 MFlops        inf MFlops    1440.00 MFlops
     13 :   2.331468e-15      732.33 MFlops        inf MFlops     901.33 MFlops
     14 :   1.465494e-14      914.67 MFlops        inf MFlops    1110.67 MFlops
     15 :   2.886580e-15     2250.00 MFlops     450.00 MFlops    1350.00 MFlops
     16 :   1.398881e-14     2730.67 MFlops     512.00 MFlops    1621.33 MFlops
     17 :   2.886580e-15      818.83 MFlops        inf MFlops     963.33 MFlops
     18 :   4.440892e-15     1944.00 MFlops     648.00 MFlops    1512.00 MFlops
     19 :   1.909584e-14     1143.17 MFlops        inf MFlops    1323.67 MFlops
     20 :   1.998401e-15     1777.78 MFlops        inf MFlops    2044.44 MFlops
     21 :   3.552714e-15     1543.50 MFlops        inf MFlops    1764.00 MFlops
     22 :   7.327472e-15     1774.67 MFlops        inf MFlops    2016.67 MFlops
     23 :   6.661338e-15     2027.83 MFlops        inf MFlops    2292.33 MFlops
     24 :   9.992007e-15     2304.00 MFlops    1152.00 MFlops    2073.60 MFlops
     25 :   6.328271e-15     2604.17 MFlops    1250.00 MFlops    2333.33 MFlops
     26 :   2.509104e-14     2929.33 MFlops    1352.00 MFlops    2613.87 MFlops
     27 :   8.770762e-15     3280.50 MFlops    1458.00 MFlops    2916.00 MFlops
     28 :   1.088019e-14     2926.93 MFlops    1568.00 MFlops    2700.44 MFlops
     29 :   6.994405e-15     2709.89 MFlops        inf MFlops    2990.22 MFlops
     30 :   4.440892e-15     3600.00 MFlops    1800.00 MFlops    3300.00 MFlops
     31 :   9.992007e-15     3972.13 MFlops        inf MFlops    4356.53 MFlops
     32 :   3.996803e-15     1820.44 MFlops        inf MFlops    1991.11 MFlops
     33 :   1.033618e-13      347.22 MFlops    2178.00 MFlops     373.37 MFlops
     34 :   5.551115e-15      818.83 MFlops    2312.00 MFlops     864.08 MFlops
     35 :   5.662137e-15      680.56 MFlops    2450.00 MFlops     721.71 MFlops
     36 :   4.996004e-15     1352.35 MFlops    2592.00 MFlops    1404.00 MFlops
     37 :   3.061995e-13     1777.30 MFlops    2738.00 MFlops    1825.33 MFlops
     38 :   2.708944e-14     1829.07 MFlops    2888.00 MFlops    1879.49 MFlops
     39 :   5.329071e-15     1797.55 MFlops    3042.00 MFlops    1851.65 MFlops
     40 :   2.842171e-14     2031.75 MFlops    3200.00 MFlops    2084.85 MFlops
     41 :   4.996004e-15     2187.97 MFlops    3362.00 MFlops    2241.33 MFlops
     42 :   3.996803e-14     2352.00 MFlops    3528.00 MFlops    2405.45 MFlops
     43 :   1.831868e-14     2409.30 MFlops    3698.00 MFlops    2465.33 MFlops
     44 :   7.438494e-14     2839.47 MFlops    3872.00 MFlops    2888.63 MFlops
     45 :   4.218847e-15     2531.25 MFlops    4050.00 MFlops    2592.00 MFlops
     46 :   4.529710e-14     3090.03 MFlops    4232.00 MFlops    3141.94 MFlops
     47 :   1.232348e-14     3009.36 MFlops    4418.00 MFlops    3068.06 MFlops
     48 :   6.328271e-15     3205.57 MFlops    4608.00 MFlops    3264.00 MFlops
     49 :   1.538769e-13     3565.12 MFlops    4802.00 MFlops    3618.90 MFlops
     50 :   2.109424e-14     3205.13 MFlops    5000.00 MFlops    3271.60 MFlops
     51 :   9.103829e-15     2947.80 MFlops    5202.00 MFlops    3020.52 MFlops
     52 :   1.532108e-14     3749.55 MFlops    5408.00 MFlops    3813.33 MFlops
     53 :   8.382184e-14     3970.05 MFlops    5618.00 MFlops    4033.44 MFlops
     54 :   8.792966e-14     4199.04 MFlops    5832.00 MFlops    4261.85 MFlops
     55 :   2.420286e-14     4108.02 MFlops    6050.00 MFlops    4177.38 MFlops
     56 :   5.293543e-13     4336.20 MFlops    6272.00 MFlops    4405.33 MFlops
     57 :   8.490986e-13     4409.36 MFlops    6498.00 MFlops    4481.38 MFlops
     58 :   2.190470e-13     4645.52 MFlops    6728.00 MFlops    4717.33 MFlops
     59 :   2.440270e-13     4889.98 MFlops    3481.00 MFlops    4796.04 MFlops
     60 :   1.521006e-14     4965.52 MFlops    7200.00 MFlops    5040.00 MFlops
     61 :   7.749357e-14     4585.47 MFlops    3721.00 MFlops    4536.08 MFlops
     62 :   1.443290e-14     4413.48 MFlops    7688.00 MFlops    4501.98 MFlops
     63 :   4.840572e-14     5209.31 MFlops    3969.00 MFlops    5136.35 MFlops
     64 :   6.439294e-14     5140.08 MFlops    4096.00 MFlops    5082.07 MFlops
     65 :   1.221245e-14     3051.39 MFlops      69.26 MFlops    1052.38 MFlops
     66 :   1.598721e-14     3042.29 MFlops    2178.00 MFlops    2990.69 MFlops
     67 :   3.286260e-14     4358.88 MFlops    2244.50 MFlops    4189.73 MFlops
     68 :   4.474199e-14     4658.25 MFlops    2312.00 MFlops    4466.72 MFlops
     69 :   2.198242e-14     4380.12 MFlops    2380.50 MFlops    4232.00 MFlops
