From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        1.00 MFlops
      2x2 :         inf MFlops
      3x3 :       18.00 MFlops
      4x4 :         inf MFlops
      5x5 :         inf MFlops
      6x6 :       72.00 MFlops
      7x7 :         inf MFlops
      8x8 :         inf MFlops
      9x9 :         inf MFlops
     10x10 :      200.00 MFlops
     11x11 :         inf MFlops
     12x12 :         inf MFlops
     13x13 :         inf MFlops
     14x14 :      392.00 MFlops
     15x15 :         inf MFlops
     16x16 :         inf MFlops
     17x17 :         inf MFlops
     18x18 :      648.00 MFlops
     19x19 :         inf MFlops
     20x20 :         inf MFlops
     21x21 :         inf MFlops
     22x22 :         inf MFlops
     23x23 :     1058.00 MFlops
     24x24 :     1152.00 MFlops
     25x25 :         inf MFlops
     26x26 :     1352.00 MFlops
     27x27 :         inf MFlops
     28x28 :         inf MFlops
     29x29 :     1682.00 MFlops
     30x30 :         inf MFlops
     31x31 :         inf MFlops
     32x32 :     2048.00 MFlops
     33x33 :     2178.00 MFlops
     34x34 :     2312.00 MFlops
     35x35 :     2450.00 MFlops
     36x36 :     2592.00 MFlops
     37x37 :         inf MFlops
     38x38 :     2888.00 MFlops
     39x39 :         inf MFlops
     40x40 :     3200.00 MFlops
     41x41 :     3362.00 MFlops
     42x42 :     3528.00 MFlops
     43x43 :     1849.00 MFlops
     44x44 :     1936.00 MFlops
     45x45 :     4050.00 MFlops
     46x46 :     4232.00 MFlops
     47x47 :     2209.00 MFlops
     48x48 :     2304.00 MFlops
     49x49 :     4802.00 MFlops
     50x50 :     5000.00 MFlops
     51x51 :     5202.00 MFlops
     52x52 :     5408.00 MFlops
     53x53 :     5618.00 MFlops
     54x54 :     5832.00 MFlops
     55x55 :     6050.00 MFlops
     56x56 :     6272.00 MFlops
     57x57 :     6498.00 MFlops
     58x58 :     3364.00 MFlops
     59x59 :     6962.00 MFlops
     60x60 :     7200.00 MFlops
     61x61 :     7442.00 MFlops
     62x62 :     7688.00 MFlops
     63x63 :     7938.00 MFlops
     64x64 :     4096.00 MFlops
     65x65 :     8450.00 MFlops
     66x66 :     4356.00 MFlops
     67x67 :     4489.00 MFlops
     68x68 :     4624.00 MFlops
     69x69 :     4761.00 MFlops
     70x70 :     9800.00 MFlops
     71x71 :     5041.00 MFlops
     72x72 :     5184.00 MFlops
     73x73 :     5329.00 MFlops
     74x74 :     5476.00 MFlops
     75x75 :     5625.00 MFlops
     76x76 :     5776.00 MFlops
     77x77 :     5929.00 MFlops
     78x78 :     6084.00 MFlops
     79x79 :     4160.67 MFlops
     80x80 :     6400.00 MFlops
     81x81 :     6561.00 MFlops
