From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops		Time
      1 :        0.50 MFlops   0.000002 sec
      2 :         inf MFlops   0.000000 sec
      3 :         inf MFlops   0.000000 sec
      4 :         inf MFlops   0.000000 sec
      5 :       25.00 MFlops   0.000001 sec
      6 :         inf MFlops   0.000000 sec
      7 :         inf MFlops   0.000000 sec
      8 :         inf MFlops   0.000000 sec
      9 :         inf MFlops   0.000000 sec
     10 :      100.00 MFlops   0.000001 sec
     11 :         inf MFlops   0.000000 sec
     12 :         inf MFlops   0.000000 sec
     13 :         inf MFlops   0.000000 sec
     14 :      196.00 MFlops   0.000001 sec
     15 :         inf MFlops   0.000000 sec
     16 :      256.00 MFlops   0.000001 sec
     17 :      144.50 MFlops   0.000002 sec
     18 :       81.00 MFlops   0.000004 sec
     19 :       72.20 MFlops   0.000005 sec
     20 :      200.00 MFlops   0.000002 sec
     21 :      110.25 MFlops   0.000004 sec
     22 :      121.00 MFlops   0.000004 sec
     23 :      132.25 MFlops   0.000004 sec
     24 :      192.00 MFlops   0.000003 sec
     25 :       62.50 MFlops   0.000010 sec
     26 :       56.33 MFlops   0.000012 sec
     27 :      243.00 MFlops   0.000003 sec
     28 :       98.00 MFlops   0.000008 sec
     29 :      280.33 MFlops   0.000003 sec
     30 :       81.82 MFlops   0.000011 sec
     31 :      120.12 MFlops   0.000008 sec
     32 :      113.78 MFlops   0.000009 sec
     33 :      108.90 MFlops   0.000010 sec
     34 :      115.60 MFlops   0.000010 sec
     35 :      175.00 MFlops   0.000007 sec
     36 :      162.00 MFlops   0.000008 sec
     37 :      171.12 MFlops   0.000008 sec
     38 :      240.67 MFlops   0.000006 sec
     39 :      138.27 MFlops   0.000011 sec
     40 :      266.67 MFlops   0.000006 sec
     41 :      240.14 MFlops   0.000007 sec
     42 :      441.00 MFlops   0.000004 sec
     43 :      184.90 MFlops   0.000010 sec
     44 :      176.00 MFlops   0.000011 sec
     45 :      675.00 MFlops   0.000003 sec
     46 :      211.60 MFlops   0.000010 sec
     47 :      220.90 MFlops   0.000010 sec
     48 :      329.14 MFlops   0.000007 sec
     49 :      343.00 MFlops   0.000007 sec
     50 :      277.78 MFlops   0.000009 sec
     51 :      236.45 MFlops   0.000011 sec
     52 :      245.82 MFlops   0.000011 sec
     53 :      351.12 MFlops   0.000008 sec
     54 :      416.57 MFlops   0.000007 sec
     55 :      504.17 MFlops   0.000006 sec
     56 :      261.33 MFlops   0.000012 sec
     57 :      361.00 MFlops   0.000009 sec
     58 :      420.50 MFlops   0.000008 sec
     59 :      386.78 MFlops   0.000009 sec
     60 :      327.27 MFlops   0.000011 sec
     61 :      338.27 MFlops   0.000011 sec
     62 :      384.40 MFlops   0.000010 sec
     63 :      496.12 MFlops   0.000008 sec
     64 :      455.11 MFlops   0.000009 sec
     65 :      422.50 MFlops   0.000010 sec
     66 :      396.00 MFlops   0.000011 sec
     67 :      641.29 MFlops   0.000007 sec
     68 :      660.57 MFlops   0.000007 sec
     69 :      476.10 MFlops   0.000010 sec
     70 :      490.00 MFlops   0.000010 sec
     71 :      560.11 MFlops   0.000009 sec
     72 :      518.40 MFlops   0.000010 sec
     73 :      592.11 MFlops   0.000009 sec
     74 :      608.44 MFlops   0.000009 sec
     75 :      803.57 MFlops   0.000007 sec
     76 :      577.60 MFlops   0.000010 sec
     77 :      592.90 MFlops   0.000010 sec
     78 :      760.50 MFlops   0.000008 sec
     79 :     1248.20 MFlops   0.000005 sec
     80 :      533.33 MFlops   0.000012 sec
     81 :      656.10 MFlops   0.000010 sec
     82 :      747.11 MFlops   0.000009 sec
     83 :      626.27 MFlops   0.000011 sec
     84 :      641.45 MFlops   0.000011 sec
     85 :      656.82 MFlops   0.000011 sec
     86 :      821.78 MFlops   0.000009 sec
     87 :      841.00 MFlops   0.000009 sec
     88 :      968.00 MFlops   0.000008 sec
     89 :      880.11 MFlops   0.000009 sec
     90 :     1012.50 MFlops   0.000008 sec
     91 :      690.08 MFlops   0.000012 sec
     92 :      769.45 MFlops   0.000011 sec
     93 :     1441.50 MFlops   0.000006 sec
     94 :     1104.50 MFlops   0.000008 sec
     95 :     1289.29 MFlops   0.000007 sec
     96 :     1152.00 MFlops   0.000008 sec
     97 :     1045.44 MFlops   0.000009 sec
     98 :     1200.50 MFlops   0.000008 sec
     99 :      980.10 MFlops   0.000010 sec
    100 :      909.09 MFlops   0.000011 sec
    101 :     1133.44 MFlops   0.000009 sec
    102 :      945.82 MFlops   0.000011 sec
    103 :     1178.78 MFlops   0.000009 sec
    104 :     1081.60 MFlops   0.000010 sec
    105 :     1102.50 MFlops   0.000010 sec
    106 :     1021.45 MFlops   0.000011 sec
    107 :     1040.82 MFlops   0.000011 sec
    108 :     1458.00 MFlops   0.000008 sec
    109 :      990.08 MFlops   0.000012 sec
    110 :     1100.00 MFlops   0.000011 sec
    111 :     1232.10 MFlops   0.000010 sec
    112 :     1140.36 MFlops   0.000011 sec
    113 :     1160.82 MFlops   0.000011 sec
    114 :     1299.60 MFlops   0.000010 sec
    115 :     1017.31 MFlops   0.000013 sec
    116 :     1223.27 MFlops   0.000011 sec
    117 :     1140.75 MFlops   0.000012 sec
    118 :     1392.40 MFlops   0.000010 sec
    119 :     1287.36 MFlops   0.000011 sec
    120 :     1600.00 MFlops   0.000009 sec
    121 :     1464.10 MFlops   0.000010 sec
    122 :      647.13 MFlops   0.000023 sec
    123 :     1375.36 MFlops   0.000011 sec
    124 :     1397.82 MFlops   0.000011 sec
    125 :     1302.08 MFlops   0.000012 sec
    126 :     1443.27 MFlops   0.000011 sec
    127 :     1466.27 MFlops   0.000011 sec
    128 :     1489.45 MFlops   0.000011 sec
    129 :     1664.10 MFlops   0.000010 sec
    130 :     1690.00 MFlops   0.000010 sec
    131 :     1560.09 MFlops   0.000011 sec
    132 :     1452.00 MFlops   0.000012 sec
    133 :     1608.09 MFlops   0.000011 sec
    134 :     1995.11 MFlops   0.000009 sec
    135 :     1518.75 MFlops   0.000012 sec
    136 :     1849.60 MFlops   0.000010 sec
    137 :     1564.08 MFlops   0.000012 sec
    138 :     1587.00 MFlops   0.000012 sec
    139 :     1610.08 MFlops   0.000012 sec
    140 :     1633.33 MFlops   0.000012 sec
    141 :     1807.36 MFlops   0.000011 sec
    142 :     2240.44 MFlops   0.000009 sec
    143 :     1704.08 MFlops   0.000012 sec
    144 :     2073.60 MFlops   0.000010 sec
    145 :     1752.08 MFlops   0.000012 sec
    146 :     1776.33 MFlops   0.000012 sec
    147 :     1800.75 MFlops   0.000012 sec
    148 :     1825.33 MFlops   0.000012 sec
    149 :     2220.10 MFlops   0.000010 sec
    150 :     2250.00 MFlops   0.000010 sec
    151 :     2072.82 MFlops   0.000011 sec
    152 :     1925.33 MFlops   0.000012 sec
    153 :     2128.09 MFlops   0.000011 sec
    154 :     2371.60 MFlops   0.000010 sec
    155 :     2402.50 MFlops   0.000010 sec
    156 :     2028.00 MFlops   0.000012 sec
    157 :     2054.08 MFlops   0.000012 sec
    158 :     1920.31 MFlops   0.000013 sec
    159 :     2298.27 MFlops   0.000011 sec
    160 :     1969.23 MFlops   0.000013 sec
    161 :     2160.08 MFlops   0.000012 sec
    162 :     2187.00 MFlops   0.000012 sec
    163 :     2043.77 MFlops   0.000013 sec
    164 :     2445.09 MFlops   0.000011 sec
    165 :     2475.00 MFlops   0.000011 sec
    166 :     2505.09 MFlops   0.000011 sec
    167 :     2535.36 MFlops   0.000011 sec
    168 :     2352.00 MFlops   0.000012 sec
    169 :     2596.45 MFlops   0.000011 sec
    170 :     2064.29 MFlops   0.000014 sec
    171 :     2436.75 MFlops   0.000012 sec
    172 :     2958.40 MFlops   0.000010 sec
    173 :     2720.82 MFlops   0.000011 sec
    174 :     2752.36 MFlops   0.000011 sec
    175 :     2041.67 MFlops   0.000015 sec
    176 :     2581.33 MFlops   0.000012 sec
    177 :     2610.75 MFlops   0.000012 sec
    178 :     2880.36 MFlops   0.000011 sec
    179 :     1525.76 MFlops   0.000021 sec
    180 :     2492.31 MFlops   0.000013 sec
    181 :     2730.08 MFlops   0.000012 sec
    182 :     2548.00 MFlops   0.000013 sec
    183 :     2790.75 MFlops   0.000012 sec
    184 :     2821.33 MFlops   0.000012 sec
    185 :     2632.69 MFlops   0.000013 sec
    186 :     2883.00 MFlops   0.000012 sec
    187 :     2331.27 MFlops   0.000015 sec
    188 :     2718.77 MFlops   0.000013 sec
    189 :     3572.10 MFlops   0.000010 sec
    190 :     2776.92 MFlops   0.000013 sec
    191 :     2806.23 MFlops   0.000013 sec
    192 :     2457.60 MFlops   0.000015 sec
    193 :     3104.08 MFlops   0.000012 sec
    194 :     2895.08 MFlops   0.000013 sec
    195 :     3456.82 MFlops   0.000011 sec
    196 :     1600.67 MFlops   0.000024 sec
    197 :     2985.31 MFlops   0.000013 sec
    198 :     3267.00 MFlops   0.000012 sec
    199 :     3600.09 MFlops   0.000011 sec
    200 :     3333.33 MFlops   0.000012 sec
