From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops		Time
      1 :        0.25 MFlops   0.000004 sec
      2 :         inf MFlops   0.000000 sec
      3 :         inf MFlops   0.000000 sec
      4 :         inf MFlops   0.000000 sec
      5 :         inf MFlops   0.000000 sec
      6 :         inf MFlops   0.000000 sec
      7 :         inf MFlops   0.000000 sec
      8 :         inf MFlops   0.000000 sec
      9 :         inf MFlops   0.000000 sec
     10 :         inf MFlops   0.000000 sec
     11 :         inf MFlops   0.000000 sec
     12 :         inf MFlops   0.000000 sec
     13 :         inf MFlops   0.000000 sec
     14 :      196.00 MFlops   0.000001 sec
     15 :         inf MFlops   0.000000 sec
     16 :         inf MFlops   0.000000 sec
     17 :         inf MFlops   0.000000 sec
     18 :         inf MFlops   0.000000 sec
     19 :         inf MFlops   0.000000 sec
     20 :         inf MFlops   0.000000 sec
     21 :         inf MFlops   0.000000 sec
     22 :         inf MFlops   0.000000 sec
     23 :         inf MFlops   0.000000 sec
     24 :         inf MFlops   0.000000 sec
     25 :         inf MFlops   0.000000 sec
     26 :         inf MFlops   0.000000 sec
     27 :         inf MFlops   0.000000 sec
     28 :         inf MFlops   0.000000 sec
     29 :         inf MFlops   0.000000 sec
     30 :         inf MFlops   0.000000 sec
     31 :         inf MFlops   0.000000 sec
     32 :         inf MFlops   0.000000 sec
     33 :         inf MFlops   0.000000 sec
     34 :         inf MFlops   0.000000 sec
     35 :         inf MFlops   0.000000 sec
     36 :         inf MFlops   0.000000 sec
     37 :         inf MFlops   0.000000 sec
     38 :         inf MFlops   0.000000 sec
     39 :         inf MFlops   0.000000 sec
     40 :         inf MFlops   0.000000 sec
     41 :     1681.00 MFlops   0.000001 sec
     42 :         inf MFlops   0.000000 sec
     43 :     1849.00 MFlops   0.000001 sec
     44 :     1936.00 MFlops   0.000001 sec
     45 :         inf MFlops   0.000000 sec
     46 :         inf MFlops   0.000000 sec
     47 :     2209.00 MFlops   0.000001 sec
     48 :         inf MFlops   0.000000 sec
     49 :         inf MFlops   0.000000 sec
     50 :         inf MFlops   0.000000 sec
     51 :     2601.00 MFlops   0.000001 sec
     52 :         inf MFlops   0.000000 sec
     53 :         inf MFlops   0.000000 sec
     54 :     2916.00 MFlops   0.000001 sec
     55 :         inf MFlops   0.000000 sec
     56 :     3136.00 MFlops   0.000001 sec
     57 :         inf MFlops   0.000000 sec
     58 :         inf MFlops   0.000000 sec
     59 :     3481.00 MFlops   0.000001 sec
     60 :     3600.00 MFlops   0.000001 sec
     61 :         inf MFlops   0.000000 sec
     62 :         inf MFlops   0.000000 sec
     63 :     3969.00 MFlops   0.000001 sec
     64 :         inf MFlops   0.000000 sec
     65 :     4225.00 MFlops   0.000001 sec
     66 :         inf MFlops   0.000000 sec
     67 :         inf MFlops   0.000000 sec
     68 :     4624.00 MFlops   0.000001 sec
     69 :     4761.00 MFlops   0.000001 sec
     70 :     4900.00 MFlops   0.000001 sec
     71 :         inf MFlops   0.000000 sec
     72 :         inf MFlops   0.000000 sec
     73 :     5329.00 MFlops   0.000001 sec
     74 :         inf MFlops   0.000000 sec
     75 :         inf MFlops   0.000000 sec
     76 :         inf MFlops   0.000000 sec
     77 :     5929.00 MFlops   0.000001 sec
     78 :     6084.00 MFlops   0.000001 sec
     79 :     6241.00 MFlops   0.000001 sec
     80 :     6400.00 MFlops   0.000001 sec
     81 :         inf MFlops   0.000000 sec
     82 :     6724.00 MFlops   0.000001 sec
     83 :     6889.00 MFlops   0.000001 sec
     84 :     7056.00 MFlops   0.000001 sec
     85 :     7225.00 MFlops   0.000001 sec
     86 :     7396.00 MFlops   0.000001 sec
     87 :     7569.00 MFlops   0.000001 sec
     88 :     7744.00 MFlops   0.000001 sec
     89 :     7921.00 MFlops   0.000001 sec
     90 :     8100.00 MFlops   0.000001 sec
     91 :     8281.00 MFlops   0.000001 sec
     92 :     8464.00 MFlops   0.000001 sec
     93 :     8649.00 MFlops   0.000001 sec
     94 :     8836.00 MFlops   0.000001 sec
     95 :     9025.00 MFlops   0.000001 sec
     96 :     9216.00 MFlops   0.000001 sec
     97 :         inf MFlops   0.000000 sec
     98 :     9604.00 MFlops   0.000001 sec
     99 :     9801.00 MFlops   0.000001 sec
    100 :    10000.00 MFlops   0.000001 sec
    101 :    10201.00 MFlops   0.000001 sec
    102 :    10404.00 MFlops   0.000001 sec
    103 :    10609.00 MFlops   0.000001 sec
    104 :    10816.00 MFlops   0.000001 sec
    105 :    11025.00 MFlops   0.000001 sec
    106 :    11236.00 MFlops   0.000001 sec
    107 :    11449.00 MFlops   0.000001 sec
    108 :    11664.00 MFlops   0.000001 sec
    109 :    11881.00 MFlops   0.000001 sec
    110 :    12100.00 MFlops   0.000001 sec
    111 :     6160.50 MFlops   0.000002 sec
    112 :    12544.00 MFlops   0.000001 sec
    113 :    12769.00 MFlops   0.000001 sec
    114 :    12996.00 MFlops   0.000001 sec
    115 :    13225.00 MFlops   0.000001 sec
    116 :    13456.00 MFlops   0.000001 sec
    117 :    13689.00 MFlops   0.000001 sec
    118 :    13924.00 MFlops   0.000001 sec
    119 :    14161.00 MFlops   0.000001 sec
    120 :     7200.00 MFlops   0.000002 sec
    121 :     7320.50 MFlops   0.000002 sec
    122 :    14884.00 MFlops   0.000001 sec
    123 :    15129.00 MFlops   0.000001 sec
    124 :     7688.00 MFlops   0.000002 sec
    125 :    15625.00 MFlops   0.000001 sec
    126 :     7938.00 MFlops   0.000002 sec
    127 :     8064.50 MFlops   0.000002 sec
    128 :     8192.00 MFlops   0.000002 sec
    129 :    16641.00 MFlops   0.000001 sec
    130 :    16900.00 MFlops   0.000001 sec
    131 :     8580.50 MFlops   0.000002 sec
    132 :     8712.00 MFlops   0.000002 sec
    133 :     8844.50 MFlops   0.000002 sec
    134 :     8978.00 MFlops   0.000002 sec
    135 :     9112.50 MFlops   0.000002 sec
    136 :     9248.00 MFlops   0.000002 sec
    137 :     9384.50 MFlops   0.000002 sec
