From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops		Time
      1 :        0.67 MFlops   0.000003 sec
      2 :         inf MFlops   0.000000 sec
      3 :         inf MFlops   0.000000 sec
      4 :         inf MFlops   0.000000 sec
      5 :         inf MFlops   0.000000 sec
      6 :         inf MFlops   0.000000 sec
      7 :       98.00 MFlops   0.000001 sec
      8 :      128.00 MFlops   0.000001 sec
      9 :         inf MFlops   0.000000 sec
     10 :      200.00 MFlops   0.000001 sec
     11 :      242.00 MFlops   0.000001 sec
     12 :      288.00 MFlops   0.000001 sec
     13 :         inf MFlops   0.000000 sec
     14 :      392.00 MFlops   0.000001 sec
     15 :         inf MFlops   0.000000 sec
     16 :      512.00 MFlops   0.000001 sec
     17 :       96.33 MFlops   0.000006 sec
     18 :       72.00 MFlops   0.000009 sec
     19 :       65.64 MFlops   0.000011 sec
     20 :       80.00 MFlops   0.000010 sec
     21 :      220.50 MFlops   0.000004 sec
     22 :      138.29 MFlops   0.000007 sec
     23 :      105.80 MFlops   0.000010 sec
     24 :      164.57 MFlops   0.000007 sec
     25 :      113.64 MFlops   0.000011 sec
     26 :      193.14 MFlops   0.000007 sec
     27 :      364.50 MFlops   0.000004 sec
     28 :      313.60 MFlops   0.000005 sec
     29 :      280.33 MFlops   0.000006 sec
     30 :      900.00 MFlops   0.000002 sec
     31 :      192.20 MFlops   0.000010 sec
     32 :      256.00 MFlops   0.000008 sec
     33 :      217.80 MFlops   0.000010 sec
     34 :      231.20 MFlops   0.000010 sec
     35 :      612.50 MFlops   0.000004 sec
     36 :      648.00 MFlops   0.000004 sec
     37 :      684.50 MFlops   0.000004 sec
     38 :      262.55 MFlops   0.000011 sec
     39 :      338.00 MFlops   0.000009 sec
     40 :     1066.67 MFlops   0.000003 sec
     41 :      840.50 MFlops   0.000004 sec
     42 :      392.00 MFlops   0.000009 sec
     43 :      369.80 MFlops   0.000010 sec
     44 :      553.14 MFlops   0.000007 sec
     45 :      405.00 MFlops   0.000010 sec
     46 :      423.20 MFlops   0.000010 sec
     47 :      883.60 MFlops   0.000005 sec
     48 :      384.00 MFlops   0.000012 sec
     49 :      600.25 MFlops   0.000008 sec
     50 :      454.55 MFlops   0.000011 sec
     51 :      650.25 MFlops   0.000008 sec
     52 :      416.00 MFlops   0.000013 sec
     53 :     1404.50 MFlops   0.000004 sec
     54 :      729.00 MFlops   0.000008 sec
     55 :      864.29 MFlops   0.000007 sec
     56 :      896.00 MFlops   0.000007 sec
     57 :      812.25 MFlops   0.000008 sec
     58 :     1121.33 MFlops   0.000006 sec
     59 :      696.20 MFlops   0.000010 sec
     60 :      800.00 MFlops   0.000009 sec
     61 :     1240.33 MFlops   0.000006 sec
     62 :     1281.33 MFlops   0.000006 sec
     63 :     1134.00 MFlops   0.000007 sec
     64 :      682.67 MFlops   0.000012 sec
     65 :     2816.67 MFlops   0.000003 sec
     66 :     1452.00 MFlops   0.000006 sec
     67 :     1795.60 MFlops   0.000005 sec
     68 :      924.80 MFlops   0.000010 sec
     69 :     1360.29 MFlops   0.000007 sec
     70 :     1960.00 MFlops   0.000005 sec
     71 :     1260.25 MFlops   0.000008 sec
     72 :     1728.00 MFlops   0.000006 sec
     73 :     1065.80 MFlops   0.000010 sec
     74 :     1564.57 MFlops   0.000007 sec
     75 :     1875.00 MFlops   0.000006 sec
     76 :     1283.56 MFlops   0.000009 sec
     77 :     1078.00 MFlops   0.000011 sec
     78 :     3042.00 MFlops   0.000004 sec
     79 :     2496.40 MFlops   0.000005 sec
     80 :     1422.22 MFlops   0.000009 sec
     81 :     1640.25 MFlops   0.000008 sec
     82 :     2241.33 MFlops   0.000006 sec
     83 :     1530.89 MFlops   0.000009 sec
     84 :     2352.00 MFlops   0.000006 sec
     85 :     1445.00 MFlops   0.000010 sec
     86 :     2113.14 MFlops   0.000007 sec
     87 :     1682.00 MFlops   0.000009 sec
     88 :     2581.33 MFlops   0.000006 sec
     89 :     1320.17 MFlops   0.000012 sec
     90 :     2314.29 MFlops   0.000007 sec
     91 :     2070.25 MFlops   0.000008 sec
     92 :     1880.89 MFlops   0.000009 sec
     93 :     2162.25 MFlops   0.000008 sec
     94 :     1767.20 MFlops   0.000010 sec
     95 :     1504.17 MFlops   0.000012 sec
     96 :     2048.00 MFlops   0.000009 sec
     97 :     1881.80 MFlops   0.000010 sec
     98 :     2134.22 MFlops   0.000009 sec
     99 :     2800.29 MFlops   0.000007 sec
    100 :     2222.22 MFlops   0.000009 sec
    101 :     1700.17 MFlops   0.000012 sec
    102 :     2312.00 MFlops   0.000009 sec
    103 :     3536.33 MFlops   0.000006 sec
    104 :     2163.20 MFlops   0.000010 sec
    105 :     2004.55 MFlops   0.000011 sec
    106 :     2042.91 MFlops   0.000011 sec
    107 :     2862.25 MFlops   0.000008 sec
    108 :     1944.00 MFlops   0.000012 sec
    109 :     2376.20 MFlops   0.000010 sec
    110 :     2016.67 MFlops   0.000012 sec
    111 :     2738.00 MFlops   0.000009 sec
    112 :     2508.80 MFlops   0.000010 sec
    113 :     2837.56 MFlops   0.000009 sec
    114 :     4332.00 MFlops   0.000006 sec
    115 :     2404.55 MFlops   0.000011 sec
    116 :     3364.00 MFlops   0.000008 sec
    117 :     2737.80 MFlops   0.000010 sec
    118 :     2531.64 MFlops   0.000011 sec
    119 :     2360.17 MFlops   0.000012 sec
    120 :     5760.00 MFlops   0.000005 sec
    121 :     3253.56 MFlops   0.000009 sec
    122 :     5953.60 MFlops   0.000005 sec
    123 :     3025.80 MFlops   0.000010 sec
    124 :     4393.14 MFlops   0.000007 sec
    125 :     4464.29 MFlops   0.000007 sec
    126 :     3175.20 MFlops   0.000010 sec
    127 :     3584.22 MFlops   0.000009 sec
    128 :     5461.33 MFlops   0.000006 sec
    129 :     4160.25 MFlops   0.000008 sec
    130 :     3072.73 MFlops   0.000011 sec
    131 :     2860.17 MFlops   0.000012 sec
