From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.22 MFlops
      2 :       16.00 MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :       13.89 MFlops
      6 :       48.00 MFlops
      7 :      171.50 MFlops
      8 :      170.67 MFlops
      9 :       52.07 MFlops
     10 :      100.00 MFlops
     11 :       60.50 MFlops
     12 :       80.37 MFlops
     13 :      258.47 MFlops
     14 :      219.52 MFlops
     15 :      232.76 MFlops
     16 :      160.63 MFlops
     17 :      239.66 MFlops
     18 :      315.24 MFlops
     19 :      198.81 MFlops
     20 :      551.72 MFlops
     21 :      661.50 MFlops
     22 :      417.57 MFlops
     23 :      869.07 MFlops
     24 :      953.38 MFlops
     25 :     1041.67 MFlops
     26 :     1301.93 MFlops
     27 :     1230.19 MFlops
     28 :     1513.93 MFlops
     29 :     1573.48 MFlops
     30 :     1588.24 MFlops
     31 :     1752.41 MFlops
     32 :     1598.44 MFlops
     33 :     1753.02 MFlops
     34 :     2068.63 MFlops
     35 :     2381.94 MFlops
     36 :     2275.90 MFlops
     37 :     2412.05 MFlops
     38 :     2194.88 MFlops
     39 :     3042.00 MFlops
     40 :     2909.09 MFlops
     41 :     3446.05 MFlops
     42 :     3152.68 MFlops
     43 :     3456.83 MFlops
     44 :     3476.90 MFlops
     45 :     3961.96 MFlops
     46 :     3972.90 MFlops
     47 :     3993.19 MFlops
     48 :     4336.94 MFlops
     49 :     4705.96 MFlops
     50 :     4716.98 MFlops
     51 :     4823.67 MFlops
     52 :     5514.04 MFlops
     53 :     5413.71 MFlops
     54 :     5832.00 MFlops
     55 :     5837.72 MFlops
     56 :     5665.03 MFlops
     57 :     6277.73 MFlops
     58 :     4758.83 MFlops
     59 :     6962.00 MFlops
     60 :     7081.97 MFlops
     61 :     6984.03 MFlops
     62 :     8362.39 MFlops
     63 :    10001.88 MFlops
     64 :     9039.45 MFlops
     65 :    12205.56 MFlops
     66 :    11057.54 MFlops
     67 :    10936.84 MFlops
     68 :    11433.89 MFlops
     69 :    11732.46 MFlops
     70 :    12250.00 MFlops
     71 :    12782.54 MFlops
     72 :    13824.00 MFlops
     73 :    11788.39 MFlops
     74 :    12663.25 MFlops
     75 :    13392.86 MFlops
     76 :     6503.35 MFlops
     77 :     6917.17 MFlops
     78 :     9304.94 MFlops
     79 :    13507.92 MFlops
     80 :    14222.22 MFlops
     81 :    12359.09 MFlops
     82 :    15315.78 MFlops
     83 :    15047.03 MFlops
     84 :    15197.54 MFlops
     85 :    14450.00 MFlops
     86 :    15326.65 MFlops
     87 :    15867.54 MFlops
     88 :    15666.02 MFlops
     89 :    15665.98 MFlops
     90 :    16200.00 MFlops
     91 :    16381.98 MFlops
     92 :    16567.83 MFlops
     93 :    15927.86 MFlops
     94 :    17125.44 MFlops
     95 :    16176.89 MFlops
     96 :    18241.98 MFlops
     97 :    17059.31 MFlops
     98 :    16088.75 MFlops
     99 :    16307.55 MFlops
    100 :    18181.82 MFlops
    101 :    18398.23 MFlops
    102 :    16844.57 MFlops
    103 :    17344.87 MFlops
    104 :    17439.75 MFlops
    105 :    16777.17 MFlops
    106 :    14703.90 MFlops
    107 :    16667.25 MFlops
    108 :    19995.43 MFlops
    109 :    17500.39 MFlops
    110 :    16534.16 MFlops
    111 :    15366.64 MFlops
    112 :    16825.49 MFlops
    113 :    18618.03 MFlops
    114 :    17849.93 MFlops
    115 :    18214.07 MFlops
    116 :    18149.95 MFlops
    117 :    19180.99 MFlops
    118 :    17956.63 MFlops
    119 :    18518.23 MFlops
    120 :    19307.26 MFlops
    121 :    20131.37 MFlops
    122 :    20064.62 MFlops
    123 :    18796.64 MFlops
    124 :    19555.12 MFlops
    125 :    19929.85 MFlops
    126 :    27591.39 MFlops
    127 :    25288.68 MFlops
    128 :    22671.91 MFlops
    129 :    23852.10 MFlops
    130 :    27810.13 MFlops
    131 :    23540.22 MFlops
    132 :    26743.81 MFlops
    133 :    28007.58 MFlops
    134 :    23024.92 MFlops
    135 :    23771.74 MFlops
    136 :    34695.94 MFlops
    137 :    39257.30 MFlops
    138 :    38366.01 MFlops
    139 :    38642.00 MFlops
    140 :    38647.89 MFlops
    141 :    38665.12 MFlops
    142 :    37924.34 MFlops
    143 :    39516.31 MFlops
    144 :    39813.12 MFlops
    145 :    40113.49 MFlops
    146 :    40417.35 MFlops
    147 :    38975.74 MFlops
    148 :    39294.45 MFlops
    149 :    38917.05 MFlops
    150 :    39244.19 MFlops
    151 :    40034.31 MFlops
    152 :    39906.91 MFlops
    153 :    40932.31 MFlops
    154 :    37268.00 MFlops
    155 :    29910.64 MFlops
    156 :    39341.10 MFlops
    157 :    40735.72 MFlops
    158 :    39841.54 MFlops
    159 :    41017.13 MFlops
    160 :    41795.92 MFlops
    161 :    41942.52 MFlops
    162 :    40108.75 MFlops
    163 :    40664.29 MFlops
    164 :    40842.07 MFlops
    165 :    40652.71 MFlops
    166 :    41025.08 MFlops
    167 :    41399.67 MFlops
    168 :    40700.70 MFlops
    169 :    41790.55 MFlops
    170 :    41635.59 MFlops
    171 :    34966.51 MFlops
    172 :    40224.89 MFlops
    173 :    41092.99 MFlops
    174 :    54875.25 MFlops
    175 :    40296.05 MFlops
    176 :    41458.37 MFlops
    177 :    41382.34 MFlops
    178 :    38761.18 MFlops
    179 :    40389.71 MFlops
    180 :    40641.11 MFlops
    181 :    40338.37 MFlops
    182 :    41010.67 MFlops
    183 :    41832.68 MFlops
    184 :    41808.75 MFlops
    185 :    42494.13 MFlops
    186 :    42474.30 MFlops
    187 :    43594.69 MFlops
    188 :    43859.22 MFlops
    189 :    42865.20 MFlops
    190 :    43274.45 MFlops
    191 :    43823.09 MFlops
    192 :    41391.16 MFlops
    193 :    43307.57 MFlops
    194 :    41722.19 MFlops
    195 :    42614.22 MFlops
    196 :    42300.76 MFlops
    197 :    42592.61 MFlops
    198 :    42072.59 MFlops
    199 :    42946.04 MFlops
    200 :    43360.43 MFlops
