From :   1  To : 200 Step =   1 Side = L Uplo = U
   SIZE       Flops
      1 :        0.11 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :       64.00 MFlops
      5 :      250.00 MFlops
      6 :         inf MFlops
      7 :      686.00 MFlops
      8 :     1024.00 MFlops
      9 :     1458.00 MFlops
     10 :     2000.00 MFlops
     11 :     1331.00 MFlops
     12 :     3456.00 MFlops
     13 :         inf MFlops
     14 :     5488.00 MFlops
     15 :     2250.00 MFlops
     16 :     8192.00 MFlops
     17 :     9826.00 MFlops
     18 :     5832.00 MFlops
     19 :    13718.00 MFlops
     20 :    16000.00 MFlops
     21 :     9261.00 MFlops
     22 :    10648.00 MFlops
     23 :     8111.33 MFlops
     24 :     9216.00 MFlops
     25 :    15625.00 MFlops
     26 :    11717.33 MFlops
     27 :     7873.20 MFlops
     28 :     5488.00 MFlops
     29 :      975.56 MFlops
     30 :    10800.00 MFlops
     31 :    11916.40 MFlops
     32 :     2849.39 MFlops
     33 :    10267.71 MFlops
     34 :    15721.60 MFlops
     35 :    14291.67 MFlops
     36 :    15552.00 MFlops
     37 :    14472.29 MFlops
     38 :    12193.78 MFlops
     39 :    14829.75 MFlops
     40 :    14222.22 MFlops
     41 :    15315.78 MFlops
     42 :    16464.00 MFlops
     43 :    13251.17 MFlops
     44 :    17036.80 MFlops
     45 :    16568.18 MFlops
     46 :    14974.77 MFlops
     47 :    14831.86 MFlops
     48 :    17014.15 MFlops
     49 :    16807.00 MFlops
     50 :    15625.00 MFlops
     51 :    15606.00 MFlops
     52 :    15623.11 MFlops
     53 :    16541.89 MFlops
     54 :    15746.40 MFlops
     55 :    15845.24 MFlops
     56 :    15270.96 MFlops
     57 :    16835.73 MFlops
     58 :    16259.33 MFlops
     59 :    16430.32 MFlops
     60 :    13500.00 MFlops
     61 :    11640.05 MFlops
     62 :    11085.02 MFlops
     63 :    15627.94 MFlops
     64 :    15887.52 MFlops
     65 :    16154.41 MFlops
     66 :    15972.00 MFlops
     67 :    16257.46 MFlops
     68 :    16549.05 MFlops
     69 :    17289.95 MFlops
     70 :    16333.33 MFlops
     71 :    16647.02 MFlops
     72 :    16588.80 MFlops
     73 :    16913.78 MFlops
     74 :    16539.76 MFlops
     75 :    16875.00 MFlops
     76 :    17214.75 MFlops
     77 :    17227.66 MFlops
     78 :    15818.40 MFlops
     79 :    16434.63 MFlops
     80 :    17655.17 MFlops
     81 :    17424.30 MFlops
     82 :    16965.17 MFlops
     83 :    17068.27 MFlops
     84 :    17692.66 MFlops
     85 :    17299.30 MFlops
     86 :    17426.19 MFlops
     87 :    17103.97 MFlops
     88 :    17700.57 MFlops
     89 :    17624.22 MFlops
     90 :    17357.14 MFlops
     91 :    17126.61 MFlops
     92 :    14287.85 MFlops
     93 :    14895.50 MFlops
     94 :    17303.83 MFlops
     95 :    15588.64 MFlops
     96 :    17694.72 MFlops
     97 :    17551.40 MFlops
     98 :    17269.58 MFlops
     99 :    17173.43 MFlops
    100 :    17857.14 MFlops
    101 :    17462.73 MFlops
    102 :    17396.85 MFlops
    103 :    17767.92 MFlops
    104 :    18592.79 MFlops
    105 :    18375.00 MFlops
    106 :    18183.45 MFlops
    107 :    18015.34 MFlops
    108 :    18256.70 MFlops
    109 :    18369.21 MFlops
    110 :    18358.62 MFlops
    111 :    17995.14 MFlops
    112 :    18732.37 MFlops
    113 :    18380.85 MFlops
    114 :    18290.67 MFlops
    115 :    18105.65 MFlops
    116 :    18805.98 MFlops
    117 :    18409.34 MFlops
    118 :    18255.91 MFlops
    119 :    18119.99 MFlops
    120 :    18782.61 MFlops
    121 :    18550.38 MFlops
    122 :    18341.90 MFlops
    123 :    18424.43 MFlops
    124 :    19066.24 MFlops
    125 :    15199.42 MFlops
    126 :    18608.15 MFlops
    127 :    18453.90 MFlops
    128 :    17189.77 MFlops
    129 :    25107.47 MFlops
    130 :    32791.04 MFlops
    131 :    34322.00 MFlops
    132 :    35384.12 MFlops
    133 :    23526.37 MFlops
    134 :    28815.62 MFlops
    135 :    27037.09 MFlops
    136 :    22661.77 MFlops
    137 :    26105.11 MFlops
    138 :    32246.28 MFlops
    139 :    34431.01 MFlops
    140 :    35869.28 MFlops
    141 :    36405.47 MFlops
    142 :    35791.10 MFlops
    143 :    37731.70 MFlops
    144 :    38038.01 MFlops
    145 :    38835.99 MFlops
    146 :    37271.09 MFlops
    147 :    38975.74 MFlops
    148 :    38823.86 MFlops
    149 :    38689.46 MFlops
    150 :    38571.43 MFlops
    151 :    40744.98 MFlops
    152 :    41315.39 MFlops
    153 :    40469.80 MFlops
    154 :    42222.71 MFlops
    155 :    41841.29 MFlops
    156 :    40603.38 MFlops
    157 :    42293.91 MFlops
    158 :    42411.96 MFlops
    159 :    42991.22 MFlops
    160 :    43574.47 MFlops
    161 :    43929.27 MFlops
    162 :    44057.28 MFlops
    163 :    44417.92 MFlops
    164 :    43889.99 MFlops
    165 :    44476.49 MFlops
    166 :    44846.04 MFlops
    167 :    45218.09 MFlops
    168 :    46035.26 MFlops
    169 :    42340.43 MFlops
    170 :    46349.06 MFlops
    171 :    46950.34 MFlops
    172 :    46049.30 MFlops
    173 :    46229.62 MFlops
    174 :    47035.93 MFlops
    175 :    47219.16 MFlops
    176 :    46998.07 MFlops
    177 :    48856.68 MFlops
    178 :    47794.51 MFlops
    179 :    49019.99 MFlops
    180 :    48398.34 MFlops
    181 :    48406.05 MFlops
    182 :    49617.84 MFlops
    183 :    43774.91 MFlops
    184 :    42814.46 MFlops
    185 :    42494.13 MFlops
    186 :    50076.70 MFlops
    187 :    50888.74 MFlops
    188 :    49587.10 MFlops
    189 :    50571.30 MFlops
    190 :    49702.90 MFlops
    191 :    51234.35 MFlops
    192 :    45516.96 MFlops
    193 :    42538.80 MFlops
    194 :    44385.31 MFlops
    195 :    45350.92 MFlops
    196 :    44685.67 MFlops
    197 :    44321.00 MFlops
    198 :    44869.32 MFlops
    199 :    45817.44 MFlops
    200 :    42666.67 MFlops
