From :   1  To : 200 Step =   1 Uplo = 'L' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
      1x1 :        0.50 MFlops
      2x2 :        8.00 MFlops
      3x3 :       18.00 MFlops
      4x4 :       32.00 MFlops
      5x5 :       12.50 MFlops
      6x6 :       12.00 MFlops
      7x7 :       24.50 MFlops
      8x8 :       21.33 MFlops
      9x9 :       40.50 MFlops
     10x10 :       66.67 MFlops
     11x11 :       40.33 MFlops
     12x12 :       96.00 MFlops
     13x13 :       56.33 MFlops
     14x14 :       65.33 MFlops
     15x15 :      112.50 MFlops
     16x16 :      256.00 MFlops
     17x17 :      144.50 MFlops
     18x18 :       72.00 MFlops
     19x19 :       80.22 MFlops
     20x20 :       80.00 MFlops
     21x21 :       88.20 MFlops
     22x22 :       88.00 MFlops
     23x23 :      264.50 MFlops
     24x24 :      128.00 MFlops
     25x25 :      138.89 MFlops
     26x26 :      122.91 MFlops
     27x27 :      208.29 MFlops
     28x28 :      174.22 MFlops
     29x29 :      168.20 MFlops
     30x30 :      450.00 MFlops
     31x31 :      213.56 MFlops
     32x32 :      227.56 MFlops
     33x33 :      198.00 MFlops
     34x34 :      289.00 MFlops
     35x35 :      272.22 MFlops
     36x36 :      288.00 MFlops
     37x37 :      342.25 MFlops
     38x38 :      288.80 MFlops
     39x39 :      338.00 MFlops
     40x40 :      400.00 MFlops
     41x41 :      336.20 MFlops
     42x42 :      352.80 MFlops
     43x43 :      410.89 MFlops
     44x44 :      430.22 MFlops
     45x45 :      405.00 MFlops
     46x46 :      423.20 MFlops
     47x47 :      490.89 MFlops
     48x48 :      658.29 MFlops
     49x49 :      480.20 MFlops
     50x50 :      625.00 MFlops
     51x51 :      578.00 MFlops
     52x52 :      676.00 MFlops
     53x53 :      510.73 MFlops
     54x54 :      648.00 MFlops
     55x55 :      756.25 MFlops
     56x56 :      696.89 MFlops
     57x57 :      590.73 MFlops
     58x58 :      747.56 MFlops
     59x59 :      696.20 MFlops
     60x60 :      800.00 MFlops
     61x61 :      676.55 MFlops
     62x62 :      768.80 MFlops
     63x63 :      793.80 MFlops
     64x64 :      819.20 MFlops
     65x65 :      845.00 MFlops
     66x66 :      968.00 MFlops
     67x67 :      897.80 MFlops
     68x68 :      840.73 MFlops
     69x69 :      952.20 MFlops
     70x70 :      980.00 MFlops
     71x71 :     1008.20 MFlops
     72x72 :      864.00 MFlops
     73x73 :      710.53 MFlops
     74x74 :     1095.20 MFlops
     75x75 :      937.50 MFlops
     76x76 :     1050.18 MFlops
     77x77 :     1185.80 MFlops
     78x78 :     1216.80 MFlops
     79x79 :     1134.73 MFlops
     80x80 :     1163.64 MFlops
     81x81 :     1458.00 MFlops
     82x82 :     1034.46 MFlops
     83x83 :     1377.80 MFlops
     84x84 :     1176.00 MFlops
     85x85 :     1313.64 MFlops
     86x86 :     1643.56 MFlops
     87x87 :     1513.80 MFlops
     88x88 :     1408.00 MFlops
     89x89 :     1584.20 MFlops
     90x90 :     1472.73 MFlops
     91x91 :     1656.20 MFlops
     92x92 :     1410.67 MFlops
     93x93 :     1572.55 MFlops
     94x94 :     1606.55 MFlops
     95x95 :     1289.29 MFlops
     96x96 :     1536.00 MFlops
     97x97 :     1710.73 MFlops
     98x98 :     1746.18 MFlops
     99x99 :     1782.00 MFlops
    100x100 :     2000.00 MFlops
    101x101 :     2040.20 MFlops
    102x102 :     1734.00 MFlops
    103x103 :      964.45 MFlops
    104x104 :     1966.55 MFlops
    105x105 :     2004.55 MFlops
    106x106 :     2042.91 MFlops
    107x107 :     1761.38 MFlops
    108x108 :     1944.00 MFlops
    109x109 :     1697.29 MFlops
    110x110 :     2016.67 MFlops
    111x111 :     2053.50 MFlops
    112x112 :     2508.80 MFlops
    113x113 :     2321.64 MFlops
    114x114 :     2362.91 MFlops
    115x115 :     2204.17 MFlops
    116x116 :     2070.15 MFlops
    117x117 :     2488.91 MFlops
    118x118 :     2320.67 MFlops
    119x119 :     2574.73 MFlops
    120x120 :     2400.00 MFlops
    121x121 :     2662.00 MFlops
    122x122 :     2706.18 MFlops
    123x123 :     2327.54 MFlops
    124x124 :     2562.67 MFlops
    125x125 :     2840.91 MFlops
    126x126 :     2886.55 MFlops
    127x127 :     2688.17 MFlops
    128x128 :     2730.67 MFlops
    129x129 :     2773.50 MFlops
    130x130 :     3072.73 MFlops
    131x131 :     2860.17 MFlops
    132x132 :     2904.00 MFlops
    133x133 :     2721.38 MFlops
    134x134 :     3264.73 MFlops
    135x135 :     3037.50 MFlops
    136x136 :     2845.54 MFlops
    137x137 :     2887.54 MFlops
    138x138 :     2929.85 MFlops
    139x139 :     3220.17 MFlops
    140x140 :     3015.38 MFlops
    141x141 :     2840.14 MFlops
    142x142 :     3360.67 MFlops
    143x143 :     3408.17 MFlops
    144x144 :     2962.29 MFlops
    145x145 :     3822.73 MFlops
    146x146 :     3552.67 MFlops
    147x147 :     3601.50 MFlops
    148x148 :     3650.67 MFlops
    149x149 :     3171.57 MFlops
    150x150 :     3750.00 MFlops
    151x151 :     3507.85 MFlops
    152x152 :     3850.67 MFlops
    153x153 :     3121.20 MFlops
    154x154 :     3648.62 MFlops
    155x155 :     3432.14 MFlops
    156x156 :     3244.80 MFlops
    157x157 :     2594.63 MFlops
    158x158 :     3840.62 MFlops
    159x159 :     3889.38 MFlops
    160x160 :     3657.14 MFlops
    161x161 :     3456.13 MFlops
    162x162 :     4037.54 MFlops
    163x163 :       65.93 MFlops
    164x164 :     2241.33 MFlops
    165x165 :     4188.46 MFlops
    166x166 :     4239.38 MFlops
    167x167 :     6197.56 MFlops
    168x168 :     7056.00 MFlops
    169x169 :     8160.29 MFlops
    170x170 :     8257.14 MFlops
    171x171 :     8354.57 MFlops
    172x172 :     7396.00 MFlops
    173x173 :     9976.33 MFlops
    174x174 :     8650.29 MFlops
    175x175 :     7656.25 MFlops
    176x176 :    10325.33 MFlops
    177x177 :     8951.14 MFlops
    178x178 :     7921.00 MFlops
    179x179 :     9154.57 MFlops
    180x180 :     8100.00 MFlops
    181x181 :     5040.15 MFlops
    182x182 :     8281.00 MFlops
    183x183 :     8372.25 MFlops
    184x184 :     8464.00 MFlops
    185x185 :     8556.25 MFlops
    186x186 :     6919.20 MFlops
    187x187 :     6993.80 MFlops
    188x188 :    10098.29 MFlops
    189x189 :     8930.25 MFlops
    190x190 :     9025.00 MFlops
    191x191 :     6632.91 MFlops
    192x192 :     9216.00 MFlops
    193x193 :     6208.17 MFlops
    194x194 :     6842.91 MFlops
    195x195 :     7605.00 MFlops
    196x196 :     6984.73 MFlops
    197x197 :     7056.18 MFlops
    198x198 :     9801.00 MFlops
    199x199 :     9900.25 MFlops
    200x200 :    10000.00 MFlops
