From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops
      1 :        0.50 MFlops
      2 :        4.00 MFlops
      3 :        9.00 MFlops
      4 :       16.00 MFlops
      5 :       25.00 MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :       64.00 MFlops
      9 :       81.00 MFlops
     10 :         inf MFlops
     11 :      121.00 MFlops
     12 :      144.00 MFlops
     13 :      169.00 MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :       72.25 MFlops
     18 :       54.00 MFlops
     19 :       60.17 MFlops
     20 :      200.00 MFlops
     21 :      147.00 MFlops
     22 :      242.00 MFlops
     23 :       52.90 MFlops
     24 :      144.00 MFlops
     25 :      104.17 MFlops
     26 :      135.20 MFlops
     27 :       81.00 MFlops
     28 :      196.00 MFlops
     29 :      280.33 MFlops
     30 :      450.00 MFlops
     31 :      106.78 MFlops
     32 :      341.33 MFlops
     33 :      272.25 MFlops
     34 :      231.20 MFlops
     35 :      136.11 MFlops
     36 :      129.60 MFlops
     37 :      684.50 MFlops
     38 :      160.44 MFlops
     39 :      380.25 MFlops
     40 :      533.33 MFlops
     41 :      168.10 MFlops
     42 :      588.00 MFlops
     43 :      205.44 MFlops
     44 :      129.07 MFlops
     45 :      202.50 MFlops
     46 :      211.60 MFlops
     47 :      200.82 MFlops
     48 :      177.23 MFlops
     49 :      300.12 MFlops
     50 :      833.33 MFlops
     51 :      371.57 MFlops
     52 :      386.29 MFlops
     53 :      936.33 MFlops
     54 :      324.00 MFlops
     55 :      605.00 MFlops
     56 :      348.44 MFlops
     57 :      464.14 MFlops
     58 :      841.00 MFlops
     59 :     1160.33 MFlops
     60 :     1200.00 MFlops
     61 :      413.44 MFlops
     62 :      768.80 MFlops
     63 :      992.25 MFlops
     64 :     1365.33 MFlops
     65 :     1408.33 MFlops
     66 :     1452.00 MFlops
     67 :     1122.25 MFlops
     68 :     1156.00 MFlops
     69 :      793.50 MFlops
     70 :     1633.33 MFlops
     71 :      840.17 MFlops
     72 :     1296.00 MFlops
     73 :     1065.80 MFlops
     74 :     1369.00 MFlops
     75 :      562.50 MFlops
     76 :     2888.00 MFlops
     77 :      592.90 MFlops
     78 :       73.30 MFlops
     79 :      367.12 MFlops
     80 :      533.33 MFlops
     81 :      820.12 MFlops
     82 :     1344.80 MFlops
     83 :      765.44 MFlops
     84 :      588.00 MFlops
     85 :      656.82 MFlops
     86 :      924.50 MFlops
     87 :     1261.50 MFlops
     88 :      774.40 MFlops
     89 :      609.31 MFlops
     90 :      736.36 MFlops
     91 :      752.82 MFlops
     92 :      846.40 MFlops
     93 :      786.27 MFlops
     94 :     1262.29 MFlops
     95 :      820.45 MFlops
     96 :      614.40 MFlops
     97 :      855.36 MFlops
     98 :      873.09 MFlops
     99 :      891.00 MFlops
    100 :      714.29 MFlops
    101 :      637.56 MFlops
    102 :     1734.00 MFlops
    103 :     1768.17 MFlops
    104 :     1081.60 MFlops
    105 :      918.75 MFlops
    106 :      749.07 MFlops
    107 :      954.08 MFlops
    108 :      972.00 MFlops
    109 :     1320.11 MFlops
    110 :     1008.33 MFlops
    111 :     1232.10 MFlops
    112 :     1254.40 MFlops
    113 :     1160.82 MFlops
    114 :      812.25 MFlops
    115 :      881.67 MFlops
    116 :      961.14 MFlops
    117 :     1140.75 MFlops
    118 :     1392.40 MFlops
    119 :     1416.10 MFlops
    120 :     1309.09 MFlops
    121 :     1220.08 MFlops
    122 :     1353.09 MFlops
    123 :     1008.60 MFlops
    124 :      904.47 MFlops
    125 :     1420.45 MFlops
    126 :      992.25 MFlops
    127 :     1466.27 MFlops
    128 :     1638.40 MFlops
    129 :     1280.08 MFlops
    130 :      889.47 MFlops
    131 :     1430.08 MFlops
    132 :     1340.31 MFlops
    133 :     1263.50 MFlops
    134 :     1496.33 MFlops
    135 :     1301.79 MFlops
    136 :      249.95 MFlops
    137 :     1706.27 MFlops
    138 :     1190.25 MFlops
    139 :     1932.10 MFlops
    140 :     1507.69 MFlops
    141 :     1988.10 MFlops
    142 :     1008.20 MFlops
    143 :     1859.00 MFlops
    144 :     1728.00 MFlops
    145 :     1617.31 MFlops
    146 :     1639.69 MFlops
    147 :     1964.45 MFlops
    148 :     2190.40 MFlops
    149 :     1850.08 MFlops
    150 :     2045.45 MFlops
    151 :     1753.92 MFlops
    152 :     1650.29 MFlops
    153 :     2128.09 MFlops
    154 :     1976.33 MFlops
    155 :     2402.50 MFlops
