From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops
      1 :        0.33 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :        6.23 MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :      169.00 MFlops
     14 :         inf MFlops
     15 :         inf MFlops
     16 :         inf MFlops
     17 :         inf MFlops
     18 :         inf MFlops
     19 :         inf MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :      484.00 MFlops
     23 :         inf MFlops
     24 :         inf MFlops
     25 :         inf MFlops
     26 :         inf MFlops
     27 :         inf MFlops
     28 :         inf MFlops
     29 :         inf MFlops
     30 :         inf MFlops
     31 :         inf MFlops
     32 :         inf MFlops
     33 :         inf MFlops
     34 :     1156.00 MFlops
     35 :         inf MFlops
     36 :         inf MFlops
     37 :     1369.00 MFlops
     38 :         inf MFlops
     39 :         inf MFlops
     40 :         inf MFlops
     41 :     1681.00 MFlops
     42 :         inf MFlops
     43 :         inf MFlops
     44 :         inf MFlops
     45 :     2025.00 MFlops
     46 :     2116.00 MFlops
     47 :         inf MFlops
     48 :         inf MFlops
     49 :         inf MFlops
     50 :     2500.00 MFlops
     51 :     2601.00 MFlops
     52 :     2704.00 MFlops
     53 :         inf MFlops
     54 :         inf MFlops
     55 :     3025.00 MFlops
     56 :     3136.00 MFlops
     57 :     3249.00 MFlops
     58 :     3364.00 MFlops
     59 :         inf MFlops
     60 :         inf MFlops
     61 :     3721.00 MFlops
     62 :     3844.00 MFlops
     63 :         inf MFlops
     64 :     4096.00 MFlops
     65 :     4225.00 MFlops
     66 :         inf MFlops
     67 :         inf MFlops
     68 :         inf MFlops
     69 :         inf MFlops
     70 :     4900.00 MFlops
     71 :         inf MFlops
     72 :         inf MFlops
     73 :     5329.00 MFlops
     74 :         inf MFlops
     75 :     5625.00 MFlops
     76 :         inf MFlops
     77 :     5929.00 MFlops
     78 :     6084.00 MFlops
     79 :     6241.00 MFlops
     80 :     6400.00 MFlops
     81 :         inf MFlops
     82 :         inf MFlops
     83 :     6889.00 MFlops
     84 :         inf MFlops
     85 :     7225.00 MFlops
     86 :     7396.00 MFlops
     87 :     7569.00 MFlops
     88 :     7744.00 MFlops
     89 :     7921.00 MFlops
     90 :     8100.00 MFlops
     91 :     8281.00 MFlops
     92 :     8464.00 MFlops
     93 :     8649.00 MFlops
     94 :     8836.00 MFlops
     95 :     9025.00 MFlops
     96 :     9216.00 MFlops
     97 :     9409.00 MFlops
     98 :     9604.00 MFlops
     99 :     9801.00 MFlops
    100 :    10000.00 MFlops
    101 :    10201.00 MFlops
    102 :    10404.00 MFlops
    103 :    10609.00 MFlops
    104 :     5408.00 MFlops
    105 :    11025.00 MFlops
    106 :     5618.00 MFlops
    107 :    11449.00 MFlops
    108 :     5832.00 MFlops
    109 :     5940.50 MFlops
    110 :    12100.00 MFlops
    111 :    12321.00 MFlops
    112 :     6272.00 MFlops
    113 :     6384.50 MFlops
    114 :     6498.00 MFlops
    115 :     6612.50 MFlops
    116 :     6728.00 MFlops
    117 :     6844.50 MFlops
    118 :     6962.00 MFlops
    119 :     7080.50 MFlops
    120 :    14400.00 MFlops
    121 :     7320.50 MFlops
    122 :     7442.00 MFlops
    123 :    15129.00 MFlops
    124 :     7688.00 MFlops
    125 :     7812.50 MFlops
    126 :    15876.00 MFlops
    127 :     8064.50 MFlops
    128 :     8192.00 MFlops
    129 :     8320.50 MFlops
    130 :     8450.00 MFlops
    131 :     8580.50 MFlops
    132 :    17424.00 MFlops
    133 :     8844.50 MFlops
    134 :     8978.00 MFlops
    135 :     9112.50 MFlops
    136 :     9248.00 MFlops
    137 :     9384.50 MFlops
    138 :     9522.00 MFlops
    139 :     9660.50 MFlops
    140 :     9800.00 MFlops
    141 :     9940.50 MFlops
    142 :    10082.00 MFlops
    143 :    10224.50 MFlops
    144 :    10368.00 MFlops
    145 :    10512.50 MFlops
    146 :     7105.33 MFlops
    147 :    10804.50 MFlops
    148 :    10952.00 MFlops
    149 :    11100.50 MFlops
    150 :     7500.00 MFlops
    151 :    11400.50 MFlops
    152 :    11552.00 MFlops
    153 :    11704.50 MFlops
    154 :     7905.33 MFlops
    155 :    12012.50 MFlops
    156 :    12168.00 MFlops
    157 :     8216.33 MFlops
    158 :     8321.33 MFlops
    159 :    12640.50 MFlops
    160 :     8533.33 MFlops
    161 :     8640.33 MFlops
    162 :     8748.00 MFlops
    163 :     8856.33 MFlops
    164 :     8965.33 MFlops
    165 :     6806.25 MFlops
    166 :     9185.33 MFlops
    167 :     9296.33 MFlops
    168 :     9408.00 MFlops
    169 :     9520.33 MFlops
    170 :     9633.33 MFlops
    171 :     9747.00 MFlops
    172 :     9861.33 MFlops
    173 :     9976.33 MFlops
    174 :    10092.00 MFlops
    175 :    10208.33 MFlops
