From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops
      1 :        0.67 MFlops
      2 :        8.00 MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :       98.00 MFlops
      8 :         inf MFlops
      9 :      162.00 MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :      288.00 MFlops
     13 :      338.00 MFlops
     14 :         inf MFlops
     15 :      450.00 MFlops
     16 :      512.00 MFlops
     17 :       57.80 MFlops
     18 :       58.91 MFlops
     19 :       72.20 MFlops
     20 :      160.00 MFlops
     21 :      441.00 MFlops
     22 :      193.60 MFlops
     23 :      151.14 MFlops
     24 :      128.00 MFlops
     25 :      416.67 MFlops
     26 :      338.00 MFlops
     27 :      112.15 MFlops
     28 :      112.00 MFlops
     29 :      841.00 MFlops
     30 :      450.00 MFlops
     31 :      213.56 MFlops
     32 :      256.00 MFlops
     33 :      272.25 MFlops
     34 :      231.20 MFlops
     35 :      204.17 MFlops
     36 :      432.00 MFlops
     37 :      228.17 MFlops
     38 :      412.57 MFlops
     39 :      434.57 MFlops
     40 :      400.00 MFlops
     41 :      840.50 MFlops
     42 :      441.00 MFlops
     43 :      410.89 MFlops
     44 :      117.33 MFlops
     45 :      405.00 MFlops
     46 :      529.00 MFlops
     47 :      401.64 MFlops
     48 :      460.80 MFlops
     49 :      686.00 MFlops
     50 :      833.33 MFlops
     51 :      433.50 MFlops
     52 :      491.64 MFlops
     53 :      561.80 MFlops
     54 :      486.00 MFlops
     55 :      504.17 MFlops
     56 :     2090.67 MFlops
     57 :     1083.00 MFlops
     58 :      480.57 MFlops
     59 :      290.08 MFlops
     60 :     1800.00 MFlops
     61 :     1860.50 MFlops
     62 :     2562.67 MFlops
     63 :     1984.50 MFlops
     64 :     2730.67 MFlops
     65 :      650.00 MFlops
     66 :     2178.00 MFlops
     67 :     2992.67 MFlops
     68 :     2312.00 MFlops
     69 :     2380.50 MFlops
     70 :     3266.67 MFlops
     71 :     2520.50 MFlops
     72 :     2592.00 MFlops
     73 :     2664.50 MFlops
     74 :      782.29 MFlops
     75 :      803.57 MFlops
     76 :      770.13 MFlops
     77 :      741.12 MFlops
     78 :      869.14 MFlops
     79 :      891.57 MFlops
     80 :      984.62 MFlops
     81 :     3280.50 MFlops
     82 :      896.53 MFlops
     83 :     1252.55 MFlops
     84 :     3528.00 MFlops
     85 :     1032.14 MFlops
     86 :     1232.67 MFlops
     87 :     1164.46 MFlops
     88 :     1106.29 MFlops
     89 :     1131.57 MFlops
     90 :     1246.15 MFlops
     91 :     1274.00 MFlops
     92 :     4232.00 MFlops
     93 :     1235.57 MFlops
     94 :     1359.38 MFlops
     95 :     1388.46 MFlops
     96 :     1228.80 MFlops
     97 :     1447.54 MFlops
     98 :     1372.00 MFlops
     99 :     1400.14 MFlops
    100 :     1428.57 MFlops
    101 :     1360.13 MFlops
    102 :     1600.62 MFlops
    103 :     1248.12 MFlops
    104 :     1664.00 MFlops
    105 :     1575.00 MFlops
    106 :     1321.88 MFlops
    107 :     1346.94 MFlops
    108 :     1458.00 MFlops
    109 :     1827.85 MFlops
    110 :     1728.57 MFlops
    111 :     1760.14 MFlops
    112 :     1672.53 MFlops
    113 :     1964.46 MFlops
    114 :     1732.80 MFlops
    115 :     1763.33 MFlops
    116 :     1922.29 MFlops
    117 :     1711.12 MFlops
    118 :     2320.67 MFlops
    119 :     3146.89 MFlops
    120 :     2215.38 MFlops
    121 :     2091.57 MFlops
    122 :     2480.67 MFlops
    123 :     2017.20 MFlops
    124 :     1922.00 MFlops
    125 :     1644.74 MFlops
    126 :      675.57 MFlops
    127 :     1194.74 MFlops
    128 :     2340.57 MFlops
    129 :     3025.64 MFlops
    130 :     2816.67 MFlops
    131 :     2288.13 MFlops
    132 :     3484.80 MFlops
    133 :     2721.38 MFlops
    134 :     2565.14 MFlops
    135 :     3037.50 MFlops
    136 :     2642.29 MFlops
    137 :     2681.29 MFlops
    138 :     2929.85 MFlops
    139 :     2760.14 MFlops
    140 :     3563.64 MFlops
    141 :     3058.62 MFlops
    142 :     3360.67 MFlops
    143 :     2726.53 MFlops
    144 :     3190.15 MFlops
    145 :     2628.12 MFlops
    146 :     3279.38 MFlops
    147 :     2401.00 MFlops
    148 :     3129.14 MFlops
    149 :     2960.13 MFlops
    150 :     3000.00 MFlops
    151 :     3257.29 MFlops
    152 :     3300.57 MFlops
    153 :     2754.00 MFlops
    154 :     3162.13 MFlops
    155 :     3696.15 MFlops
    156 :     4056.00 MFlops
    157 :     3792.15 MFlops
    158 :     2936.94 MFlops
    159 :     3160.12 MFlops
    160 :     3011.76 MFlops
    161 :     3240.12 MFlops
    162 :     3280.50 MFlops
    163 :     3321.12 MFlops
    164 :     4137.85 MFlops
    165 :     4950.00 MFlops
    166 :     1670.06 MFlops
    167 :     4290.62 MFlops
    168 :     4342.15 MFlops
    169 :     4394.00 MFlops
    170 :     4446.15 MFlops
    171 :     4498.62 MFlops
    172 :     3944.53 MFlops
    173 :     5985.80 MFlops
    174 :     4657.85 MFlops
    175 :     4711.54 MFlops
    176 :     5162.67 MFlops
    177 :     4819.85 MFlops
    178 :     5760.73 MFlops
    179 :     4929.38 MFlops
    180 :     4320.00 MFlops
    181 :     4095.12 MFlops
    182 :     3011.27 MFlops
    183 :     3939.88 MFlops
    184 :     4232.00 MFlops
    185 :     4278.12 MFlops
    186 :     4612.80 MFlops
    187 :     3179.00 MFlops
    188 :     3927.11 MFlops
    189 :     4202.47 MFlops
    190 :     4011.11 MFlops
    191 :     3172.26 MFlops
    192 :     2730.67 MFlops
    193 :     4138.78 MFlops
    194 :     1881.80 MFlops
    195 :     4225.00 MFlops
    196 :     3340.52 MFlops
    197 :     4851.12 MFlops
    198 :     3136.32 MFlops
    199 :     4658.94 MFlops
    200 :     4444.44 MFlops
