From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops
      1 :        0.67 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :         inf MFlops
      5 :         inf MFlops
      6 :         inf MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :       14.73 MFlops
     10 :         inf MFlops
     11 :         inf MFlops
     12 :         inf MFlops
     13 :         inf MFlops
     14 :         inf MFlops
     15 :      450.00 MFlops
     16 :         inf MFlops
     17 :         inf MFlops
     18 :         inf MFlops
     19 :      722.00 MFlops
     20 :         inf MFlops
     21 :         inf MFlops
     22 :         inf MFlops
     23 :     1058.00 MFlops
     24 :         inf MFlops
     25 :     1250.00 MFlops
     26 :     1352.00 MFlops
     27 :         inf MFlops
     28 :     1568.00 MFlops
     29 :     1682.00 MFlops
     30 :         inf MFlops
     31 :     1922.00 MFlops
     32 :         inf MFlops
     33 :         inf MFlops
     34 :         inf MFlops
     35 :         inf MFlops
     36 :     2592.00 MFlops
     37 :         inf MFlops
     38 :         inf MFlops
     39 :     3042.00 MFlops
     40 :         inf MFlops
     41 :     3362.00 MFlops
     42 :         inf MFlops
     43 :     3698.00 MFlops
     44 :         inf MFlops
     45 :     4050.00 MFlops
     46 :     4232.00 MFlops
     47 :     4418.00 MFlops
     48 :     4608.00 MFlops
     49 :     4802.00 MFlops
     50 :     5000.00 MFlops
     51 :         inf MFlops
     52 :         inf MFlops
     53 :         inf MFlops
     54 :     5832.00 MFlops
     55 :         inf MFlops
     56 :     6272.00 MFlops
     57 :     6498.00 MFlops
     58 :     6728.00 MFlops
     59 :     6962.00 MFlops
     60 :     7200.00 MFlops
     61 :     7442.00 MFlops
     62 :     7688.00 MFlops
     63 :     7938.00 MFlops
     64 :     8192.00 MFlops
     65 :     8450.00 MFlops
     66 :     8712.00 MFlops
     67 :     8978.00 MFlops
     68 :     9248.00 MFlops
     69 :     9522.00 MFlops
     70 :     9800.00 MFlops
     71 :    10082.00 MFlops
     72 :    10368.00 MFlops
     73 :    10658.00 MFlops
     74 :    10952.00 MFlops
     75 :    11250.00 MFlops
     76 :    11552.00 MFlops
     77 :    11858.00 MFlops
     78 :    12168.00 MFlops
     79 :    12482.00 MFlops
     80 :    12800.00 MFlops
     81 :    13122.00 MFlops
     82 :    13448.00 MFlops
     83 :     6889.00 MFlops
     84 :    14112.00 MFlops
     85 :    14450.00 MFlops
     86 :    14792.00 MFlops
     87 :    15138.00 MFlops
     88 :    15488.00 MFlops
     89 :     7921.00 MFlops
     90 :    16200.00 MFlops
     91 :     8281.00 MFlops
     92 :     8464.00 MFlops
     93 :     8649.00 MFlops
     94 :     8836.00 MFlops
     95 :     9025.00 MFlops
     96 :    18432.00 MFlops
     97 :     9409.00 MFlops
     98 :     9604.00 MFlops
     99 :     9801.00 MFlops
    100 :    10000.00 MFlops
    101 :    10201.00 MFlops
    102 :    10404.00 MFlops
    103 :    10609.00 MFlops
    104 :    10816.00 MFlops
    105 :    11025.00 MFlops
    106 :    11236.00 MFlops
    107 :    11449.00 MFlops
    108 :    11664.00 MFlops
    109 :    11881.00 MFlops
    110 :    12100.00 MFlops
    111 :    12321.00 MFlops
    112 :    12544.00 MFlops
    113 :    12769.00 MFlops
    114 :    12996.00 MFlops
    115 :    13225.00 MFlops
    116 :    13456.00 MFlops
    117 :    13689.00 MFlops
    118 :    13924.00 MFlops
    119 :    14161.00 MFlops
    120 :    14400.00 MFlops
    121 :    14641.00 MFlops
    122 :    14884.00 MFlops
    123 :    15129.00 MFlops
    124 :    10250.67 MFlops
    125 :    10416.67 MFlops
    126 :    15876.00 MFlops
    127 :    16129.00 MFlops
    128 :    16384.00 MFlops
    129 :    16641.00 MFlops
    130 :    11266.67 MFlops
    131 :    11440.67 MFlops
    132 :    11616.00 MFlops
    133 :    17689.00 MFlops
    134 :    11970.67 MFlops
    135 :    12150.00 MFlops
    136 :    18496.00 MFlops
    137 :    12512.67 MFlops
    138 :    12696.00 MFlops
    139 :    12880.67 MFlops
    140 :    13066.67 MFlops
    141 :    13254.00 MFlops
    142 :    10082.00 MFlops
    143 :    10224.50 MFlops
    144 :    13824.00 MFlops
    145 :    10512.50 MFlops
    146 :    14210.67 MFlops
    147 :    14406.00 MFlops
    148 :    14602.67 MFlops
    149 :    14800.67 MFlops
    150 :    11250.00 MFlops
    151 :    11400.50 MFlops
    152 :    15402.67 MFlops
    153 :    11704.50 MFlops
    154 :    15810.67 MFlops
    155 :    12012.50 MFlops
    156 :    16224.00 MFlops
    157 :    12324.50 MFlops
    158 :    12482.00 MFlops
    159 :    12640.50 MFlops
    160 :    12800.00 MFlops
    161 :    12960.50 MFlops
    162 :    13122.00 MFlops
    163 :    13284.50 MFlops
    164 :    13448.00 MFlops
    165 :    13612.50 MFlops
    166 :    13778.00 MFlops
    167 :    13944.50 MFlops
    168 :    14112.00 MFlops
    169 :    14280.50 MFlops
    170 :    14450.00 MFlops
    171 :    14620.50 MFlops
    172 :    14792.00 MFlops
    173 :    14964.50 MFlops
    174 :    15138.00 MFlops
    175 :    15312.50 MFlops
    176 :    12390.40 MFlops
    177 :    12531.60 MFlops
    178 :    12673.60 MFlops
    179 :    16020.50 MFlops
    180 :    16200.00 MFlops
    181 :    13104.40 MFlops
    182 :    13249.60 MFlops
    183 :    13395.60 MFlops
    184 :    13542.40 MFlops
    185 :    13690.00 MFlops
    186 :    13838.40 MFlops
    187 :    11656.33 MFlops
    188 :    14137.60 MFlops
    189 :    11907.00 MFlops
    190 :    14440.00 MFlops
    191 :    12160.33 MFlops
    192 :    12288.00 MFlops
    193 :    14899.60 MFlops
    194 :    12545.33 MFlops
    195 :    12675.00 MFlops
    196 :    12805.33 MFlops
    197 :    15523.60 MFlops
    198 :    13068.00 MFlops
    199 :    15840.40 MFlops
    200 :    13333.33 MFlops
