From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.18 MFlops
      2 :         inf MFlops
      3 :       54.00 MFlops
      4 :         inf MFlops
      5 :      250.00 MFlops
      6 :      432.00 MFlops
      7 :      686.00 MFlops
      8 :     1024.00 MFlops
      9 :       91.12 MFlops
     10 :      666.67 MFlops
     11 :      665.50 MFlops
     12 :      864.00 MFlops
     13 :     1098.50 MFlops
     14 :     1372.00 MFlops
     15 :     1350.00 MFlops
     16 :      744.73 MFlops
     17 :      491.30 MFlops
     18 :     1060.36 MFlops
     19 :     1714.75 MFlops
     20 :     1600.00 MFlops
     21 :     2058.00 MFlops
     22 :     3042.29 MFlops
     23 :     1622.27 MFlops
     24 :     2513.45 MFlops
     25 :     2232.14 MFlops
     26 :     2343.47 MFlops
     27 :     2460.37 MFlops
     28 :     3136.00 MFlops
     29 :     2709.89 MFlops
     30 :     3857.14 MFlops
     31 :     4255.86 MFlops
     32 :     3276.80 MFlops
     33 :     3782.84 MFlops
     34 :     5240.53 MFlops
     35 :     5716.67 MFlops
     36 :     5832.00 MFlops
     37 :     5628.11 MFlops
     38 :     4572.67 MFlops
     39 :     5649.43 MFlops
     40 :     6400.00 MFlops
     41 :     4922.93 MFlops
     42 :     4779.87 MFlops
     43 :     5679.07 MFlops
     44 :     6814.72 MFlops
     45 :     5695.31 MFlops
     46 :     5899.15 MFlops
     47 :     6488.94 MFlops
     48 :     5977.95 MFlops
     49 :     7353.06 MFlops
     50 :     7812.50 MFlops
     51 :     7369.50 MFlops
     52 :     7600.43 MFlops
     53 :     7443.85 MFlops
     54 :     7323.91 MFlops
     55 :     7394.44 MFlops
     56 :     9005.95 MFlops
     57 :     7262.47 MFlops
     58 :     9074.98 MFlops
     59 :     9779.95 MFlops
     60 :     9000.00 MFlops
     61 :     9658.77 MFlops
     62 :     8362.39 MFlops
     63 :     7144.20 MFlops
     64 :     5637.51 MFlops
     65 :     5038.99 MFlops
     66 :     8333.22 MFlops
     67 :     3623.65 MFlops
     68 :     9248.00 MFlops
     69 :     9522.00 MFlops
     70 :    10238.81 MFlops
     71 :    11930.37 MFlops
     72 :    11484.55 MFlops
     73 :    13187.02 MFlops
     74 :    13286.03 MFlops
     75 :    12980.77 MFlops
     76 :    12542.17 MFlops
     77 :    12338.73 MFlops
     78 :    12326.03 MFlops
     79 :    11466.02 MFlops
     80 :    12800.00 MFlops
     81 :    10845.73 MFlops
     82 :    12531.09 MFlops
     83 :    11322.51 MFlops
     84 :    11854.08 MFlops
     85 :    12928.95 MFlops
     86 :    12115.35 MFlops
     87 :    11353.50 MFlops
     88 :    12278.77 MFlops
     89 :    12935.21 MFlops
     90 :    12678.26 MFlops
     91 :    13105.58 MFlops
     92 :    14030.41 MFlops
     93 :    13988.82 MFlops
     94 :    13843.07 MFlops
     95 :    13828.63 MFlops
     96 :    13304.30 MFlops
     97 :    14602.77 MFlops
     98 :    13841.06 MFlops
     99 :    14927.68 MFlops
    100 :    14388.49 MFlops
    101 :    15377.63 MFlops
    102 :    14842.07 MFlops
    103 :    13490.46 MFlops
    104 :    13717.85 MFlops
    105 :    13539.47 MFlops
    106 :    15467.74 MFlops
    107 :    14000.49 MFlops
    108 :    12472.40 MFlops
    109 :    12573.10 MFlops
    110 :    15039.55 MFlops
    111 :    15902.69 MFlops
    112 :    16431.91 MFlops
    113 :    15515.02 MFlops
    114 :    16646.56 MFlops
    115 :    13826.14 MFlops
    116 :    16430.48 MFlops
    117 :    14693.70 MFlops
    118 :    16680.53 MFlops
    119 :    13926.93 MFlops
    120 :    17194.03 MFlops
    121 :    19575.26 MFlops
    122 :    27305.98 MFlops
    123 :    19691.71 MFlops
    124 :    23684.77 MFlops
    125 :    20345.05 MFlops
    126 :    21168.00 MFlops
    127 :    21791.31 MFlops
    128 :    20661.60 MFlops
    129 :    22478.42 MFlops
    130 :    22885.42 MFlops
    131 :    22823.26 MFlops
    132 :    23349.93 MFlops
    133 :    28007.58 MFlops
    134 :    22915.28 MFlops
    135 :    22265.84 MFlops
    136 :    20962.13 MFlops
    137 :    22166.84 MFlops
    138 :    22366.57 MFlops
    139 :    23661.84 MFlops
    140 :    24832.58 MFlops
    141 :    25141.00 MFlops
    142 :    22998.30 MFlops
    143 :    25317.81 MFlops
    144 :    25521.23 MFlops
    145 :    30035.71 MFlops
    146 :    24313.56 MFlops
    147 :    26919.69 MFlops
    148 :    30016.59 MFlops
    149 :    28273.07 MFlops
    150 :    30269.06 MFlops
    151 :    31586.71 MFlops
    152 :    33130.26 MFlops
    153 :    33317.00 MFlops
    154 :    33507.01 MFlops
    155 :    32522.93 MFlops
    156 :    34048.57 MFlops
    157 :    25628.43 MFlops
    158 :    27776.85 MFlops
    159 :    34356.23 MFlops
    160 :    25680.25 MFlops
    161 :    27455.80 MFlops
    162 :    27697.25 MFlops
    163 :    26487.75 MFlops
    164 :    26177.71 MFlops
    165 :    27474.77 MFlops
    166 :    27807.27 MFlops
    167 :    27805.75 MFlops
    168 :    28650.34 MFlops
    169 :    28903.05 MFlops
    170 :    33195.95 MFlops
    171 :    28736.84 MFlops
    172 :    33041.87 MFlops
    173 :    32159.73 MFlops
    174 :    30897.50 MFlops
    175 :    49854.65 MFlops
    176 :    29232.04 MFlops
    177 :    27116.05 MFlops
    178 :    30650.83 MFlops
    179 :    30918.27 MFlops
    180 :    31270.78 MFlops
    181 :    31709.84 MFlops
    182 :    30601.87 MFlops
    183 :    32425.86 MFlops
    184 :    28907.21 MFlops
    185 :    26381.77 MFlops
    186 :    29653.71 MFlops
    187 :    30772.72 MFlops
    188 :    31269.04 MFlops
    189 :    32072.54 MFlops
    190 :    32353.77 MFlops
    191 :    44665.84 MFlops
    192 :    28539.87 MFlops
    193 :    31600.25 MFlops
    194 :    51058.63 MFlops
    195 :    29959.09 MFlops
    196 :    32737.11 MFlops
    197 :    34207.49 MFlops
    198 :    34653.54 MFlops
    199 :    32165.71 MFlops
    200 :    39119.80 MFlops
