From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.15 MFlops
      2 :       16.00 MFlops
      3 :         inf MFlops
      4 :      128.00 MFlops
      5 :         inf MFlops
      6 :      432.00 MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :     1458.00 MFlops
     10 :         inf MFlops
     11 :     2662.00 MFlops
     12 :     1728.00 MFlops
     13 :     4394.00 MFlops
     14 :     5488.00 MFlops
     15 :     6750.00 MFlops
     16 :       90.02 MFlops
     17 :     1965.20 MFlops
     18 :     3888.00 MFlops
     19 :     6859.00 MFlops
     20 :     5333.33 MFlops
     21 :     6174.00 MFlops
     22 :     7098.67 MFlops
     23 :     8111.33 MFlops
     24 :     6912.00 MFlops
     25 :    10416.67 MFlops
     26 :     8788.00 MFlops
     27 :     7873.20 MFlops
     28 :     4390.40 MFlops
     29 :     6097.25 MFlops
     30 :    10800.00 MFlops
     31 :     7447.75 MFlops
     32 :     8192.00 MFlops
     33 :    11979.00 MFlops
     34 :    13101.33 MFlops
     35 :    12250.00 MFlops
     36 :    13330.29 MFlops
     37 :    12663.25 MFlops
     38 :     9976.73 MFlops
     39 :    13182.00 MFlops
     40 :    11636.36 MFlops
     41 :    13784.20 MFlops
     42 :    13470.55 MFlops
     43 :    13251.17 MFlops
     44 :    11357.87 MFlops
     45 :    14019.23 MFlops
     46 :    13905.14 MFlops
     47 :    14831.86 MFlops
     48 :    15798.86 MFlops
     49 :    15686.53 MFlops
     50 :    11363.64 MFlops
     51 :    13963.26 MFlops
     52 :    14800.84 MFlops
     53 :    14887.70 MFlops
     54 :    14314.91 MFlops
     55 :    14467.39 MFlops
     56 :    14634.67 MFlops
     57 :    15432.75 MFlops
     58 :    15008.62 MFlops
     59 :    12447.21 MFlops
     60 :    12000.00 MFlops
     61 :    11349.05 MFlops
     62 :    10592.36 MFlops
     63 :    15154.36 MFlops
     64 :    14979.66 MFlops
     65 :     7960.14 MFlops
     66 :    15131.37 MFlops
     67 :    15829.63 MFlops
     68 :    16549.05 MFlops
     69 :    17289.95 MFlops
     70 :    12035.09 MFlops
     71 :    11734.79 MFlops
     72 :    15234.61 MFlops
     73 :    15255.57 MFlops
     74 :    16208.96 MFlops
     75 :     7150.42 MFlops
     76 :    15137.10 MFlops
     77 :     9713.47 MFlops
     78 :    14601.60 MFlops
     79 :    15904.48 MFlops
     80 :    19320.75 MFlops
     81 :    23619.60 MFlops
     82 :    16965.17 MFlops
     83 :    23338.24 MFlops
     84 :    16019.03 MFlops
     85 :    25588.54 MFlops
     86 :    27066.21 MFlops
     87 :    27437.62 MFlops
     88 :    27815.18 MFlops
     89 :    28774.24 MFlops
     90 :    29160.00 MFlops
     91 :    26913.25 MFlops
     92 :    19467.20 MFlops
     93 :    27266.34 MFlops
     94 :    21297.03 MFlops
     95 :    26792.97 MFlops
     96 :    27648.00 MFlops
     97 :    27656.76 MFlops
     98 :    28520.97 MFlops
     99 :    27332.37 MFlops
    100 :    27777.78 MFlops
    101 :    29022.56 MFlops
    102 :    24969.60 MFlops
    103 :    25711.22 MFlops
    104 :    28477.57 MFlops
    105 :    28583.33 MFlops
    106 :    28699.18 MFlops
    107 :    28489.37 MFlops
    108 :    28629.82 MFlops
    109 :    29432.48 MFlops
    110 :    28934.78 MFlops
    111 :    29098.53 MFlops
    112 :    29892.09 MFlops
    113 :    30060.35 MFlops
    114 :    29930.18 MFlops
    115 :    28164.35 MFlops
    116 :    29450.87 MFlops
    117 :    27854.14 MFlops
    118 :    28574.47 MFlops
    119 :    28562.02 MFlops
    120 :    28800.00 MFlops
    121 :    28344.98 MFlops
    122 :    29287.87 MFlops
    123 :    28850.65 MFlops
    124 :    28457.07 MFlops
    125 :    29592.80 MFlops
    126 :    27783.00 MFlops
    127 :    29473.14 MFlops
    128 :    29746.84 MFlops
    129 :    29609.50 MFlops
    130 :    21752.48 MFlops
    131 :    21826.13 MFlops
    132 :    20087.06 MFlops
    133 :    28345.02 MFlops
    134 :    30847.49 MFlops
    135 :    24121.32 MFlops
    136 :    23399.59 MFlops
    137 :    22555.73 MFlops
    138 :    27810.29 MFlops
    139 :    24414.72 MFlops
    140 :    32666.67 MFlops
    141 :    32786.21 MFlops
    142 :    34706.52 MFlops
    143 :    34002.41 MFlops
    144 :    34125.53 MFlops
    145 :    36078.40 MFlops
    146 :    35365.18 MFlops
    147 :    28110.82 MFlops
    148 :    37049.05 MFlops
    149 :    37377.95 MFlops
    150 :    37709.50 MFlops
    151 :    38903.40 MFlops
    152 :    40365.61 MFlops
    153 :    33317.00 MFlops
    154 :    39483.94 MFlops
    155 :    28645.19 MFlops
    156 :    30371.33 MFlops
    157 :    36681.45 MFlops
    158 :    34149.89 MFlops
    159 :    37567.09 MFlops
    160 :    38824.64 MFlops
    161 :    31735.98 MFlops
    162 :    36969.81 MFlops
    163 :    39731.62 MFlops
    164 :    40842.07 MFlops
    165 :    38892.86 MFlops
    166 :    46676.49 MFlops
    167 :    38812.19 MFlops
    168 :    40354.31 MFlops
    169 :    36845.87 MFlops
    170 :    42353.45 MFlops
    171 :    38761.33 MFlops
    172 :    37832.33 MFlops
    173 :    40137.34 MFlops
    174 :    40837.40 MFlops
    175 :    39995.34 MFlops
    176 :    39080.83 MFlops
    177 :    40182.85 MFlops
    178 :    39998.24 MFlops
    179 :    39554.06 MFlops
    180 :    36450.00 MFlops
    181 :    40754.23 MFlops
    182 :    43685.28 MFlops
    183 :    40452.06 MFlops
    184 :    40190.35 MFlops
    185 :    41518.85 MFlops
    186 :    41649.55 MFlops
    187 :    43021.07 MFlops
    188 :    41659.39 MFlops
    189 :    41674.50 MFlops
    190 :    40347.06 MFlops
    191 :    47889.15 MFlops
    192 :    45082.09 MFlops
    193 :    40501.73 MFlops
    194 :    41019.01 MFlops
    195 :    47078.57 MFlops
    196 :    41145.01 MFlops
    197 :    41214.95 MFlops
    198 :    40640.80 MFlops
    199 :    40726.61 MFlops
    200 :    42666.67 MFlops
