From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.09 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :       64.00 MFlops
      5 :         inf MFlops
      6 :      216.00 MFlops
      7 :      343.00 MFlops
      8 :      512.00 MFlops
      9 :         inf MFlops
     10 :     1000.00 MFlops
     11 :     1331.00 MFlops
     12 :     1728.00 MFlops
     13 :     2197.00 MFlops
     14 :     2744.00 MFlops
     15 :     1687.50 MFlops
     16 :     4096.00 MFlops
     17 :     2456.50 MFlops
     18 :     5832.00 MFlops
     19 :     3429.50 MFlops
     20 :     4000.00 MFlops
     21 :     4630.50 MFlops
     22 :     5324.00 MFlops
     23 :     3041.75 MFlops
     24 :     6912.00 MFlops
     25 :     5208.33 MFlops
     26 :     5858.67 MFlops
     27 :     6561.00 MFlops
     28 :     7317.33 MFlops
     29 :     8129.67 MFlops
     30 :     6750.00 MFlops
     31 :     7447.75 MFlops
     32 :      712.35 MFlops
     33 :     1197.90 MFlops
     34 :     1965.20 MFlops
     35 :     1649.04 MFlops
     36 :     5832.00 MFlops
     37 :     1266.33 MFlops
     38 :     2110.46 MFlops
     39 :     2118.54 MFlops
     40 :     1777.78 MFlops
     41 :     2756.84 MFlops
     42 :     5699.08 MFlops
     43 :     3180.28 MFlops
     44 :     2241.68 MFlops
     45 :     2939.52 MFlops
     46 :     3605.04 MFlops
     47 :     3146.15 MFlops
     48 :     2988.97 MFlops
     49 :     3565.12 MFlops
     50 :     4807.69 MFlops
     51 :     3490.82 MFlops
     52 :     4394.00 MFlops
     53 :     4511.42 MFlops
     54 :     4771.64 MFlops
     55 :     3781.25 MFlops
     56 :     3584.00 MFlops
     57 :     2405.10 MFlops
     58 :     4241.57 MFlops
     59 :     4369.77 MFlops
     60 :     4500.00 MFlops
     61 :     5536.12 MFlops
     62 :     4766.56 MFlops
     63 :     5209.31 MFlops
     64 :     5461.33 MFlops
     65 :     7041.67 MFlops
     66 :     6845.14 MFlops
     67 :     7335.68 MFlops
     68 :     7146.18 MFlops
     69 :     7141.50 MFlops
     70 :     7976.74 MFlops
     71 :     4772.15 MFlops
     72 :     6665.14 MFlops
     73 :    10513.97 MFlops
     74 :     9004.98 MFlops
     75 :     7959.91 MFlops
     76 :     7838.86 MFlops
     77 :     9924.63 MFlops
     78 :    15308.13 MFlops
     79 :    15407.47 MFlops
     80 :    10039.22 MFlops
     81 :    13286.02 MFlops
     82 :     5012.44 MFlops
     83 :    10396.13 MFlops
     84 :    12884.87 MFlops
     85 :     8900.36 MFlops
     86 :    15901.40 MFlops
     87 :    17329.03 MFlops
     88 :    13362.20 MFlops
     89 :    17194.37 MFlops
     90 :    13500.00 MFlops
     91 :    17524.91 MFlops
     92 :    17304.18 MFlops
     93 :    17486.02 MFlops
     94 :    17303.83 MFlops
     95 :    19052.78 MFlops
     96 :    16693.13 MFlops
     97 :    17220.25 MFlops
     98 :    18823.84 MFlops
     99 :    19025.47 MFlops
    100 :    18867.92 MFlops
    101 :    11447.79 MFlops
    102 :    10507.01 MFlops
    103 :    12277.83 MFlops
    104 :    20452.07 MFlops
    105 :    25725.00 MFlops
    106 :    24306.45 MFlops
    107 :    15123.99 MFlops
    108 :    14154.07 MFlops
    109 :    15058.48 MFlops
    110 :    13581.63 MFlops
    111 :    12781.60 MFlops
    112 :    21286.79 MFlops
    113 :    20322.49 MFlops
    114 :    20577.00 MFlops
    115 :    21726.79 MFlops
    116 :    12194.50 MFlops
    117 :    13458.93 MFlops
    118 :    12736.68 MFlops
    119 :    12670.37 MFlops
    120 :    19636.36 MFlops
    121 :     8016.11 MFlops
    122 :     6775.55 MFlops
    123 :    11277.98 MFlops
    124 :    10771.89 MFlops
    125 :     4428.85 MFlops
    126 :    26320.74 MFlops
    127 :    18966.51 MFlops
    128 :    16777.22 MFlops
    129 :     9252.97 MFlops
    130 :     2372.57 MFlops
    131 :     2462.31 MFlops
    132 :     1306.06 MFlops
    133 :    14087.65 MFlops
    134 :    17186.46 MFlops
    135 :    14304.51 MFlops
    136 :    17967.54 MFlops
    137 :    19047.06 MFlops
    138 :    19612.48 MFlops
    139 :    17326.57 MFlops
    140 :    15770.11 MFlops
    141 :    15660.45 MFlops
    142 :    20022.99 MFlops
    143 :    18744.92 MFlops
    144 :    19644.63 MFlops
    145 :    16659.15 MFlops
    146 :    15959.67 MFlops
    147 :    15345.52 MFlops
    148 :    15660.83 MFlops
    149 :    20546.27 MFlops
    150 :    18243.24 MFlops
    151 :    18216.67 MFlops
    152 :    17736.40 MFlops
    153 :    18850.41 MFlops
    154 :    14726.87 MFlops
    155 :    16477.32 MFlops
    156 :    17256.44 MFlops
    157 :    16608.98 MFlops
    158 :    16784.31 MFlops
    159 :    28307.60 MFlops
    160 :    13429.51 MFlops
    161 :    21735.84 MFlops
    162 :    24294.45 MFlops
    163 :    22555.97 MFlops
    164 :    15210.15 MFlops
    165 :    21089.79 MFlops
    166 :    21475.57 MFlops
    167 :    27078.27 MFlops
    168 :    20705.82 MFlops
    169 :    18708.56 MFlops
    170 :    17360.42 MFlops
    171 :    18868.72 MFlops
    172 :    18639.00 MFlops
    173 :    15931.44 MFlops
    174 :    19018.14 MFlops
    175 :    18417.10 MFlops
    176 :    18799.23 MFlops
    177 :    19055.78 MFlops
    178 :    18018.38 MFlops
    179 :    17171.67 MFlops
    180 :    19184.21 MFlops
    181 :    27709.07 MFlops
    182 :    14885.35 MFlops
    183 :    21809.56 MFlops
    184 :    21934.87 MFlops
    185 :    25428.21 MFlops
    186 :    19558.83 MFlops
    187 :    20892.02 MFlops
    188 :    20196.57 MFlops
    189 :    20274.08 MFlops
    190 :    20055.56 MFlops
    191 :    20022.62 MFlops
    192 :    22831.90 MFlops
    193 :    22052.32 MFlops
    194 :    21926.08 MFlops
    195 :    21246.06 MFlops
    196 :    30483.95 MFlops
    197 :    27801.36 MFlops
    198 :    28124.61 MFlops
    199 :    28245.87 MFlops
    200 :    24242.42 MFlops
