From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.06 MFlops
      2 :        8.00 MFlops
      3 :         inf MFlops
      4 :       32.00 MFlops
      5 :      125.00 MFlops
      6 :      216.00 MFlops
      7 :         inf MFlops
      8 :      512.00 MFlops
      9 :         inf MFlops
     10 :         inf MFlops
     11 :     1331.00 MFlops
     12 :         inf MFlops
     13 :     2197.00 MFlops
     14 :     2744.00 MFlops
     15 :       61.36 MFlops
     16 :     4096.00 MFlops
     17 :     4913.00 MFlops
     18 :     2916.00 MFlops
     19 :     3429.50 MFlops
     20 :     8000.00 MFlops
     21 :     4630.50 MFlops
     22 :    10648.00 MFlops
     23 :     6083.50 MFlops
     24 :     4608.00 MFlops
     25 :     7812.50 MFlops
     26 :     8788.00 MFlops
     27 :     4920.75 MFlops
     28 :     3658.67 MFlops
     29 :     3484.14 MFlops
     30 :     6750.00 MFlops
     31 :     7447.75 MFlops
     32 :      348.60 MFlops
     33 :     8984.25 MFlops
     34 :    13101.33 MFlops
     35 :    10718.75 MFlops
     36 :    11664.00 MFlops
     37 :    12663.25 MFlops
     38 :     9145.33 MFlops
     39 :    11863.80 MFlops
     40 :    10666.67 MFlops
     41 :    13784.20 MFlops
     42 :    12348.00 MFlops
     43 :    11358.14 MFlops
     44 :    14197.33 MFlops
     45 :    15187.50 MFlops
     46 :    10815.11 MFlops
     47 :    14831.86 MFlops
     48 :    13824.00 MFlops
     49 :    13072.11 MFlops
     50 :    12500.00 MFlops
     51 :    12059.18 MFlops
     52 :    14060.80 MFlops
     53 :    13534.27 MFlops
     54 :    12112.62 MFlops
     55 :    13864.58 MFlops
     56 :    12544.00 MFlops
     57 :    15432.75 MFlops
     58 :    13936.57 MFlops
     59 :    14669.93 MFlops
     60 :    10285.71 MFlops
     61 :     8730.04 MFlops
     62 :     7944.27 MFlops
     63 :    13891.50 MFlops
     64 :    13797.05 MFlops
     65 :     6538.69 MFlops
     66 :     5749.92 MFlops
     67 :    14322.05 MFlops
     68 :    15721.60 MFlops
     69 :    15643.29 MFlops
     70 :    17150.00 MFlops
     71 :    17895.55 MFlops
     72 :    17773.71 MFlops
     73 :    11788.39 MFlops
     74 :    18419.27 MFlops
     75 :     9588.07 MFlops
     76 :    10208.74 MFlops
     77 :    16908.63 MFlops
     78 :    13957.41 MFlops
     79 :    17608.54 MFlops
     80 :    18962.96 MFlops
     81 :     5776.53 MFlops
     82 :    19691.71 MFlops
     83 :    21177.30 MFlops
     84 :    21952.00 MFlops
     85 :    21933.04 MFlops
     86 :    21932.97 MFlops
     87 :    21950.10 MFlops
     88 :    21296.00 MFlops
     89 :    20734.38 MFlops
     90 :    22781.25 MFlops
     91 :    22835.48 MFlops
     92 :    17697.45 MFlops
     93 :    21739.38 MFlops
     94 :    16950.69 MFlops
     95 :    11744.86 MFlops
     96 :    19660.80 MFlops
     97 :    21224.95 MFlops
     98 :    24768.21 MFlops
     99 :    23102.36 MFlops
    100 :    20833.33 MFlops
    101 :    23960.49 MFlops
    102 :    22108.50 MFlops
    103 :    22765.15 MFlops
    104 :    23933.28 MFlops
    105 :    25165.76 MFlops
    106 :    24812.83 MFlops
    107 :    23558.52 MFlops
    108 :    25708.41 MFlops
    109 :    24904.40 MFlops
    110 :    24648.15 MFlops
    111 :    24421.98 MFlops
    112 :    25088.00 MFlops
    113 :    25313.98 MFlops
    114 :    25543.86 MFlops
    115 :    24932.38 MFlops
    116 :    24389.00 MFlops
    117 :    23904.67 MFlops
    118 :    18670.82 MFlops
    119 :    23404.99 MFlops
    120 :    24338.03 MFlops
    121 :    24605.01 MFlops
    122 :    24538.49 MFlops
    123 :    24485.09 MFlops
    124 :    25421.65 MFlops
    125 :    21229.62 MFlops
    126 :    25321.22 MFlops
    127 :    20483.83 MFlops
    128 :    26546.23 MFlops
    129 :    24394.19 MFlops
    130 :    16518.80 MFlops
    131 :    16290.51 MFlops
    132 :    27058.45 MFlops
    133 :    27041.80 MFlops
    134 :    28307.11 MFlops
    135 :    26174.20 MFlops
    136 :    28584.73 MFlops
    137 :    27354.82 MFlops
    138 :    28566.00 MFlops
    139 :    30175.49 MFlops
    140 :    31906.98 MFlops
    141 :    28899.19 MFlops
    142 :    16744.37 MFlops
    143 :    32491.19 MFlops
    144 :    32456.35 MFlops
    145 :    33873.61 MFlops
    146 :    34579.29 MFlops
    147 :    34527.42 MFlops
    148 :    30582.94 MFlops
    149 :    32430.87 MFlops
    150 :    32451.92 MFlops
    151 :    31879.18 MFlops
    152 :    32820.64 MFlops
    153 :    33472.68 MFlops
    154 :    34455.32 MFlops
    155 :    33548.42 MFlops
    156 :    34829.50 MFlops
    157 :    25972.44 MFlops
    158 :    23904.92 MFlops
    159 :    25441.01 MFlops
    160 :    33032.26 MFlops
    161 :    31857.11 MFlops
    162 :    37294.11 MFlops
    163 :    36701.25 MFlops
    164 :    37380.88 MFlops
    165 :    37434.38 MFlops
    166 :    37494.23 MFlops
    167 :    33749.73 MFlops
    168 :    39187.04 MFlops
    169 :    37129.30 MFlops
    170 :    38085.27 MFlops
    171 :    40324.28 MFlops
    172 :    38548.85 MFlops
    173 :    37519.69 MFlops
    174 :    31927.42 MFlops
    175 :    37742.08 MFlops
    176 :    33041.07 MFlops
    177 :    39050.94 MFlops
    178 :    38365.66 MFlops
    179 :    37982.38 MFlops
    180 :    40220.69 MFlops
    181 :    39269.81 MFlops
    182 :    35049.81 MFlops
    183 :    37142.35 MFlops
    184 :    41254.99 MFlops
    185 :    40328.82 MFlops
    186 :    39968.05 MFlops
    187 :    39873.19 MFlops
    188 :    39086.31 MFlops
    189 :    36892.18 MFlops
    190 :    39647.40 MFlops
    191 :    38285.01 MFlops
    192 :    35746.91 MFlops
    193 :    41080.33 MFlops
    194 :    41961.98 MFlops
    195 :    38221.01 MFlops
    196 :    50196.91 MFlops
    197 :    41777.99 MFlops
    198 :    41070.86 MFlops
    199 :    41044.79 MFlops
    200 :    41450.78 MFlops
