From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        0.14 MFlops  0.000007000 sec
      2 :         inf MFlops  0.000000000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :         inf MFlops  0.000000000 sec
      5 :         inf MFlops  0.000000000 sec
      6 :         inf MFlops  0.000000000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :         inf MFlops  0.000000000 sec
      9 :       81.00 MFlops  0.000001000 sec
     10 :         inf MFlops  0.000000000 sec
     11 :      121.00 MFlops  0.000001000 sec
     12 :         inf MFlops  0.000000000 sec
     13 :         inf MFlops  0.000000000 sec
     14 :      196.00 MFlops  0.000001000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :         inf MFlops  0.000000000 sec
     17 :      144.50 MFlops  0.000002000 sec
     18 :       64.80 MFlops  0.000005000 sec
     19 :      180.50 MFlops  0.000002000 sec
     20 :      133.33 MFlops  0.000003000 sec
     21 :      147.00 MFlops  0.000003000 sec
     22 :      242.00 MFlops  0.000002000 sec
     23 :      132.25 MFlops  0.000004000 sec
     24 :       28.80 MFlops  0.000020000 sec
     25 :       52.08 MFlops  0.000012000 sec
     26 :       52.00 MFlops  0.000013000 sec
     27 :       66.27 MFlops  0.000011000 sec
     28 :       78.40 MFlops  0.000010000 sec
     29 :       70.08 MFlops  0.000012000 sec
     30 :       81.82 MFlops  0.000011000 sec
     31 :       96.10 MFlops  0.000010000 sec
     32 :       93.09 MFlops  0.000011000 sec
     33 :       99.00 MFlops  0.000011000 sec
     34 :      105.09 MFlops  0.000011000 sec
     35 :      102.08 MFlops  0.000012000 sec
     36 :      117.82 MFlops  0.000011000 sec
     37 :      114.08 MFlops  0.000012000 sec
     38 :      361.00 MFlops  0.000004000 sec
     39 :      190.12 MFlops  0.000008000 sec
     40 :      320.00 MFlops  0.000005000 sec
     41 :       46.69 MFlops  0.000036000 sec
     42 :       88.20 MFlops  0.000020000 sec
     43 :      205.44 MFlops  0.000009000 sec
     44 :      176.00 MFlops  0.000011000 sec
     45 :      144.64 MFlops  0.000014000 sec
     46 :      192.36 MFlops  0.000011000 sec
     47 :      441.80 MFlops  0.000005000 sec
     48 :      460.80 MFlops  0.000005000 sec
     49 :      218.27 MFlops  0.000011000 sec
     50 :      277.78 MFlops  0.000009000 sec
     51 :       83.90 MFlops  0.000031000 sec
     52 :      245.82 MFlops  0.000011000 sec
     53 :      401.29 MFlops  0.000007000 sec
     54 :      243.00 MFlops  0.000012000 sec
     55 :      252.08 MFlops  0.000012000 sec
     56 :      313.60 MFlops  0.000010000 sec
     57 :      295.36 MFlops  0.000011000 sec
     58 :      305.82 MFlops  0.000011000 sec
     59 :      290.08 MFlops  0.000012000 sec
     60 :      300.00 MFlops  0.000012000 sec
     61 :      286.23 MFlops  0.000013000 sec
     62 :      349.45 MFlops  0.000011000 sec
     63 :      360.82 MFlops  0.000011000 sec
     64 :      204.80 MFlops  0.000020000 sec
     65 :      422.50 MFlops  0.000010000 sec
     66 :      363.00 MFlops  0.000012000 sec
     67 :      320.64 MFlops  0.000014000 sec
     68 :      420.36 MFlops  0.000011000 sec
     69 :      432.82 MFlops  0.000011000 sec
     70 :      445.45 MFlops  0.000011000 sec
     71 :      458.27 MFlops  0.000011000 sec
     72 :      471.27 MFlops  0.000011000 sec
     73 :      380.64 MFlops  0.000014000 sec
     74 :      547.60 MFlops  0.000010000 sec
     75 :      511.36 MFlops  0.000011000 sec
     76 :      525.09 MFlops  0.000011000 sec
     77 :      494.08 MFlops  0.000012000 sec
     78 :      553.09 MFlops  0.000011000 sec
     79 :      567.36 MFlops  0.000011000 sec
     80 :      336.84 MFlops  0.000019000 sec
     81 :      596.45 MFlops  0.000011000 sec
     82 :      517.23 MFlops  0.000013000 sec
     83 :      529.92 MFlops  0.000013000 sec
     84 :      641.45 MFlops  0.000011000 sec
     85 :      425.00 MFlops  0.000017000 sec
     86 :      568.92 MFlops  0.000013000 sec
     87 :      630.75 MFlops  0.000012000 sec
     88 :      645.33 MFlops  0.000012000 sec
     89 :      660.08 MFlops  0.000012000 sec
     90 :      810.00 MFlops  0.000010000 sec
