From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
      1 :        0.33 MFlops  0.000003000 sec
      2 :         inf MFlops  0.000000000 sec
      3 :         inf MFlops  0.000000000 sec
      4 :         inf MFlops  0.000000000 sec
      5 :       25.00 MFlops  0.000001000 sec
      6 :         inf MFlops  0.000000000 sec
      7 :         inf MFlops  0.000000000 sec
      8 :         inf MFlops  0.000000000 sec
      9 :         inf MFlops  0.000000000 sec
     10 :         inf MFlops  0.000000000 sec
     11 :      121.00 MFlops  0.000001000 sec
     12 :         inf MFlops  0.000000000 sec
     13 :         inf MFlops  0.000000000 sec
     14 :         inf MFlops  0.000000000 sec
     15 :         inf MFlops  0.000000000 sec
     16 :         inf MFlops  0.000000000 sec
     17 :      289.00 MFlops  0.000001000 sec
     18 :      324.00 MFlops  0.000001000 sec
     19 :         inf MFlops  0.000000000 sec
     20 :      400.00 MFlops  0.000001000 sec
     21 :         inf MFlops  0.000000000 sec
     22 :         inf MFlops  0.000000000 sec
     23 :         inf MFlops  0.000000000 sec
     24 :         inf MFlops  0.000000000 sec
     25 :      625.00 MFlops  0.000001000 sec
     26 :      676.00 MFlops  0.000001000 sec
     27 :         inf MFlops  0.000000000 sec
     28 :      784.00 MFlops  0.000001000 sec
     29 :         inf MFlops  0.000000000 sec
     30 :         inf MFlops  0.000000000 sec
     31 :      961.00 MFlops  0.000001000 sec
     32 :     1024.00 MFlops  0.000001000 sec
     33 :     1089.00 MFlops  0.000001000 sec
     34 :         inf MFlops  0.000000000 sec
     35 :         inf MFlops  0.000000000 sec
     36 :     1296.00 MFlops  0.000001000 sec
     37 :     1369.00 MFlops  0.000001000 sec
     38 :         inf MFlops  0.000000000 sec
     39 :         inf MFlops  0.000000000 sec
     40 :         inf MFlops  0.000000000 sec
     41 :     1681.00 MFlops  0.000001000 sec
     42 :     1764.00 MFlops  0.000001000 sec
     43 :     1849.00 MFlops  0.000001000 sec
     44 :     1936.00 MFlops  0.000001000 sec
     45 :     2025.00 MFlops  0.000001000 sec
     46 :     2116.00 MFlops  0.000001000 sec
     47 :     2209.00 MFlops  0.000001000 sec
     48 :     2304.00 MFlops  0.000001000 sec
     49 :     2401.00 MFlops  0.000001000 sec
     50 :     2500.00 MFlops  0.000001000 sec
     51 :     2601.00 MFlops  0.000001000 sec
     52 :     2704.00 MFlops  0.000001000 sec
     53 :     2809.00 MFlops  0.000001000 sec
     54 :     2916.00 MFlops  0.000001000 sec
     55 :     3025.00 MFlops  0.000001000 sec
     56 :     3136.00 MFlops  0.000001000 sec
     57 :     3249.00 MFlops  0.000001000 sec
     58 :     3364.00 MFlops  0.000001000 sec
     59 :     3481.00 MFlops  0.000001000 sec
     60 :     3600.00 MFlops  0.000001000 sec
     61 :     3721.00 MFlops  0.000001000 sec
     62 :     3844.00 MFlops  0.000001000 sec
     63 :     3969.00 MFlops  0.000001000 sec
     64 :     4096.00 MFlops  0.000001000 sec
     65 :     4225.00 MFlops  0.000001000 sec
     66 :     4356.00 MFlops  0.000001000 sec
     67 :     2244.50 MFlops  0.000002000 sec
     68 :     4624.00 MFlops  0.000001000 sec
     69 :     4761.00 MFlops  0.000001000 sec
     70 :     4900.00 MFlops  0.000001000 sec
     71 :     5041.00 MFlops  0.000001000 sec
     72 :     2592.00 MFlops  0.000002000 sec
     73 :     5329.00 MFlops  0.000001000 sec
     74 :     5476.00 MFlops  0.000001000 sec
     75 :     5625.00 MFlops  0.000001000 sec
     76 :     5776.00 MFlops  0.000001000 sec
     77 :     5929.00 MFlops  0.000001000 sec
     78 :     6084.00 MFlops  0.000001000 sec
     79 :     6241.00 MFlops  0.000001000 sec
     80 :     3200.00 MFlops  0.000002000 sec
     81 :     6561.00 MFlops  0.000001000 sec
     82 :     3362.00 MFlops  0.000002000 sec
     83 :     6889.00 MFlops  0.000001000 sec
     84 :     7056.00 MFlops  0.000001000 sec
     85 :     3612.50 MFlops  0.000002000 sec
     86 :     3698.00 MFlops  0.000002000 sec
     87 :     3784.50 MFlops  0.000002000 sec
     88 :     3872.00 MFlops  0.000002000 sec
     89 :     3960.50 MFlops  0.000002000 sec
     90 :     8100.00 MFlops  0.000001000 sec
     91 :     4140.50 MFlops  0.000002000 sec
     92 :     8464.00 MFlops  0.000001000 sec
     93 :     4324.50 MFlops  0.000002000 sec
     94 :     8836.00 MFlops  0.000001000 sec
     95 :     9025.00 MFlops  0.000001000 sec
     96 :     4608.00 MFlops  0.000002000 sec
     97 :     4704.50 MFlops  0.000002000 sec
     98 :     9604.00 MFlops  0.000001000 sec
     99 :     4900.50 MFlops  0.000002000 sec
    100 :     5000.00 MFlops  0.000002000 sec
    101 :     5100.50 MFlops  0.000002000 sec
    102 :     5202.00 MFlops  0.000002000 sec
    103 :     5304.50 MFlops  0.000002000 sec
    104 :     5408.00 MFlops  0.000002000 sec
    105 :     5512.50 MFlops  0.000002000 sec
    106 :     5618.00 MFlops  0.000002000 sec
    107 :     5724.50 MFlops  0.000002000 sec
    108 :     5832.00 MFlops  0.000002000 sec
    109 :     5940.50 MFlops  0.000002000 sec
    110 :     6050.00 MFlops  0.000002000 sec
    111 :     6160.50 MFlops  0.000002000 sec
    112 :     6272.00 MFlops  0.000002000 sec
    113 :     6384.50 MFlops  0.000002000 sec
    114 :     4332.00 MFlops  0.000003000 sec
    115 :     6612.50 MFlops  0.000002000 sec
    116 :     6728.00 MFlops  0.000002000 sec
    117 :     4563.00 MFlops  0.000003000 sec
    118 :     4641.33 MFlops  0.000003000 sec
    119 :     7080.50 MFlops  0.000002000 sec
    120 :     4800.00 MFlops  0.000003000 sec
    121 :     7320.50 MFlops  0.000002000 sec
    122 :     4961.33 MFlops  0.000003000 sec
    123 :     5043.00 MFlops  0.000003000 sec
    124 :     7688.00 MFlops  0.000002000 sec
    125 :     7812.50 MFlops  0.000002000 sec
    126 :     5292.00 MFlops  0.000003000 sec
    127 :     5376.33 MFlops  0.000003000 sec
    128 :     8192.00 MFlops  0.000002000 sec
    129 :     5547.00 MFlops  0.000003000 sec
    130 :     5633.33 MFlops  0.000003000 sec
    131 :     5720.33 MFlops  0.000003000 sec
    132 :     5808.00 MFlops  0.000003000 sec
    133 :     5896.33 MFlops  0.000003000 sec
    134 :     5985.33 MFlops  0.000003000 sec
    135 :     6075.00 MFlops  0.000003000 sec
    136 :     6165.33 MFlops  0.000003000 sec
    137 :     6256.33 MFlops  0.000003000 sec
    138 :     6348.00 MFlops  0.000003000 sec
    139 :     6440.33 MFlops  0.000003000 sec
    140 :     6533.33 MFlops  0.000003000 sec
    141 :     6627.00 MFlops  0.000003000 sec
    142 :     6721.33 MFlops  0.000003000 sec
    143 :     6816.33 MFlops  0.000003000 sec
    144 :     5184.00 MFlops  0.000004000 sec
    145 :     7008.33 MFlops  0.000003000 sec
    146 :     7105.33 MFlops  0.000003000 sec
    147 :     7203.00 MFlops  0.000003000 sec
    148 :     7301.33 MFlops  0.000003000 sec
    149 :     5550.25 MFlops  0.000004000 sec
    150 :     7500.00 MFlops  0.000003000 sec
    151 :     5700.25 MFlops  0.000004000 sec
    152 :     5776.00 MFlops  0.000004000 sec
    153 :     5852.25 MFlops  0.000004000 sec
    154 :     5929.00 MFlops  0.000004000 sec
    155 :     8008.33 MFlops  0.000003000 sec
    156 :     6084.00 MFlops  0.000004000 sec
    157 :     6162.25 MFlops  0.000004000 sec
    158 :     6241.00 MFlops  0.000004000 sec
    159 :     6320.25 MFlops  0.000004000 sec
    160 :     6400.00 MFlops  0.000004000 sec
    161 :     6480.25 MFlops  0.000004000 sec
    162 :     6561.00 MFlops  0.000004000 sec
    163 :     6642.25 MFlops  0.000004000 sec
    164 :     5379.20 MFlops  0.000005000 sec
    165 :     6806.25 MFlops  0.000004000 sec
    166 :     6889.00 MFlops  0.000004000 sec
    167 :     6972.25 MFlops  0.000004000 sec
    168 :     7056.00 MFlops  0.000004000 sec
    169 :     5712.20 MFlops  0.000005000 sec
    170 :     7225.00 MFlops  0.000004000 sec
    171 :     5848.20 MFlops  0.000005000 sec
    172 :     5916.80 MFlops  0.000005000 sec
    173 :     5985.80 MFlops  0.000005000 sec
    174 :     6055.20 MFlops  0.000005000 sec
    175 :     6125.00 MFlops  0.000005000 sec
    176 :     6195.20 MFlops  0.000005000 sec
    177 :     6265.80 MFlops  0.000005000 sec
    178 :     6336.80 MFlops  0.000005000 sec
    179 :     6408.20 MFlops  0.000005000 sec
    180 :     6480.00 MFlops  0.000005000 sec
    181 :     6552.20 MFlops  0.000005000 sec
    182 :     6624.80 MFlops  0.000005000 sec
    183 :     5581.50 MFlops  0.000006000 sec
    184 :     6771.20 MFlops  0.000005000 sec
    185 :     6845.00 MFlops  0.000005000 sec
    186 :     5766.00 MFlops  0.000006000 sec
    187 :     5828.17 MFlops  0.000006000 sec
    188 :     5890.67 MFlops  0.000006000 sec
    189 :     7144.20 MFlops  0.000005000 sec
    190 :     6016.67 MFlops  0.000006000 sec
    191 :     7296.20 MFlops  0.000005000 sec
    192 :     6144.00 MFlops  0.000006000 sec
    193 :     6208.17 MFlops  0.000006000 sec
    194 :     7527.20 MFlops  0.000005000 sec
    195 :     6337.50 MFlops  0.000006000 sec
    196 :     6402.67 MFlops  0.000006000 sec
    197 :     6468.17 MFlops  0.000006000 sec
    198 :     6534.00 MFlops  0.000006000 sec
    199 :     6600.17 MFlops  0.000006000 sec
    200 :     6666.67 MFlops  0.000006000 sec
